[00:00 - 00:02] ベアリングってどうやってやるんですか?
[32:42 - 32:44] ここで。
[32:44 - 32:50] 1、2、3、4、5、6、7、8、9、10、11はOK。
[32:50 - 32:53] ちょっと念のために。
[32:53 - 32:56] 遅い。
[32:56 - 32:59] 使ってるんですけど。
[32:59 - 33:00] はい。
[33:04 - 33:07] はい、阻止も開けてますね。
[33:10 - 33:16] 最近すごい火をつけながら使っているので、かわいいくなってきました。
[33:16 - 33:17] あ、本当ですか。
[33:17 - 33:18] はい。
[33:18 - 33:19] 手のかかる子ほどかわいいですよね。
[33:19 - 33:20] そうそうそう。
[33:21 - 33:24] そうですね、これでプリンターも入れている状態なので、
[33:24 - 33:26] あとはプリンタキュー開いて
[33:26 - 33:29] こいつを再起動
[33:29 - 33:32] さっき再起動したんですけど
[33:32 - 33:34] 言うことも聞かなかったです
[33:34 - 33:36] これをやられたってことですかね
[33:36 - 33:41] キューが流らない
[33:41 - 33:43] ちなみにキャンセルしてもらっても大丈夫です
[33:43 - 33:48] これでキューが流れないとおかしいのに
[33:48 - 33:49] キミは流れないので
[33:49 - 33:51] ちょっと一旦こいつキャンセルしますね
[33:51 - 33:57] この見た目で消えもしなかったですね
[33:57 - 33:59] 何だろうなと思って
[33:59 - 34:02] キョウセラのプリンターって癖強なんで
[34:02 - 34:05] 利口がいいと思います
[34:05 - 34:07] 使いやすさ
[34:07 - 34:09] 利口なんだ
[34:09 - 34:13] 利口かNECかどっちかですね
[34:13 - 34:15] キョウセラ好きです
[34:15 - 34:16] 本当ですか
[34:16 - 34:17] でもコロコロコロコロは変わるから
[34:17 - 34:19] キョウセラ事業やめちゃったんですよ
[34:19 - 34:23] あれ安くてよかったんですけどね。
[34:23 - 34:25] コストパフォーマンスいいし。
[34:25 - 34:27] 最高でしたね。
[34:27 - 34:32] で、ちょっとこのついでにも、こっちを投げちゃいますね。
[34:32 - 34:37] E3045DN。
[34:37 - 34:40] たぶんあれなんですよね。
[34:40 - 34:45] ブラザーのOEMなはずなんですよ。
[34:45 - 35:15] 2,3,0,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,49,50,51,52,53,54,56,57,58,59,51,52,53,56,57,58,59,51,52,53,56,57,58,59,51,53,56,57,58,59,51,53,56,57,58,59,51,53,56,57,59,51,53,56,57,59,51,53,57,59,51,53,57,59,51,53,57,59,51,53,57,59,51
[35:15 - 35:20] はい、P
[35:20 - 35:23] ないな
[35:23 - 35:25] できましたかね
[35:25 - 35:28] ゴミ箱のデータとか、空にした方がいい?
[35:28 - 35:30] いえ、全く関係ないです
[35:30 - 35:32] 昔はありましたね
[35:32 - 35:37] けど今はもう全然、そんなこと考えなくてもいいです
[35:37 - 35:39] 今って言っても、これ5年くらい前に買ったよね
[35:39 - 35:42] そうだね
[35:42 - 35:46] それを気にするのは、Windows 98までです。
[35:48 - 35:52] Windows 2000からは、それは考えなくても大丈夫です。
[35:55 - 36:00] メモリが8あったときに、どれくらい余裕があればいいんですか?
[36:00 - 36:06] だいたいChromeとかこういうブラウザーじゃないですか
[36:06 - 36:09] タブが1タブで1ギガぐらい食います
[36:09 - 36:16] と考えて16あればすごく快適な部類ですね
[36:16 - 36:21] ってことはYahooとかいろいろこうやって開くじゃないですか
[36:21 - 36:24] それで1ギガずつ使っていると思っていればいい
[36:24 - 36:25] 思っていればいいってことですね
[36:25 - 36:29] 8ギガしかなかったら8個開いたら固まる可能性が出てくるよ
[36:29 - 36:31] エラい目に合うっていうことですね
[36:31 - 36:33] 動くは動くんですよ
[36:33 - 36:35] 動くんですけどサクサク感はないってやつですね
[36:35 - 36:52] 825、やっぱり古いですね
[36:52 - 36:57] 825、24で8354だから全部古いな
[36:59 - 37:02] だいぶ昔に使っている感じですね。
[37:02 - 37:07] これのソフトが古いままってことですね。
[37:07 - 37:11] 今それをちょっと更新してみます。
[37:11 - 37:15] すごいな、システムの人ってこんなにすごいんだ。
[37:15 - 37:17] 普通かもしれないですからね。
[37:17 - 37:18] いやいやいや。
[37:18 - 37:20] MAMORIって実装ランドってやつですか?
[37:20 - 37:28] そうですね。そこの画面で言いますと、見方わかりました?
[37:28 - 37:31] どこにメモリが出てるか
[37:31 - 37:34] メモリって書いてあって
[37:34 - 37:36] メモリって書いてないんですよ
[37:36 - 37:40] ちょっと待ってください こっち終わってからメモリ
[37:40 - 37:43] タスクの何もないところを 見クリックしていただいたら
[37:43 - 37:47] タスクマネージャーっていうのが 出てくるので
[37:47 - 37:50] 画面の左のところに パフォーマンスっていうのがあるので
[37:50 - 37:57] 押していただくと メモリっていうのが出てきますので
[37:57 - 38:03] そうすると何ギガ分の何ギガって出てきますから
[38:03 - 38:08] 多分8あるんじゃないかなと思うんですけどね
[38:10 - 38:14] こんな感じで結構カツカツなんですよ
[38:14 - 38:20] 本当はここ見てもらったんですけど、14分の11って書いてあるじゃないですか
[38:20 - 38:23] 本当は11なんですよ、今の状態で
[38:27 - 38:31] エクセルもすごくタブが多いやつとかマクロ組んでるとか
[38:31 - 38:36] 入っているデータの量が多いとすごく食うって形ですね
[38:36 - 38:42] 今ので見ると
[38:42 - 38:51] そっかエクセルって個別のメモリ使用量出してくれないんだ
[38:51 - 38:54] 実際はこれよりもっと多いやつですね
[38:57 - 39:03] アホリちゃん食ってるので、今のエッジですかね。だいたい500ぐらいは食ってますかね。
[39:03 - 39:06] エッジって私使ってるかな。これ?
[39:06 - 39:07] これですね。
[39:07 - 39:08] 私それ使ってないよ、全然。
[39:08 - 39:09] あ、本当ですか。
[39:09 - 39:10] 全く使ってない。
[39:10 - 39:11] ほとんどがこっちの…
[39:11 - 39:12] そう、私こっち使ってる。
[39:12 - 39:13] ファイアフォックスですかね。
[39:13 - 39:15] そう。いらないんだよね。
[39:16 - 39:19] 昔はクズだったんですけど、最近はいい子になってきたんで。
[39:19 - 39:20] 本当ですか。
[39:20 - 39:21] はい。
[39:21 - 39:22] 全然好きじゃない。好きになれない。
[39:22 - 39:23] 好きになれないですね。
[39:23 - 39:24] 私はね。
[39:24 - 39:30] ちょっと私は最近、よりを戻し始める。
[39:30 - 39:33] 別れてから分かる良いこともあるじゃないですかね。
[39:33 - 39:35] 今のところそういうことには出会えない。
[39:35 - 39:36] 出会えないですか。
[39:36 - 39:40] 今のところ出会えない、そういう良いところのことです。
[39:40 - 39:41] そうなんですよ。
[39:41 - 39:44] だからちょっとメモリーが今やってらっしゃることに対すると、
[39:44 - 39:47] 足りない状態っていうところですね。
[39:47 - 39:49] そっか、エッジ使ってないなぁ。
[39:49 - 39:52] エッジの方が多分はるかに軽いし早いと思います。
[39:52 - 39:58] そうなんだ。2、3年前ぐらいとか一瞬使いましたけど。
[39:58 - 39:59] はいはい。
[39:59 - 40:00] TG屋の方は何してるの?
[40:00 - 40:02] 私Firefox買ったんです。
[40:02 - 40:04] Firefox?
[40:04 - 40:06] だったっけ?それ名前でしたっけ?
[40:06 - 40:08] Firefoxですね。
[40:10 - 40:11] オンライン?
[40:11 - 40:12] 消しまして。
[40:12 - 40:14] 私これ使ってます。
[40:19 - 40:21] これですね。
[40:21 - 40:33] いっぱい情報が出てくるのが嫌すぎて
[40:33 - 40:36] いらない情報だから
[40:36 - 40:39] いらんプリンター消してきますね
[40:39 - 40:40] 賛成します
[40:40 - 40:42] いらんすか
[40:42 - 40:46] 今のところは使っているのは結局
[40:46 - 40:48] さっきのこれですよね
[40:48 - 40:51] この人、この人はいらないですね。
[40:51 - 40:52] これいらない。
[40:52 - 40:53] これも、うん。
[40:53 - 40:54] ちょっと気を消しますね。
[40:54 - 40:55] はい。
[40:55 - 40:56] これは?
[40:56 - 40:57] それもいらない。
[40:57 - 40:58] いらないですね。
[40:58 - 40:59] はい。
[40:59 - 41:02] で、これは使ってらっしゃるんですか?
[41:02 - 41:04] わかんないんだろうな。
[41:04 - 41:07] 今、この3つは削除している最中です。
[41:07 - 41:10] あ、これは多分いらないですね。
[41:10 - 41:11] ほんと?
[41:11 - 41:12] あとこれもいらないと思う。
[41:12 - 41:16] はいはいはい。
[41:16 - 41:23] これは多分IRなんで、キャノンの複合機ですかね。
[41:23 - 41:26] これ2つは多分使ってないですね。
[41:26 - 41:32] これですね。キャノンの多分単品複合機ですね。
[41:32 - 41:35] これもいらないですね。
[41:35 - 41:38] あとは、これはキャノンのあの人です。
[41:38 - 41:40] その下の木、それなんかいるんじゃないの?
[41:40 - 41:43] これはPDF作る木です。この下はいらないですね。
[41:43 - 41:46] XPSは要らないと思います。
[41:46 - 41:49] シャープは使ってますよね。
[41:49 - 41:51] それ2つ意味分からないですね。
[41:51 - 41:56] 多分ワンダーシェアっていうPDF見るソフトのやつなんですけど、
[41:56 - 41:57] 要らないっちゃ要らないですけど。
[41:57 - 41:58] 要らないですか。
[41:58 - 42:01] じゃあ消します。シンプルにしていきましょう。
[42:01 - 42:03] 10代だ。
[42:03 - 42:05] 要らないですね。
[42:05 - 42:09] 多分OneNoteも使ってないですよね。
[42:09 - 42:11] 全く使ってない。
[42:11 - 42:13] 何さんかわかりません。
[42:13 - 42:15] ですね。
[42:15 - 42:17] これで多分いけます。
[42:17 - 42:22] 遅いんだか何だかやったら時間かかりますね。
[42:22 - 42:23] 本当にすみません。
[42:23 - 42:27] いえいえ。お姉さんは悪くないんで。
[42:27 - 42:32] こちらのプリン、パソコンがなんか調子がおかしいですね。
[42:32 - 42:34] ちょっと一回これエクセル閉じます。
[42:34 - 42:35] あ、保存してください。
[42:35 - 42:36] 保存しますね。はい。
[42:36 - 42:38] 一旦ちょっとこれいいですか。
[42:38 - 42:39] それも大丈夫。
[42:39 - 42:40] いいですか。
[42:40 - 42:42] それもご存知ください。
[42:42 - 42:44] 大丈夫でしたね。
[42:44 - 42:48] ちょっと今この辺を一旦閉じて。
[42:48 - 42:51] LINEとかも消してもらって大丈夫?
[42:51 - 42:53] 分かりましたよ。
[42:53 - 42:56] 一回ちょっと閉じますね。
[42:56 - 42:59] やたら進みが遅いんですよ。
[42:59 - 43:02] カンボジアの実習生って今何人くらいいるの?
[43:02 - 43:04] 難しい質問だな。全部で?
[43:04 - 43:07] 富山工場?50くらいいると思う。
[43:07 - 43:11] スカイとかも入れたら70くらいか
[43:11 - 43:13] そうだね
[43:13 - 43:15] スカイでも12でしょ
[43:15 - 43:17] 12、21
[43:17 - 43:19] 70くらいか
[43:21 - 43:23] 70はいるかもしれない
[43:31 - 43:33] 重い!
[43:33 - 43:39] すべてを無視して、全身しかしていないのですね。
[43:39 - 43:43] はい。孫さんみたいなもんですね。
[43:43 - 43:46] 孫正義。
[43:46 - 43:49] ハゲてるのは俺がハゲてるんじゃねえよって。
[43:49 - 43:52] 俺の全身スピードは速いからだって。
[43:52 - 43:56] 大磯は最新入ってるんで
[43:58 - 44:02] なんかちょっとプリントモニター系がおかしいので
[44:02 - 44:06] 一旦プリントサービスを再起動します
[44:09 - 44:13] 大磯さん、財布に5万円ほど入れといて
[44:13 - 44:15] いつ?
[44:16 - 44:20] ロッカーが俺から中山さんがいない時に届くかな
[44:20 - 44:23] かもしれないから
[44:23 - 44:27] 私最近現金入ってないから知っとるやろ
[44:27 - 44:28] じゃあ今度も足しとこうか
[44:28 - 44:32] もらっとこう私それマジで現金なんかないから
[44:32 - 44:33] 信じれへん
[44:33 - 44:34] え?
[44:34 - 44:35] それが信じれへんわ
[44:35 - 44:39] いや現金使わないのカードしか使わないから
[44:39 - 44:42] 明日また
[44:42 - 44:45] ここ出っ放しだけどこれ
[44:45 - 44:47] これこれこれ
[44:47 - 44:49] これ誰の何?
[44:49 - 44:52] 何か出てきてる紙
[44:52 - 44:54] これも入れてみて
[44:54 - 44:56] ここ?
[44:56 - 44:58] 私たちもいろいろ
[44:58 - 45:00] 今度は叩き直してもらおう
[45:00 - 45:01] 誰に貼りたい?
[45:01 - 45:02] あとは俺に
[45:02 - 45:03] 俺に?
[45:05 - 45:07] どういうことですか?
[45:11 - 45:13] これも保存ですね
[45:13 - 45:14] はい
[45:14 - 45:17] ちょっと一回再起動しますね
[45:19 - 45:21] パソコンの問題があるんだね。
[45:21 - 45:31] そうですね。ちょっとメンテナンス系が全くいってないっていう感じがすごくするパソコンですね。
[45:33 - 45:37] もうちょっと綺麗になればノルシアの作業も効率が上がると思う。
[45:37 - 45:40] めちゃくちゃ上がると思いますよ。すっごい快適になると思います。
[45:41 - 45:44] それとノルシアの使い方が悪いと思う。
[45:44 - 45:48] 私は使い方が悪いと思う。無理しか言えない。
[45:49 - 45:54] 今
[45:54 - 45:58] 帰ってないと思うよ
[45:58 - 46:06] 彼らって晩飯とかって自分たちで作ってやってるんですか?
[46:06 - 46:08] 自分たちで
[46:08 - 46:12] ってことは出てくる飯も向こうっぽい感じなんですか?
[46:12 - 46:13] そうそうそう
[46:13 - 46:14] 匂いも
[46:14 - 46:16] 向こうです
[46:16 - 46:24] 向こうです。 向こうの食材はないですよね? 調味料とか自分たちに持ってきてるんですよ。
[46:24 - 46:28] 富山にもそういう店が増えました。 あ、そうなんですか。
[46:28 - 46:30] そんなとこあるんだ。 いっぱいあります。
[46:30 - 46:38] いっぱいって言ったら変だけど、3、4つくらいは。 もっとあると思うな。俺は知ってるだけでそれくらいあるから。
[46:38 - 46:41] なんかその系ってカルビーぐらいしか物に浮かばないですけどね
[46:41 - 46:47] カルビーぐらいしか、なんかあちら系の物って
[46:48 - 46:51] 多分そういうところでは買いません、この子たちは
[46:51 - 46:52] 賢いんだ
[46:52 - 46:56] ここ安くて地元っぽいところで
[46:56 - 47:00] この割り切り
[47:02 - 47:04] でもなんかちょっとさっきそこから変わってきたのは
[47:04 - 47:06] なんか日本っぽい夢だったんですけどね
[47:06 - 47:06] そうなんですか?
[47:06 - 47:07] ええ
[47:07 - 47:13] その後ですね。その後に入るんですね、スコーンと。
[47:14 - 47:21] 再起動すらできないですね。だいぶ来てるかもしれない。
[47:21 - 47:25] こんな困らせる予定じゃなかったけど。
[47:25 - 47:28] だいぶちょっとこじらせ気味の方ですね、この人は。
[47:28 - 47:33] 多分飲みついたんじゃない人も座ったから、嫌がってるんだ。
[47:33 - 47:36] まず、今日の朝、立ち上がらなかったよ、この世代は。
[47:36 - 47:38] 何をやっても立ち上がらなかった。
[47:38 - 47:42] で、一回全部出に落として、もう一回やってみた。
[47:42 - 47:46] でも、4年前ぐらいのモデルだから、そこまで古くないんですけどね。
[47:46 - 47:50] もともとね、いい子なんだと思うんですけどね。
[47:50 - 47:53] そんな悪い能力的には良くないんですか?
[47:53 - 47:57] まあ、4世代前なんで、古いちゃ古いです。
[47:57 - 48:01] けど、使えるかって言ったら、全然使えます。
[48:01 - 48:07] だいたいこの後2台前だともうダメですねって感じなんですけど
[48:10 - 48:11] 俺のもっと古いんですよ
[48:11 - 48:12] あ、そうなんですか
[48:14 - 48:18] 今年ぐらいが終わってくれんかなって先話してて
[48:18 - 48:20] これ来年だったら変えようっていう
[48:20 - 48:23] 今年の決算いろいろ使ったから
[48:23 - 48:24] もう来期の
[48:24 - 48:27] 来期のでちょっとなんとかしようかなって思ってて
[48:27 - 48:31] - 去年はいっぱい買ったんです。- 利益がポンと出たから。
[48:31 - 48:35] - 出たから。これちょっと入れてもらっていいですか。- はい。
[48:35 - 48:41] - そうですね。買い替えタイミングは決算前って感じじゃないかな。
[48:41 - 48:45] - 全然いいんですけど、利益は出てるかな。- うん。
[48:45 - 48:54] - でも、村上社長から工事費用がドカッと。- 明日、分かってますよね。
[48:54 - 48:59] あの、金曜日ですからね。
[48:59 - 49:10] はい、来ましたね。
[49:10 - 49:14] ちょっと調子が斜めな方ですね。
[49:14 - 49:18] 頑張ってるでしょ?前に使ってるんですよ。
[49:18 - 49:22] しばかれてるんやな、って感じが。
[49:22 - 49:25] やっぱあれだな。
[49:25 - 49:29] 何でかって原因が知りたいよね、いつも。
[49:29 - 49:30] よくわからないんだよね。
[49:30 - 49:35] でもスピード感に関しては、前からこんな感じでスパッとはいかないの?
[49:35 - 49:40] そうですね。メーカー製PC特有のいらんもんたくさん入ってるっていうのは、
[49:40 - 49:42] あー、それはいらないやつがありますね。
[49:42 - 49:45] うん、かなり入ってますんで。
[49:45 - 49:47] 松下さん、どこでもパソコン買えるんですか?
[49:47 - 49:53] ああもうこれ買ってくださいって教えるんで買って連絡いただいたらもう基礎設定全部バーって
[49:53 - 49:56] いらないのでもいらないんですけど
[49:56 - 50:04] だってそうしてもらった方が多分特例一括損金とかで買った方が絶対税制面で会社得じゃないですか
[50:04 - 50:12] 200万円までで1台20万円以下のパソコンは一括特例で即時消極できるんですよ
[50:12 - 50:15] ってご存知なかったです
[50:15 - 50:19] そんな規模で買わないから分からないんですよね
[50:19 - 50:20] でも1台2台とかでもいいんですよ
[50:20 - 50:21] そうなんですか
[50:21 - 50:21] そうです
[50:21 - 50:24] 税理士側が分かっていれば全然
[50:24 - 50:26] 特例消却いけますこれ
[50:26 - 50:29] なるほどねだから案内するんだ
[50:29 - 50:30] そうなんです
[50:30 - 50:36] そういうのを税制面で見てもらったらいいと思うんですよね
[50:36 - 50:41] じゃないとパソコンそういうと仕事が全部遅くなっちゃうんで
[50:41 - 50:42] そうね
[50:42 - 50:43] 買おうか
[50:43 - 50:47] の方がいいとは思うんですけどね
[50:47 - 50:51] 買う機種だけこれにしてくださいねっていうので
[50:51 - 50:54] やっとけば間違いなくいけますので
[50:54 - 50:56] ノートでこれぐらいのってありますか?
[50:56 - 50:57] 画面ですか?
[50:57 - 50:58] 画面っていうか
[50:58 - 51:00] 画面はないよ
[51:00 - 51:01] 画面はいいんですけど
[51:01 - 51:02] 速さですか?
[51:02 - 51:03] 速さ
[51:03 - 51:07] 速さはこれ以上の速さでも6万ぐらいです
[51:07 - 51:07] そうなんだ
[51:07 - 51:08] はい
[51:08 - 51:10] 薄っ
[51:10 - 51:20] で、私のオススメは4万ぐらいのウルトラワイドのモニターを入れられるのが一番オススメです。
[51:20 - 51:21] その心は?
[51:21 - 51:23] エクセルを縦に3つ引っ掛ける。
[51:23 - 51:25] 最高じゃないですか。
[51:25 - 51:30] そう、それがもうめんどくさいじゃないですか。
[51:30 - 51:32] いっぱい繋げなきゃいけないし。
[51:32 - 51:33] めんどくさいよ。
[51:33 - 51:39] もうあの2人はあれで習ってるから、これはうーんと思ったけど。
[51:39 - 51:42] この2画面がいいんだっていうか
[51:42 - 51:44] あればいいと思うけどね
[51:44 - 51:46] 1画面で横長なんですよ
[51:46 - 51:48] だからやりやすいっていうのがあるんですね
[51:48 - 51:52] あと私から5分だけ使い方を聞くだけで
[51:52 - 51:56] 窓を自由自在に動かせるようになるので
[51:56 - 51:59] 渡下さんの授業5分も聞くのか
[51:59 - 52:02] ちょっと辛いかもしれませんね
[52:04 - 52:07] 本体と画面別々に買うってこと?
[52:07 - 52:18] そうです。おすすめは、別にどこか持っていかないんだったら、こういうちっちゃいデスクトップのタイプを置かれるのがいいと思いますし。
[52:18 - 52:19] 持っていかない。
[52:19 - 52:23] ノートは、やっぱり持っていく人はやられてもいいと思うんですけど。
[52:23 - 52:26] ノートパソコンでも、すっごい軽いじゃないですか。
[52:26 - 52:27] はい。
[52:27 - 52:28] あれ、なんであんな軽いんですか?
[52:28 - 52:42] 軽い方向には2つありまして、そもそもビジネスモバイルっていうだいたい値段が20万円に近いものは外装がジェラルミンなんです。
[52:42 - 52:52] なるほどね。前の会社のパソコンはノートだったんですけど、すっごい軽くて、なんでこんなに軽いと思って。一般的に使ったら結構重たいじゃないですか。
[52:52 - 52:58] あと富士通とかの買うとすげー重たい感じなんですよね
[52:58 - 53:02] これ軽くて買い回り用って言ったけど
[53:02 - 53:06] 画面を一個大きくしたら重さが重くて
[53:06 - 53:11] でもこれよりも画面が小さくなるのも嫌だなーって
[53:11 - 53:17] 実は画面が小さくても画面の解像度が高ければいいんですよ
[53:19 - 53:20] これは1キロですよ
[53:20 - 53:27] これ、塊かんですけどね。 これ僕は大きさ重視ですけどね。
[53:27 - 53:31] 重い?これ2kg、2.3kgくらいあるよ。 重たいな。
[53:31 - 53:33] これ1kg。 軽いのかな?
[53:33 - 53:37] 貸して貸して。 重いね。
[53:37 - 53:43] だからもう。 これ1kgジャストなんですか?
[53:43 - 53:48] いや、もっと軽かった。 もっと軽いやつだと800グラム系のやつですね。
[53:48 - 53:57] すっごい軽くていいなと思って。レノボのX13。レノボだ。そうそう。Xシリーズは軽いです。ビジネスノートなんで。
[53:57 - 54:03] 改造してあるかと思って、だからこんなに軽くなってるのかなと思ったの。個別に。
[54:03 - 54:11] なるほど。その可能性もあるかもしれんけど、軽いのはあるんだね。そうです。レノボだと思いました。ですよね。
[54:11 - 54:18] あれもレノボなんですけど、普及モデルの多分Rっていうシリーズだと思うんですよね、そういうのは。
[54:18 - 54:25] これはもう、もともと付き合ってた、今組合が付き合ってたパソコン屋さんにお願いした。
[54:25 - 54:26] ああ、なるほど。
[54:26 - 54:29] ハイテクス?へぇー。
[54:29 - 54:36] レノボもラインが6つぐらいあるんですよね。それによってやっぱりグレードが全然違ってて。
[54:36 - 54:38] レノボって安いんですか?
[54:38 - 54:46] キノボは中身とあれ次第です
[54:46 - 54:50] でもXシリーズで16万ぐらいですかね
[54:50 - 54:52] 選ぶものだよね
[54:52 - 54:54] 選ぶものですね本当に
[54:54 - 54:56] これ24万なんですけどね
[54:56 - 54:58] 私フジツーが良くて
[54:58 - 55:01] フジツーは600グラムというとんでもない軽いやつがあるんです
[55:01 - 55:02] そうなんだ
[55:02 - 55:06] 多分今販売されているノートで一番軽いやつですね
[55:06 - 55:09] バッテリーがその代わりあんま持たないんですけど
[55:09 - 55:12] それはちょっと困りますねってやつなんですけど
[55:12 - 55:17] すいませんこいつですねかなり調子悪いので
[55:17 - 55:21] 夜中にちょっと調整させてもらっていいですか
[55:21 - 55:25] このままだとお帰りになるのがどんどん遅くなるので
[55:25 - 55:28] 私の診断ソフトをちょっと入れさせていただいて
[55:28 - 55:31] 夜中遠隔で操作させていただきます
[55:31 - 55:32] すいません
[55:32 - 55:38] これ外してもらうと良いですか?
[55:38 - 55:42] 付けにくい。付けにくく外していく。
[55:42 - 55:44] ケーブル刺すとこ。
[55:44 - 55:47] 今それはマウスじゃないですかね。
[55:47 - 55:49] マウス刺すとこが。
[55:49 - 55:51] いいですよ。お取りください。
[55:51 - 55:54] マウスを刺さないとですね。マウスが操作できない。
[55:54 - 55:56] なるほどね。
[55:56 - 55:57] ここじゃダメ?
[55:57 - 55:58] あそこ繋がってます。
[55:58 - 56:04] 下にも、あのね、つながり調子悪いけど、でもね、来て来て。ここじゃダメ。
[56:04 - 56:06] ここ最近調子悪い。
[56:06 - 56:08] あ、本当ですか。つながってないっすね。
[56:08 - 56:10] やっぱり。
[56:10 - 56:13] いろいろ変えましょうか。
[56:13 - 56:13] ごめんなさい。
[56:13 - 56:19] じゃあこれ刺したら、ラメッツ刺さらないんですか、そっち。
[56:19 - 56:25] これね、えっとね、大きさがちょっと大きくて、こいつの横が。
[56:25 - 56:31] うーん、なかなか帯に短きタスキン回しな感じですね。
[56:31 - 56:34] おっさんさん、聞いたその言葉。
[56:34 - 56:39] 仕方がないので、ちょっとネット経由で入れます。サポートモジュールを。
[56:39 - 56:44] あ、分かった。後ろ側にもあるかもしれない。ここ。
[56:44 - 56:48] ここに。いる。
[56:48 - 56:52] じゃあ、こいつをお願いいたします。
[56:55 - 56:58] 何か一緒に剥がれると
[57:00 - 57:03] いけた! ありがとうございます
[57:09 - 57:11] どうでしょう?
[57:11 - 57:13] いけました? なるほど
[57:13 - 57:16] どうした? 効かなくなる
[57:16 - 57:20] ダメだった? いや、多分このパソコンなんかおかしいっすね
[57:20 - 57:24] パソコンがダメなんだ パソコンがおかしいっすね
[57:24 - 57:28] 調子がなんか全体的におかしい
[57:28 - 57:32] キーボードだけで再起動します
[57:32 - 57:39] いや、なかなかいろんなものがたまっているかな
[57:39 - 57:43] 夜中見てちょっと
[57:43 - 57:44] 見れそうですか?
[57:46 - 57:49] この中にサポートソフトが入っているんですけど
[57:49 - 57:50] それさえ入れてしまえば
[57:50 - 57:59] ザ調子がおかしいという感じの調子がおかしい
[57:59 - 58:02] さっきも再起動がなかなかできないという
[58:02 - 58:03] 最近遅いなと思ってた
[58:03 - 58:04] ですよね
[58:04 - 58:08] なんかちょっとおかしいねって感じですね
[58:08 - 58:10] まだちょっと見てやってください
[58:10 - 58:14] 中のソフトとかは全部そのままで
[58:14 - 58:18] 新しいパソコンに移行するというのはできるので
[58:18 - 58:22] これはなんかちょっと機械的におかしい気がしますね
[58:22 - 58:25] なんかもう使ったのも消してもらって大丈夫
[58:25 - 58:28] 嫌です
[58:28 - 58:32] 今嫌ですって言った瞬間の目が柔らかかったです
[58:32 - 58:35] ギロってきました
[58:35 - 58:39] うーんちょっとあれですね
[58:39 - 58:41] なかなか来ないですね
[58:41 - 58:44] 珍しいな
[58:44 - 58:49] そんだけだとちょっとさせられないなっていうこと
[58:49 - 58:52] 帰っていいですか?
[58:52 - 58:54] パソコンを変えないといけないなって
[58:54 - 58:58] でも俺のモッドする3年くらいは
[58:58 - 59:00] そのパソコンがですか?
[59:00 - 59:04] 最近ちょっと固まるようになってきた
[59:04 - 59:08] 最近パソコンそんなに高くないですからね
[59:08 - 59:10] でも新しいのに
[59:10 - 59:13] 新しいパソコンの最初がいつも家やから
[59:13 - 59:16] 環境はそのままに移行できますよ
[59:16 - 59:20] 入ってるもん全部、ソフトとか設定も全くそのままで
[59:20 - 59:22] なるほどね、助かる
[59:22 - 59:24] みんなARの底なんで
[59:26 - 59:27] 時間かかってる
[59:27 - 59:29] これ再起動してんのか
[59:29 - 59:34] そう、再起動してるんですけど、再起動すらままならん感なので
[59:34 - 59:38] 結局、朝ここ何回ぐらい押したかな?
[59:38 - 59:42] 連打してないですよ。 3、4回押しました。
[59:42 - 59:46] 長押ししたかな? 多分長押しされてるでしょうね。
[59:46 - 59:51] で、後ろ側の電源を1回ゼロでしました。 はい、正解です。
[59:51 - 59:56] それしてもダメなんだ。 じゃあもうそろそろやばいですね。
[59:56 - 01:00:04] なんなんだろうね、本当に。 まあ大体この辺でおかしくなるって言うと
[01:00:04 - 01:00:10] メモリとか ssd ってあの記録しているところがあるんですけどがやれてきてるって いうときです
[01:00:10 - 01:00:16] ええあの 例えばなんかファイル保存したりとかするじゃないですかああいうところって
[01:00:16 - 01:00:24] プチプチなんですよ 1回書くとプチって潰して二度とそこを書けないっていうでいっぱい書き込みが入ると
[01:00:24 - 01:00:33] そのプチプチで潰しちゃったところが増えていく 書くとがなんかうまくいかなくなる
[01:00:33 - 01:00:35] ありがとうございます
[01:00:37 - 01:00:39] この辺にいたのが息子です
[01:00:41 - 01:00:43] 学校はこの辺なんですか?
[01:00:43 - 01:00:45] はい、南中です
[01:00:45 - 01:00:47] もう卒業しましたけど
[01:00:47 - 01:00:49] うちも湖南中なんですよ
[01:00:49 - 01:00:53] 村田のすぐ南なんです、上野琴吹町
[01:00:53 - 01:00:55] はいはい、わかります
[01:00:55 - 01:00:57] 寺戸です
[01:00:57 - 01:00:59] あ、そうなんですか
[01:00:59 - 01:01:03] あの、浦田製作所のすぐ南のところですね。
[01:01:03 - 01:01:06] 高難柱って何グラス?
[01:01:06 - 01:01:07] 2、3じゃないですか?
[01:01:07 - 01:01:09] 2、3ですね。少ないんですよ。
[01:01:09 - 01:01:11] 少ないね。
[01:01:11 - 01:01:13] これでいけるかな?
[01:01:13 - 01:01:17] でも今の時2、3じゃないですかね。難柱が多いぐらいですよ、きっと。
[01:01:17 - 01:01:18] 難柱で6ぐらいあった?
[01:01:18 - 01:01:22] 5。あわしは5だった。
[01:01:22 - 01:01:24] さあ、どうかな?
