[00:00 - 00:06] これでちょっと端末の方で録音するようにいたしました
[24:07 - 24:10] これをもっと早く入れたかったら
[24:10 - 24:11] 徹底していきたいと思います
[24:11 - 24:12] なるほど
[24:12 - 24:15] 経営コンサルリオンもいただかなきゃいけないな
[24:15 - 24:17] ありがとうございます
[24:17 - 24:18] でも良かったですね
[24:18 - 24:22] 組織というものを今までないというか
[24:22 - 24:25] フラットすぎる関係性だったと思うんですけど
[24:25 - 24:27] それがやっぱり組織図を通して
[24:27 - 24:32] 人の責任と権限がはっきりすることになったので
[24:32 - 24:37] よりマネジメントに注力できるという状況だったのかなと思います
[24:37 - 24:41] あとは失敗に対してどう向き合ってますか
[24:41 - 24:43] いろんな失敗が今までも
[24:43 - 24:48] 私が聞いているだけでも相当いろんな失敗があったんですが
[24:48 - 24:49] そういうことが起こった時
[24:49 - 24:53] どういうふうな心持ちで接してられますかね
[24:53 - 24:56] スタッフの失敗ってことですよね
[24:56 - 24:58] スタッフの失敗もありますし
[24:58 - 25:00] 自分自身の失敗もそうですし
[25:00 - 25:05] なんか一つ絶対思っていることが
[25:05 - 25:08] 過去は変えられないから未来を変える
[25:08 - 25:11] っていうことに集中してます
[25:11 - 25:13] 失敗は誰でもするし私もするけど
[25:13 - 25:16] なんでそれが起きたのかを
[25:16 - 25:19] 失敗しましたじゃなくて分析してもらうようにしてて
[25:19 - 25:20] 私もするし
[25:20 - 25:23] 意外にこれみんなしてないんですね
[25:23 - 25:24] 失敗しました
[25:24 - 25:26] なんで起きたのって聞くと
[25:26 - 25:29] これはそんなんだったんじゃないかなと思いますとか
[25:29 - 25:30] 思いますとかなんだけど
[25:30 - 25:32] いやダメだよって思うんじゃなくて
[25:32 - 25:35] 徹底して見つけてくれるっていうのをやってます
[25:35 - 25:38] 責めてるんじゃないんだよ
[25:38 - 25:41] なんでこれが起きたかを知ることで防げるでしょって
[25:41 - 25:45] でも今それがなんで起きたか分からなかったら防げないでしょって
[25:45 - 25:49] だから絶対なんで起きたかだけは見つけろって言ってます
[25:49 - 25:51] 誰がやったかも見つける
[25:51 - 25:53] それは責めるためじゃなくて
[25:53 - 25:55] 二度と同じミスが起きないように
[25:55 - 25:57] みんなで頑張るためだよってことを徹底してます
[25:57 - 25:58] なるほど
[25:58 - 26:02] そうですねまず失敗に関する定義と要因というところが
[26:02 - 26:05] 曖昧になっているというのが大きなところだと思うので
[26:05 - 26:08] そこをやっぱり追求していくということは
[26:08 - 26:12] 組織としての強みもそこに出てくるところだと思いますので
[26:12 - 26:14] 重要なところだと思います
[26:14 - 26:18] ではちょっと駆け足にしまして採用についてですね
[26:18 - 26:22] 御社の方ではどんな人物を求めているんでしょう
[26:22 - 26:24] 一体どんな人と一緒に働きたいですか
[26:24 - 26:30] 今のまだ組織が小さいんですよね
[26:30 - 26:33] その中においてはやっぱり私の理念に
[26:33 - 26:36] 食らいついてきてくれる人が本当に欲しいです
[26:36 - 26:38] 何が何でも
[26:38 - 26:40] もずみまさこと一緒に働きたいんですと
[26:40 - 26:44] もずみまさこのビジョンを一緒に叶えたいんですと
[26:44 - 26:45] 一緒に
[26:45 - 26:48] ツヤとよく言うんですけど
[26:48 - 26:50] 一緒に向こう側の景色を見ようねって
[26:50 - 26:52] そういうふうに思ってくれる人を探してます
[26:52 - 26:55] なんとなく今
[26:55 - 26:57] 3級開けて暇だから
[26:57 - 27:00] ちょっと面白そうだからやってみようかな
[27:00 - 27:01] みたいな人じゃなくて
[27:01 - 27:03] 私じゃなきゃダメ
[27:03 - 27:06] もずみまさこの会社じゃなきゃ
[27:06 - 27:08] 私がやりたいことできないから
[27:08 - 27:10] 入ってきたんですって人が欲しいんです
[27:10 - 27:11] なるほど
[27:11 - 27:14] そういう風に新入社員で
[27:14 - 27:16] 応募があったんだけど
[27:16 - 27:18] すごいやりたいこととマッチしてたんだよね
[27:18 - 27:19] 彼女は
[27:19 - 27:21] でも自分で起業家になりたいって言ったの
[27:21 - 27:24] 彼女はうちの会社にも来てもらったんだけど
[27:24 - 27:25] まずね
[27:25 - 27:27] 起業家になりたいんだったらなって
[27:27 - 27:29] その夢を達成して
[27:29 - 27:32] それでもうちと働きたかったら来て
[27:32 - 27:34] だから自分が
[27:34 - 27:35] 起業家になりたいんだけど
[27:35 - 27:38] それしながらもう働けますかみたいな質問で
[27:38 - 27:39] すごい私と共感して
[27:39 - 27:41] もずみ社長と働きたいんですみたいな
[27:41 - 27:43] そのおいしいとこどりできないの
[27:43 - 27:45] 決めてねって
[27:45 - 27:46] いうところです
[27:46 - 27:49] だから副業は基本やってほしくないから
[27:49 - 27:51] 申請制にもしてるけど
[27:51 - 27:56] 将来的には松田先生のところも副業禁止できてたから
[27:56 - 27:58] 私も副業禁止にする予定です
[27:58 - 28:02] そうですね まず本業しっかりしてくださいね
[28:02 - 28:04] 私なんですけどね
[28:04 - 28:06] そうですね 文澄さんのおっしゃってることは
[28:06 - 28:10] ちょっと私懐かしいなって思った部分が一つあって
[28:10 - 28:18] 21年前に当初起業したばっかりの当時のDNAですね
[28:18 - 28:20] ナンバーさんとお会いした時に
[28:20 - 28:24] 同じような熱量と内容で喋られてたのを思い出しました
[28:24 - 28:27] そうなんですよ
[28:27 - 28:30] ちょうどその時自動車のオークション関係のやつで
[28:30 - 28:32] ビッターズっていうオークションサイトを
[28:32 - 28:34] DNAさんが立ち上げてたんですけど
[28:34 - 28:36] そこの中に1回参画するので
[28:36 - 28:40] ちょうど車掌室でお会いしてお話ししてたところがあったんですけど
[28:40 - 28:41] 同じような感じの熱量でした
[28:41 - 28:48] では採用で最も重視する要素は何でしょう
[28:48 - 28:50] 例えばスキルや価値観経験など
[28:50 - 28:52] いろいろあると思うんですが
[28:52 - 28:55] まず新入社員だったら
[28:55 - 28:59] 今初めて一人会社に入るんだったら
[28:59 - 29:02] まず私のビジョンにさっき言ったみたいに
[29:02 - 29:06] しっかり合致して夢を一緒に求められるか
[29:06 - 29:08] っていうところがやっぱり一番重要なのと
[29:08 - 29:12] それと最低限の結構データ分析力とか
[29:12 - 29:14] パソコンスキルは欲しいんですね
[29:14 - 29:18] これが結構ない人が今多くて
[29:18 - 29:20] 入る段階でそれがないと
[29:20 - 29:22] 多分うちではもうやっていけないんで
[29:22 - 29:23] そこを結構見てます
[29:23 - 29:26] 中途採用の場合は
[29:26 - 29:30] どれだけその人が素直かってところは
[29:30 - 29:31] 私重要視してて
[29:31 - 29:34] 一回血抜いてもらわなきゃいけないんですよ
[29:34 - 29:35] 中途採用の人って
[29:35 - 29:36] ドロドロだから
[29:36 - 29:38] 自分で地位抜いても
[29:38 - 29:40] この会社で頑張ってみたいって
[29:40 - 29:43] やり直してみたいって思ってるかどうか
[29:43 - 29:43] みたいなところ
[29:43 - 29:47] そこにもちろん中途なので経験値があってのことです
[29:47 - 29:48] それはパソコンスキルだったり
[29:48 - 29:50] データ分析力だったり
[29:50 - 29:52] 私が求めている職種において
[29:52 - 29:54] それなりの偏差値がないといけないんです
[29:54 - 29:55] それプラスやっぱり
[29:55 - 29:57] どれだけピュアか
[29:57 - 30:00] どれだけ純粋に物事に取り組む姿勢を持ってるか
[30:00 - 30:01] 地位抜けるかね
[30:01 - 30:02] 自分でね
[30:02 - 30:04] なるほど
[30:04 - 30:08] 逆にどんな人は会わないと思いますかね
[30:08 - 30:10] さっき言ったみたいに
[30:10 - 30:12] ちょっと片手間で
[30:12 - 30:14] うちでアルバイトしたいだけなんですとか
[30:14 - 30:18] ちょっと活かしたいんですよねみたいな
[30:18 - 30:20] 自分の経験を活かして
[30:20 - 30:25] 上から目線だったり
[30:25 - 30:27] ちょっと横から入ってみようかなぐらいの
[30:27 - 30:30] 足片方入れてみたいんですよみたいな人いらない
[30:30 - 30:33] そうですね
[30:33 - 30:38] 片手間で仕事されてもというところはありますね
[30:38 - 30:46] そうですね 成長に関しては先ほど内容を若干おっしゃられてたので
[30:46 - 30:51] 社員のアップに関してはまだちょっと最中だと思います
[30:51 - 30:54] じゃあちょっとスカウト採用に関してですね
[30:54 - 31:00] 今 採用に関しては求人情報誌や求人サイト
[31:00 - 31:03] それから社長自らがスカウトしてくるというのも
[31:03 - 31:05] あると思うんですけども
[31:05 - 31:08] 現在スカウトで対応している理由とか
[31:08 - 31:09] 何かありますか
[31:09 - 31:13] スカウトするほど人脈がなくて
[31:13 - 31:15] 私の
[31:15 - 31:18] ファンさんとかスカウトしなかったでしたっけ
[31:18 - 31:20] 追人で来てくれたんです
[31:20 - 31:21] そうなんですか
[31:21 - 31:23] なので
[31:23 - 31:27] スカウトするほど人を知らない
[31:27 - 31:30] 誰ともつながってなくて
[31:30 - 31:34] あれそんなうちキャラでしたっけ
[31:34 - 31:37] うちなんじゃなくて
[31:37 - 31:43] 忙しいからコネクションを平場であんまり持たない
[31:43 - 31:44] なるほど
[31:44 - 31:47] 私もちょっとその気があるんですけど
[31:47 - 31:50] なるほどですね
[31:50 - 31:53] そしたらですね
[31:53 - 31:59] 候補者によく聞かれる質問とかってありますか
[31:59 - 32:01] よく聞かれる質問
[32:01 - 32:05] 言説の時にですね
[32:05 - 32:07] 質問ありますかと聞くと
[32:07 - 32:10] 必ず聞いてくるようなこととか
[32:10 - 32:13] なかったらないでも大丈夫ですよ
[32:13 - 32:18] 女性だったらやっぱり働き方はよく聞かれます
[32:18 - 32:26] 男性もやっぱり育児中の人が多いから
[32:26 - 32:29] やっぱりそういうことを聞いてくる人最近多いかなと思います
[32:29 - 32:35] 入社の決め手になったんですこれがって言われるようなことって何かあります?
[32:36 - 32:37] 向こうから
[32:37 - 32:41] 私これで入るって決めたんですみたいな
[32:41 - 32:43] えーないかな
[32:43 - 32:44] でも多分
[32:44 - 32:47] やりたいことが
[32:47 - 32:49] マッチしてるからだと
[32:49 - 32:50] 信じている
[32:50 - 32:54] それは多分私の方が多分わからないと思ってて
[32:54 - 32:55] あのみなさん
[32:55 - 32:58] まさこさんにと話して
[32:58 - 32:59] 絶対この会社で
[32:59 - 33:01] 働きたいって最初思う
[33:01 - 33:03] 絶対そうまさこさんについて
[33:03 - 33:05] いきたいくらいつきたいっていう人が
[33:05 - 33:08] 多いです絶対に
[33:08 - 33:10] あの感銘を受けるというか
[33:10 - 33:14] 結構ジョブインタビューの時に
[33:14 - 33:19] かなりビジョンとかを明確に伝えるんですよね
[33:19 - 33:19] 社長が
[33:19 - 33:23] なのでそれを一緒に叶えたいなって
[33:23 - 33:27] 多分イメージしやすいんだと思うんですよね
[33:27 - 33:29] そこまで行った時の自分ってどうなれるんだろう
[33:29 - 33:32] っていうところを結構思い描く人が多いんじゃないかなと
[33:32 - 33:34] 私は見てて思ってます
[33:34 - 33:35] なるほど
[33:35 - 33:39] インタビューの人もそうだった
[33:39 - 33:45] 人を引きつける力がすごくあって
[33:45 - 33:49] あとは面接で来てくれた人は
[33:49 - 33:50] 最初は分かんないかもしれないけど
[33:50 - 33:52] 社長に直接会ったりとか
[33:52 - 33:54] オンラインで話すことによって
[33:54 - 33:57] その時にも引きつけられるし
[33:57 - 34:00] 困った時にも誰かが助けてくれたり
[34:00 - 34:03] 人を引き寄せたりする力がすごいあるなって
[34:03 - 34:05] ちょっと話それますけど
[34:05 - 34:07] そういう人の運みたいなのが
[34:07 - 34:08] 私はあるんじゃないかなって
[34:08 - 34:10] 細い思ってますけど
[34:10 - 34:12] 名物社長になりそうですね
[34:12 - 34:14] なりつつあると思う
[34:14 - 34:17] 黄色い帽子をかぶりましょうか
[34:17 - 34:19] 黄色い帽子
[34:19 - 34:20] 名物社長ですか
[34:20 - 34:22] アパの社長みたいな
[34:22 - 34:25] 私こうやって水ボトルに
[34:25 - 34:26] 乗るんだ
[34:26 - 34:28] 本とかも送るんでしょ
[34:28 - 34:29] そう
[34:29 - 34:33] そしたらちょっと
[34:33 - 34:34] 授業内容サービス
[34:34 - 34:36] ちょっと重複してるとこあると思うんですけど
[34:36 - 34:38] 御社のサービスを一言で説明すると
[34:38 - 34:39] 一言ですよ
[34:39 - 34:42] もずみさん長いから
[34:42 - 34:44] 一言だって何
[34:44 - 34:45] うちのサービス
[34:45 - 34:46] うち
[34:46 - 34:48] 真実
[34:48 - 34:50] 真実
[34:50 - 34:51] なるほど
[34:51 - 34:53] ちょっと一言過ぎて
[34:53 - 34:56] どういう
[34:56 - 34:59] 私が今ちょっと印象
[34:59 - 35:02] インタビューの中で印象を取ったところで言うと
[35:02 - 35:10] 医療では評価できない真実の美容医療なのかなとは思ったんですが
[35:10 - 35:11] なるほどそっか
[35:11 - 35:13] それで言うとあれだ
[35:13 - 35:15] 知事が言ってるウェルビーングみたいな感じ
[35:15 - 35:18] それ僕一番嫌いな言葉なんですよ
[35:18 - 35:19] 私も嫌い
[35:19 - 35:23] でもそういうんじゃないとしても
[35:23 - 35:28] 最後はみんなメンタルと
[35:28 - 35:33] 食べるものと外からの環境と
[35:33 - 35:35] 3つが揃わないと
[35:35 - 35:39] 人って満足いく状態になれないと思ってるんですね
[35:39 - 35:45] それを整える場所を私が提供したいと思ってるんですよ
[35:45 - 35:48] それが嘘ではなく嘘方便の
[35:48 - 35:50] 着飾ったことだけじゃないところ
[35:50 - 35:53] それが今ちょっと本当は言わなかったんですけど
[35:53 - 35:56] 海外に店舗を出すところの間に
[35:56 - 36:00] 実は1個ホテル経営が入ってます
[36:00 - 36:01] そのホテル経営は
[36:01 - 36:03] でかいホテルやりたいんじゃなくて
[36:03 - 36:04] そこに来れば
[36:04 - 36:07] その3つが全部トリートされて
[36:07 - 36:11] すごく新しい自分に出会えるっていう
[36:11 - 36:13] 場所を作っていきたい
[36:13 - 36:14] と思っています
[36:14 - 36:15] なるほど
[36:15 - 36:18] オーベルージュみたいなところを
[36:18 - 36:19] 作りたいってことですね
[36:19 - 36:22] オーベルージュ
[36:22 - 36:24] ホテルと例えばそういう
[36:24 - 36:25] レストランじゃないですけど
[36:25 - 36:28] 高級料理店とあって
[36:28 - 36:30] あとそういうサービスみたいなのを
[36:30 - 36:32] 同時に提供するっていうのを
[36:32 - 36:34] オーベルージュっていう名前になってるんですけど
[36:34 - 36:36] そういったものを提供したいってことですね
[36:36 - 36:40] ちょっとここに関してはまた私も
[36:40 - 36:42] 一言でどう言えばいいのかっていうところに
[36:42 - 36:44] 今回のインタビュー内容から
[36:44 - 36:48] ウェルビーイングはね
[36:48 - 36:50] んな都合のいいもんねえだろって
[36:50 - 36:51] 思ってますよ
[36:51 - 36:56] 主にお客様はどんな課題を抱えていて
[36:56 - 36:59] 御社にそれを求めているんでしょうか
[36:59 - 37:01] どう解決してますか
[37:01 - 37:01] これはですね
[37:01 - 37:03] これはさっきも言いましたけどね
[37:03 - 37:08] 本当に自分が抱えている問題点が見えてない
[37:08 - 37:13] 例えば表面で肌が荒れるっていうのは
[37:13 - 37:14] 表面に出てて
[37:14 - 37:16] お腹が痛いも痛みに出てるんだけど
[37:16 - 37:19] そこの原因となる
[37:19 - 37:22] 本当の原因を追求していくことが
[37:22 - 37:23] 私すごい好きというか
[37:23 - 37:26] 得意でカウンセリングしてても
[37:26 - 37:29] その人はそこなんだけど
[37:29 - 37:30] そこに出てるんだけど
[37:30 - 37:32] 実はここが問題なんだよみたいなところを
[37:32 - 37:35] ちゃんとみんなが自覚した方がいいと思ってるんですね
[37:35 - 37:39] 私はそこをうちでサービス提供したいと思ってるんです
[37:39 - 37:41] それこそ本当真実
[37:41 - 37:46] お客さんの本当のトラブルの原因っていうのを
[37:46 - 37:49] 教えてあげるっていうことを
[37:49 - 37:50] 提供し
[37:50 - 37:53] そこから本当に解決できるような
[37:53 - 37:55] 商品サービスを提供している
[37:55 - 37:56] という形ですね
[37:56 - 37:59] これもちょっと重複するような
[37:59 - 38:00] 質問になるかもしれないんですが
[38:00 - 38:02] 競合と比較したときの
[38:02 - 38:03] 御社の強みは
[38:03 - 38:06] 他のところが嘘だとかっていう話ではなくて
[38:06 - 38:08] 具体的に
[38:08 - 38:11] 何が他社の製品と
[38:11 - 38:13] 違うのかというところを
[38:13 - 38:14] 明確にお願いしたいです
[38:14 - 38:19] スノーフォックスで言うとやっぱり
[38:19 - 38:26] 入っている成分がものすごくいいんですよね
[38:26 - 38:30] 例えば私よくこれライブでも言うんですけど
[38:30 - 38:33] ヒアルロン酸ってみんな1個だと思ってるんですけど
[38:33 - 38:35] 原料メーカーいっぱいあって
[38:35 - 38:38] 分子の大きさ違ったり特性があるんですよ
[38:38 - 38:41] どういう何からヒアルロン酸ができてるかと違って
[38:41 - 38:44] そこでただ原料ってヒアルロン酸しか書かれてない
[38:44 - 38:47] でもうちってその裏にストーリーがあるんですよ
[38:47 - 38:50] このヒアルロン酸を選んだストーリーがあって
[38:50 - 38:52] この原料を入れたストーリーがあって
[38:52 - 38:55] これとこれを合わせたストーリーがあってっていう
[38:55 - 38:59] そこの根底がいつもスノーフォークスの場合は主作
[38:59 - 39:01] フィリーの主作なんですね
[39:01 - 39:04] こうやってこのストーリーの元があるっていう
[39:04 - 39:07] 何についても無駄に入れたんじゃない
[39:07 - 39:10] だからちょっとさ価格安くしたいからお水足しちゃおう
[39:10 - 39:12] みたいなことはしてなくて
[39:12 - 39:15] ちゃんとお水もこれぐらい薄めないと
[39:15 - 39:16] 強くなるからとかね
[39:16 - 39:22] ちゃんとそこに根底に抱えている問題を
[39:22 - 39:24] 解決しようとすることに対して
[39:24 - 39:26] サービスがあるってことが
[39:26 - 39:28] すごい強みかなと思って
[39:28 - 39:31] 私はそれをレメディケールでもやっていくんですよ
[39:31 - 39:34] その人のことを解決するためのものを用意している
[39:34 - 39:36] なるほどありがとうございます
[39:36 - 39:38] 非常に分かりやすかったです
[39:38 - 39:44] 現在は顧客とか実績でいうと主な顧客数はやはり主婦
[39:44 - 39:48] 30代50代とかそんな形ですか
[39:48 - 39:51] 45プラスが多くて
[39:51 - 39:56] 価格帯も高いのでやはりしっかりした収入がないと
[39:56 - 39:58] 購入できないと思っていて
[39:58 - 40:03] そういった方が何だったら55、60プラスもいらっしゃいますよね
[40:03 - 40:07] なるほど特に肌の問題を抱えていらっしゃるような
[40:07 - 40:09] ハイエンド層を狙っている
[40:09 - 40:12] 主な顧客層であるということですね
[40:12 - 40:17] お客様からの評価で
[40:17 - 40:20] 嬉しかったこととかありましたでしょうか
[40:20 - 40:21] レビューでね
[40:21 - 40:25] すごいうちめちゃめちゃレビューいいんですけど
[40:25 - 40:29] こんなの初めてですみたいな
[40:29 - 40:33] 私が思ったのは
[40:33 - 40:34] ヘアセラム
[40:34 - 40:40] ヘアセラムが結構なお値段もするし量も入ってるんですけど
[40:40 - 40:44] あれ最初本当に不動在庫になってて
[40:44 - 40:47] 発売した時どうやって売っていくみたいな
[40:47 - 40:49] でなんかキットに入れたりとかして
[40:49 - 40:53] 結構いろんな人が使えるようにというか
[40:53 - 40:55] 手に届くようにっていうのは工夫はしてたんですけど
[40:55 - 40:58] レビューが1個あって
[40:58 - 41:03] 毎月1本100mlも入ってるのに定期便にする方がいて
[41:03 - 41:06] その方がレビューを書いてくださったんですよね
[41:06 - 41:08] 1ヶ月しっかりこの量使ったら
[41:08 - 41:10] 私は老けが治ったし
[41:10 - 41:13] 主人は匂いが良くなってみたいな
[41:13 - 41:17] ちゃんと解決してくれてみたいなのがあって
[41:17 - 41:19] それを見たからかは分からないですけど
[41:19 - 41:25] その後すごい普通に循環する在庫になったんですよ
[41:25 - 41:28] レビューの力で私たちも力をもらって
[41:28 - 41:31] こんなこと書けるねってキーワードを抽出して
[41:31 - 41:34] やっぱりそれをクリエイティブに活かしたりってこともできたし
[41:34 - 41:37] ページにも書いたりとかもきっとできたし
[41:37 - 41:40] 多分お客さんもそれ見て買うっていう方も
[41:40 - 41:41] 増えたんじゃないかなってすごい思います
[41:41 - 41:43] そうですね
[41:43 - 41:45] うちもその製品レビューで
[41:45 - 41:47] お客様からの言葉をいただいて
[41:47 - 41:50] クリエイティブ側に載せることによって
[41:50 - 41:53] 共感力が商品の中にあって
[41:53 - 41:56] 同じように不動在庫だったものが
[41:56 - 41:59] いつの間にやらトップセールになっているというのは
[41:59 - 42:02] やはりその反応がいいものっていうのは
[42:02 - 42:05] 本当に使って喜んだ人の声っていうのは
[42:05 - 42:06] 大きいですよね
[42:06 - 42:09] それ商標登録するもんね
[42:09 - 42:11] それをすぐにね
[42:11 - 42:13] 鉄壁パウダー
[42:13 - 42:15] 美容液パウダー
[42:15 - 42:16] レビューを商標登録する
[42:16 - 42:19] じゃあ
[42:19 - 42:22] まさこさんへの
[42:22 - 42:23] もずみさんへの
[42:23 - 42:26] インタビューは以上です
[42:26 - 42:29] ではまゆちゃんの方
[42:29 - 42:31] 担当者向けインタビューということで
[42:31 - 42:39] ここからは職種は何でしたでしょうか
[42:39 - 42:40] 私ですか
[42:40 - 42:44] 所属としては営業本部なんですけど
[42:44 - 42:48] 多分普通の営業っていうイメージとちょっと違くて
[42:48 - 42:49] どっちかっていうと
[42:49 - 42:53] ホールセル営業みたいなところと
[42:53 - 42:55] あと店舗の運営ですね
[42:55 - 42:59] 今伊勢丹と札幌の丸井舞というデパートに
[42:59 - 43:00] 2店舗あるので
[43:00 - 43:04] そちらのスタッフの管理であるとか
[43:04 - 43:06] 施策の決定とかプロジェクト化して
[43:06 - 43:09] ちょっと動かしてたりっていうのはありますが
[43:09 - 43:11] それ以外に私は物流とか
[43:11 - 43:14] 発想のところもやっているっていう感じになります
[43:14 - 43:16] なるほど
[43:16 - 43:23] 先ほどまではECサイトのお話を
[43:23 - 43:26] もずみ社長の方からはよく聞いてたんですけども
[43:26 - 43:29] 実際の実店舗の方も運用されているということで
[43:29 - 43:33] そこでのサービスとか製品とか
[43:33 - 43:34] あとはターゲットとか
[43:34 - 43:37] その辺をちょっとお聞かせ願いますか
[43:37 - 43:40] サービスに関しては
[43:40 - 43:42] そうですね
[43:42 - 43:46] やっぱりまずはお声掛けしてっていうところから始まる
[43:46 - 43:48] お客様のキャッチから始まるんですけれども
[43:48 - 43:50] 興味を持ってくださった方には
[43:50 - 43:52] 必ずタッチアップであるとか
[43:52 - 43:55] 座って体験をしていただくとか
[43:55 - 43:58] 特にヘアブラシがやっぱり認知度が高いので
[43:58 - 44:00] お求めの方が多いんですけど
[44:00 - 44:03] そういう方には必ずヘアセラムとかオイルとかと一緒に
[44:03 - 44:06] ブラシも3種類体験していただいて
[44:06 - 44:10] そこで決めなくてもやっぱりいいなと思ったら
[44:10 - 44:11] 戻ってきたりとか
[44:11 - 44:15] あとやっぱり公式とか他のモールで買われるってこともあるので
[44:15 - 44:18] そういう試したいってお客様は
[44:18 - 44:22] コロナ後多分ちょっと減ったと思うんですけど
[44:22 - 44:26] ここ1年2年でやっぱり戻ってきてる感じがすごくあって
[44:26 - 44:31] そういう方に提供できるサービスを
[44:31 - 44:33] 店舗でやってるかなと思います
[44:33 - 44:36] あと何でしたっけサービス以外に
[44:36 - 44:38] ターゲットですね
[44:38 - 44:41] ECの方では45プラスとかっていう話が
[44:41 - 44:43] 大住社長からありましたが
[44:43 - 44:45] 実店舗とかの方ではどうでしょうか
[44:45 - 44:49] 実店舗においても
[44:49 - 44:52] やっぱり同じぐらいになってくるのかなとは思うんですけど
[44:52 - 44:55] やっぱりターゲットとしてはそこですけど
[44:55 - 44:59] 30代以上の方とかが百貨店はよく来られているので
[44:59 - 45:04] そういう若い方まだ働き盛りみたいな方も
[45:04 - 45:08] ターゲットというかもちろんお声掛けはして接客もしますし
[45:08 - 45:11] ただやっぱりよく売れる
[45:11 - 45:16] 特にスキンケアが売れるのは45プラスなので一緒かなと思います
[45:16 - 45:17] なるほど
[45:17 - 45:19] そうですね
[45:19 - 45:21] 次はですね
[45:21 - 45:29] ツヤさん個人のこれまでの主な実績を教えてください
[45:29 - 45:31] 実績
[45:31 - 45:37] 私は実は最初はバックオフィスとして入ったんですよね
[45:37 - 45:39] そこに興味
[45:39 - 45:41] もともとフリーランスとして
[45:41 - 45:46] 一人社長とか小さな会社のバックオフィス
[45:46 - 45:50] まるっとみたいなのを結構やっていたっていうのを
[45:50 - 45:54] 社長がコミュニケーション取った時に知って
[45:54 - 45:56] そこに興味を持ってくれて
[45:56 - 45:59] その役割で入ったところはあったんですが
[45:59 - 46:02] まだその時は社員2人目とかだったので
[46:02 - 46:04] もちろんその中でも発送をするし
[46:04 - 46:07] 伊勢丹がちょうど始まった時だったので
[46:07 - 46:11] もうポップアップも入社1週間で行けましたし
[46:11 - 46:14] 東京に出張しに行ってみたいな
[46:14 - 46:17] だからいろんなことはさせていただいてた中で
[46:17 - 46:22] 私の中で達成した実績としてあるなって思うのは
[46:22 - 46:29] 去年のホリデーの時に伊勢丹で初めて売上300万
[46:29 - 46:31] これかけるかわからないですけど
[46:31 - 46:32] 大台に乗せたっていう
[46:32 - 46:36] そこが一番最初に私の中で達成できたなって
[46:36 - 46:39] 営業として思ったところですね
[46:39 - 46:41] あとはもう一個が
[46:41 - 46:46] 今年7月の19日に札幌の店舗をオープンさせて
[46:46 - 46:49] そこはもう伊勢丹はもともと
[46:49 - 46:53] 社長がずっとやってきたプロジェクトだったのを
[46:53 - 46:55] 引き継いだっていう形だったんですけど
[46:55 - 46:57] 札幌に関してはやっぱり人選の部分も
[46:57 - 46:59] 求人から人選から教育から
[46:59 - 47:01] オープンからっていうのも
[47:01 - 47:04] 全部私が一応やったので
[47:04 - 47:09] そこが一番大きな経験実績かなとは思います
[47:09 - 47:11] なるほど ありがとうございます
[47:11 - 47:15] 具体的な数字も入ってていい回答でしたね
[47:15 - 47:18] では日々の業務についてちょっとお伺いします
[47:18 - 47:21] 1日の業務の流れってどんなんですか
[47:21 - 47:23] 1日の業務ですか
[47:23 - 47:26] どれくらいの程度でお伝えしたらいいですか
[47:26 - 47:28] ざっくりでいいですよ
[47:28 - 47:30] 何時何分から何してとか
[47:30 - 47:32] 細かいことはいいんですけど
[47:32 - 47:36] まず私大体15分前か30分前に
[47:36 - 47:40] 出勤するようにしていて
[47:40 - 47:43] やっぱり朝ちょっとまずコーヒーを入れて
[47:43 - 47:45] メールを見て
[47:45 - 47:50] スラックがたくさん魅力があるみたいな感じを確認して
[47:50 - 47:52] 8時から始まるんですけど
[47:52 - 47:57] 最初はスラック見ることと
[47:57 - 48:00] 自分のタスクをまず整理した後に
[48:00 - 48:02] 今悟空入れたので
[48:02 - 48:05] そこで午前中のショピファイに
[48:05 - 48:09] 9時までに入ってくる人の発送の準備
[48:09 - 48:11] ピッキングリストを出したり
[48:11 - 48:13] ラベルを出したりっていうのをやって
[48:13 - 48:17] 9時からは全体の会議があるので
[48:17 - 48:22] 大体30分から1時間ぐらいは毎日会議になります
[48:22 - 48:26] ただ発送が本当に多い時は
[48:26 - 48:29] 今自社発送がメインなので
[48:29 - 48:32] その時は30分ぐらいで切り上げて
[48:32 - 48:36] 発送の準備っていうんですかね
[48:36 - 48:38] ピッキングリスト出して送り状出してみたいなのを
[48:38 - 48:41] 4,5回ぐらいやるんですけど
[48:41 - 48:43] 50件とかじゃないとやっぱりさばいていけないので
[48:43 - 48:44] ピッキングできないので
[48:44 - 48:47] それをこなしながら
[48:47 - 48:50] カスタマーサービスやっている子の
[48:50 - 48:54] これで回答よろしいでしょうかっていうやり取りを何回もやったり
[48:54 - 48:57] 中でその1日の中では
[48:57 - 49:03] 伊勢丹の会議を販売の立ってくれてるスタッフとやったり
[49:03 - 49:07] あいまいまで札幌の人とはLINEで連絡を取って
[49:08 - 49:11] あとは今のヨドバシカメラのオープンも控えているので
[49:11 - 49:15] そのメール返したり商談したりっていうのもあったりとか
[49:15 - 49:21] 私の中では今は物流の中に営業の仕事を入れて
[49:21 - 49:23] 回してるっていう感じですか
[49:23 - 49:26] 非常に分かりやすい仕事ですね
[49:26 - 49:29] なんか自分を見てるようです
