[00:00 - 00:05] ありますので、またご協力いただけると嬉しいです。
[35:21 - 35:23] これさっきのロット0001なんですね
[35:23 - 35:35] さっき同じ商品ですが、これはロットの0002なので、違うロケに入っています。
[35:35 - 35:44] これはロットのロットナンバーも別で確認することができますので、これはあくまで今どのロットがどのロケに入っているかというところを見ていただければ、
[35:44 - 35:51] どの商品がどのロケに入っているか、何個入っているかというのはこの画面で確認していただくことができますし、
[35:51 - 35:53] あとはダウンロードの情報として
[35:53 - 35:56] ダウンロードで出力することもできますので
[35:56 - 36:02] それを見てどの商品が少ないとかを確認していただいて
[36:02 - 36:04] 発注をかけていただくとか
[36:04 - 36:06] そういったところの内容にはなっています
[36:06 - 36:10] 毎日出荷後ですとか
[36:10 - 36:13] 毎朝確認するとか
[36:13 - 36:15] 毎朝はいいかなというところで
[36:15 - 36:17] 1週間に1回確認していただくとか
[36:17 - 36:21] というところで活用していただければなと思います
[36:21 - 36:23] いつもいただいているエクセルの代わりがこれになるんですね
[36:23 - 36:24] そうですそうです
[36:24 - 36:27] ですのでWMS管理になったら
[36:27 - 36:30] エクセルはなくなりますので
[36:30 - 36:31] よろしくお願いいたします
[36:31 - 36:37] ではこのように在庫を計上されました
[36:37 - 36:41] 次はイレギュラーになりますね
[36:41 - 36:44] 次はイレギュラーパターンになります
[36:44 - 36:46] ありがとうございます
[36:46 - 36:47] ありがとうございます
[36:47 - 37:00] 商品が情報があるけど物がないというパターンと
[37:00 - 37:06] 物がありますが予定数よりたくさん入った
[37:06 - 37:09] あるいは予定数より少なく入った場合の
[37:09 - 37:11] 対応というところをお話ししていきます
[37:11 - 37:14] そのアップロードは先ほど言っていただきましたので
[37:14 - 37:17] こちらに先に入れさせていただきます
[37:17 - 37:23] 入荷予定データを入れていただいて
[37:23 - 37:31] 入荷予定データがなく商品が届いたりとか
[37:31 - 37:35] 入荷予定データの数が5個で入ってきて
[37:35 - 37:38] 実際に入荷してみたら4個だったとか
[37:38 - 37:40] その逆のというところも
[37:40 - 37:43] 今後運用していくと
[37:43 - 37:45] 必ず発生してくるところですので
[37:45 - 37:47] その場合どうするかというところを
[37:47 - 37:51] 今から実際にテストさせていただきます
[37:51 - 37:51] はい
[37:51 - 37:57] ありがとうございます
[37:57 - 38:01] データはさっき説明しましたが
[38:01 - 38:03] もうちょっと入れさせていただきました
[38:03 - 38:08] データは10倍と
[38:08 - 38:10] モノが多いというパターンと
[38:10 - 38:12] 少ないですよというパターンでございます
[38:12 - 38:17] まずこれは今ここに載ってないやつです
[38:17 - 38:23] データがないけど物が来ちゃったっていう商品がこちらになります
[38:23 - 38:27] 次が過剰ですね
[38:27 - 38:30] 今この真ん中のデータになります
[38:30 - 38:35] この一番上のやつが商品が来ないパターンです
[38:35 - 38:37] 情報はあるけど
[38:37 - 38:39] 商品が来ないのでこの段ボールがない
[38:39 - 38:41] 次真ん中に行きます
[38:41 - 38:46] で、過剰。今、予定は1なんですが、消費が2個となっています。
[38:46 - 38:51] で、最後。データは2個なんだけど、消費1個しかなっていない。
[38:51 - 38:58] というような、今想定できるイレギュラーパターンをやってみますので。
[38:58 - 39:03] こちらにつきましては、入れ替えてもいいんじゃないでしょうか。
[39:03 - 39:07] そうです。そしたら先にその説明だけです。
[39:07 - 39:12] まずこの予定がなくて商品だけが先に来てしまった場合
[39:12 - 39:16] 必ず倉庫から御社に連絡させていただきますので
[39:16 - 39:17] 電話で
[39:17 - 39:23] 入荷予定データがないものが到着しました
[39:23 - 39:27] 予定データお願いしますみたいな連絡をさせていただきます
[39:27 - 39:32] 過剰についてもそうです
[39:32 - 39:43] 今、これ、今からやりますけど、1個しか入らないんです。予定データが1なので、数量変更で2機にすることができない。
[39:43 - 39:50] 例えば、間違って入荷してしまった場合もありますので、必ず確認させていただきます。
[39:50 - 39:55] で、1に対して2個切っちゃったんですけど、これって合ってますか?
[39:55 - 39:58] 合ってるよっていうふうにおっしゃっていただくのであれば、
[39:58 - 40:04] 追加で同じSPUを1個だけ入荷予定データを作っていただいて、WMSにアップロードしていただく。
[40:04 - 40:07] 編集がなくても新規で。
[40:07 - 40:12] もう画面上で登録していただいても結構なんですけど。
[40:12 - 40:18] で、今度は予定が2個で、ものが1個。
[40:18 - 40:23] これはもう、これも必ず連絡はさせていただくんですけれども
[40:23 - 40:27] 極力ちょっとその、もう来たものを
[40:27 - 40:30] 精度させていただきたいなと思ってますので
[40:30 - 40:32] 基本的なところで
[40:32 - 40:35] これが1個しか来てなくて
[40:35 - 40:39] 1個を入力するとデータはこれ、1に変化するんです
[40:39 - 40:43] で、この1を一旦不足してるけど
[40:43 - 40:46] そのままWNSとして承認しますということで
[40:46 - 40:50] 一旦この1はもうなくなることになりますので
[40:50 - 40:52] 2を1に変更させていただくと思って
[40:52 - 40:55] させていただきましたのような
[40:55 - 40:58] メンバーにさせていただきますので
[40:58 - 41:00] 分納する場合とかってどうなんですかね
[41:00 - 41:02] 分納する場合は
[41:02 - 41:06] ここはこの目のデビューを確認させてもらって
[41:06 - 41:09] こちらで分納するという
[41:09 - 41:14] という方法を分けて予定日だけ
[41:14 - 41:21] 例えば、同じ商品であっても別のレコードで入荷予定の方を入れてってことですか?
[41:21 - 41:27] が、一番いいかなと思うんですけど、ばっかなんない場合ってあるんですか?
[41:27 - 41:32] いや、ないですね。基本的にあそこから指示するのがこっちですし、
[41:32 - 41:38] 指示する段階でもだいたいこの箱にこの商品が入りますので入れてくださいって指示出しちゃってるんで、
[41:38 - 41:42] こっちも割と箱の指示とか。
[41:42 - 41:47] 来たものを正しいとしてさせていただいて
[41:47 - 41:51] こういったパターンがあるというところで
[41:51 - 41:53] 分納というか
[41:53 - 41:57] その1回この朝川さんに発注していただいたら
[41:57 - 42:00] もうそれが来たらもうそれ切りというところで
[42:00 - 42:02] また次回まである感じですね
[42:02 - 42:05] 今日発送しますというイレブンも来るんで
[42:05 - 42:07] そのタイミングで人気が出たら作ろうかな
[42:07 - 42:08] はいありがとうございます
[42:08 - 42:21] まず実際に入荷をするとどのようになるか
[42:21 - 42:26] まず予定データがないのをはじきます
[42:26 - 42:32] もう入荷予定データがないので確認してください
[42:32 - 42:37] 確認してください
[42:37 - 42:40] 次が過剰
[42:40 - 42:42] 商品が多く来ちゃった
[42:42 - 42:44] もうこれ1しかない
[42:44 - 42:48] これ数量変更ができないんですよね
[42:48 - 42:52] これはもう1として変更されてください
[42:52 - 42:53] そうです
[42:53 - 42:56] こちらは代行を見るなりだったりして
[42:56 - 43:00] あ、でも電話さんもらえるからなんですけど
[43:00 - 43:03] ちょっと入れ替えになったら 追加でまた作っていただければ
[43:03 - 43:10] じゃあ一旦これも1個は入荷します 1個は保留します
[43:10 - 43:16] これも入荷予定データ待ちのままになります 1個は終わらせます
[43:16 - 43:23] で次これ2個の予定ですというふうにいきます
[43:23 - 43:26] この情報も取りますね 2個の予定です
[43:26 - 43:27] だけのものが1個しかない
[43:27 - 43:31] でもこれは一旦1で
[43:31 - 43:35] ですのでここで数量変更
[43:35 - 43:38] 1と入れて
[43:38 - 43:40] 1で登録しちゃいます
[43:40 - 43:47] で、ステータスは今予定になりますが
[43:47 - 43:51] どうなるかと思いますと、こうなります
[43:51 - 43:55] 上の5つは先ほど入れましたよ
[43:55 - 44:00] 今この3つですね 下、これ予定、これ未着
[44:00 - 44:04] 1個足りないやつ 未着じゃない、情報が無くて
[44:04 - 44:07] 注意が来なかったやつ
[44:07 - 44:17] 次、検品済み これは1個のやつで、1個は過剰です
[44:17 - 44:25] 今度検品中2個が足りないやつです 1個はやりましたと
[44:25 - 44:31] これですね。 このようにステータスが
[44:31 - 44:34] 分かれることになります。
[44:37 - 44:42] ここに2個だけど、返品数は1個。
[44:47 - 44:51] 即承認しちゃいます。
[44:51 - 44:57] もうこれは1個しか来ないので
[44:57 - 45:00] 1個しか来ないので
[45:00 - 45:03] ニュークラウドデータの残りの1個というのが
[45:03 - 45:07] WMSで1個で確定させてしまいます
[45:07 - 45:10] それは日本有利産業で
[45:10 - 45:11] はい
[45:11 - 45:22] もう一度入荷予定確認で
[45:22 - 45:33] そしたら調整数1
[45:33 - 45:40] 実際の履歴はあくまで予定は2個であって
[45:41 - 45:47] 検品した数が1個、調整した数が1個、合計2個というところです。
[45:47 - 45:51] 履歴というか予定データを1回入れていただいた情報に関しては
[45:51 - 45:58] 変わりませんので、今はあくまでそのような感じでご確認ください。
[45:58 - 46:00] いえいえ、それから入れますか?
[46:00 - 46:02] 入れてください。
[46:02 - 46:04] そしたら、このほう。
[46:04 - 46:10] 今、1回予定データをご連絡して作っていただいた
[46:10 - 46:13] 今、ダブルエンスにアップロードしていますので、
[46:13 - 46:16] 入りました。
[46:16 - 46:19] はい、予定があった。
[46:19 - 46:22] では、検索してみます。
[46:22 - 46:24] そしたら、今度追加で入れていただいているので、
[46:24 - 46:29] 1と出ます。
[46:29 - 46:34] これ、入会が出ているのは、中の玉のこれも、
[46:34 - 46:36] 1で入っております。
[46:36 - 46:48] このように、今入手や提出データを入れた瞬間にすぐにリアルタイムで情報が反映しますので、
[46:48 - 46:58] データが入ってすぐにやれるとか、その後入れましたと連絡いただいて入荷するとか、
[46:58 - 47:02] というところは今後やっていきたいなと思います。
[47:02 - 47:08] 一応登録なしと過剰の時、一応ご連絡いただけるという形ですけど、
[47:08 - 47:13] こっちで入会を決定入れて、その後にまた4人分さんに連絡するという。
[47:13 - 47:17] 連絡いただければありがたいですけど、画面で確認できますので、
[47:17 - 47:20] 入ったなと思ったら作業しますので。
[47:20 - 47:21] 分かりました。
[47:21 - 47:26] 不足の時なんですけど、それは連絡いただけますか。
[47:26 - 47:33] 不測の時は不測処理しましたっていうような内容で連絡をするんですか?
[47:33 - 47:37] 現状は僕ら知ってないんですけど
[47:37 - 47:40] ただ納品書にマナーがついてくるから
[47:40 - 47:43] 納品書をもらってて現状をもらったら確率なので
[47:43 - 47:46] どんどん連絡してないんですけど
[47:46 - 47:50] 今同じくダブルMSで運用していることがあるんですけど
[47:50 - 47:53] 商品に対して納品書があって
[47:53 - 47:57] 納品書でチェックしていただけば丸書いて
[47:57 - 48:00] 違ったら違う数字書くんですよね
[48:00 - 48:01] っていう風になって
[48:01 - 48:05] それをカックスで最後は夕方に報告する
[48:05 - 48:08] っていうようなやり方を今していますが
[48:08 - 48:12] ここは決めの問題になってくるかなと思ってます
[48:12 - 48:14] どれが一番ご都合がいいか
[48:14 - 48:16] っていうところになってくると思うんですけど
[48:16 - 48:22] 即処理に関しては画面で見ていただくか
[48:22 - 48:31] 何らかこう、今作業終わりに報告メールは同じくさせていただきますが、そこに何か一部に出る?
[48:31 - 48:35] うーん、それで大丈夫ってことですかね。
[48:35 - 48:41] えっと、現状、あの、在庫報告メールって言ってるけど、それは無くなるんですか?
[48:41 - 48:42] 無くなる。
[48:42 - 48:43] データテップは無くなる?
[48:43 - 48:44] はい。
[48:44 - 48:49] ただ作業終わりましたっていうメールを送るときに、不足承認なりした場合は一部そういう…
[48:49 - 48:52] 今日の入荷に関して一部
[48:52 - 48:57] 何かあったときだけメールをいただけるという認識でいいですかね
[48:57 - 49:03] 毎日発送、出荷完了メールは今完了しましたので
[49:03 - 49:09] 一応完了したら今度はごくんシステムの情報を返却しないといけないですね
[49:09 - 49:12] そのタイミングもあると思いますので
[49:12 - 49:15] 作業完了したらデータテンポはないですけど
[49:15 - 49:20] 今日の作業が完了しましたという 簡単なやり取りになるかと思いますが
[49:20 - 49:24] そういったメールをさせていただいて
[49:24 - 49:26] 今みたいにイレギュラーがあった場合に
[49:26 - 49:30] 一番追加で入れていただければ それで大丈夫です
[49:30 - 49:33] というところでお願いします
[49:33 - 49:36] これちょっと格納してきちゃいますね
[49:45 - 49:50] いや、ないと思うんですけど、出るかもしれないのは。
[49:50 - 49:57] そしたら最後、データが来てて、物が来なかった時にも、
[49:57 - 50:03] 何らかで電話になるのかな、これちょっと緊急線が、
[50:03 - 50:05] 今日の入荷予定で来てるけど、
[50:05 - 50:08] 即ではなくて本当に物が全部来てないのか。
[50:08 - 50:12] で、確認します。で、これってどうでしょうって。
[50:12 - 50:21] 間違えましたら明日になるのかというパターンがいろいろあるかと思いますが
[50:21 - 50:26] 間違えて入れちゃいましたというときには入荷を取り消します
[50:26 - 50:34] この入荷の取り消しは本社の方でやっていただきたいんですけれども
[50:34 - 50:36] メニューはこちらに
[50:42 - 50:49] 今ちょっとこれ格納したらこれなくなるんですけど
[50:49 - 50:51] 本来はこれ1個しか出てこない
[50:51 - 50:54] 今ちょっと途中ですので出てきちゃいますが
[50:54 - 50:57] これをどうすかね
[50:57 - 50:58] うちでやったほうがいいかな
[50:58 - 51:00] 取り消しは中央の
[51:00 - 51:03] こっちで入荷予定を取り消す
[51:03 - 51:06] 確認する必要はあるんですか
[51:06 - 51:08] うん、あの確認する必要は
[51:08 - 51:10] これは入ってくるか入ってこないかっていうところなので
[51:10 - 51:11] こっちで消しちゃって
[51:11 - 51:17] 例えばこのメニューでいろいろできるんですね
[51:17 - 51:20] 今これ検品の途中ですけど
[51:20 - 51:25] 例えば間違って床処理をしてしまった場合とか
[51:25 - 51:28] ここでステータスを戻すこともできますし
[51:28 - 51:31] もちろん消すこともできるというところで
[51:31 - 51:37] すいませんちょっと今最初に私やっていただきたいとは思いましたが
[51:37 - 51:42] 装甲側でこうやる方がいいですかね
[51:42 - 51:45] こっちの方がいいのかなってちょっと思っちゃったんですけど
[51:45 - 51:49] だって発送するのがうちじゃないパターンもあるので
[51:49 - 51:50] 朝顔さんが発送します
[51:50 - 51:54] こっちも連絡朝顔さんから
[51:54 - 51:55] ごめんなさいちょっと桁詰まってなりました
[51:55 - 51:59] ってなった場合連絡して帰ってもらうかも
[51:59 - 52:03] 明日になりますって言うので一旦生活戻して
[52:03 - 52:06] 入会予定として仕事に変えられるんですけれども
[52:06 - 52:09] 一回消してから新しいのを立ててもいいですか
[52:09 - 52:12] 基本的には消して新しいもの
[52:12 - 52:15] もう研修ができないという認識で
[52:15 - 52:17] なので
[52:17 - 52:20] ご挨拶すみません2.3で
[52:20 - 52:24] もし入会予定も一度できていなければ
[52:24 - 52:25] 一回ご連絡の中で差し上げて
[52:25 - 52:28] そこでご指示入れてどうするのか
[52:28 - 52:30] 入会予定の時って
[52:30 - 52:34] 荷物の送り場番号とか入れるところってあるんですか
[52:34 - 52:37] 入荷の検品のときにですか
[52:37 - 52:40] こちらからこの荷物を送りますよっていう
[52:40 - 52:42] ないです
[52:42 - 52:42] ないですよね
[52:42 - 52:44] ってことは発送したけど
[52:44 - 52:47] もしかしたら輸送の途中で何かあったかもしれない
[52:47 - 52:48] っていうときに
[52:48 - 52:52] うちでお取り荷物番号を検索して
[52:52 - 52:54] 今こういう状況を見たいですっていうことは
[52:54 - 52:56] こっちでしか調べられないことです
[52:56 - 53:09] そういったところであれば、今はメール本文に送り場の番号とか書いていただいてますので
[53:09 - 53:17] 書いてないです。今も何々送りますっていうことすら言わずに行った日に送ります。
[53:17 - 53:20] 箱に何て書いてます?
[53:20 - 53:33] 今後は少し今よりは事前にこれ例えば1週間前に日付を入れていただければ
[53:33 - 53:39] この日に何々入ってくるんだなというのがWMSで確認できるようになりますので
[53:39 - 53:41] ありがたいことになります
[53:41 - 53:44] じゃあちょっと今消しますのでこれ
[53:44 - 53:48] 今これやっちゃった方がいいです
[53:48 - 53:51] 今、検品済みになっているので
[53:51 - 53:58] そしたら今これ1個だけになりますので
[53:58 - 54:02] しなみになんですけど
[54:02 - 54:06] ケース登録して1箱に40個入っているものを
[54:06 - 54:09] ダンボールに貼って導入しました
[54:09 - 54:11] ってなった場合は
[54:11 - 54:14] もう中身は40個入っているっていう認識で
[54:14 - 54:15] 送られるということですね
[54:15 - 54:17] それ実際に発送して
[54:17 - 54:24] あれ1個少ないけど1個多いってなった場合ってどうなるんですか それに関してはこれも決め事になります
[54:24 - 54:32] うちはそのイリスを生と見る それを信じて格納することになりますので
[54:32 - 54:38] 在庫調整で在庫調整させていただくかっていう形です
[54:38 - 54:47] 確か、始めさせていただいた当時、手作業でされているので、若干数がずれる。
[54:47 - 54:50] 1個追加で有価値で出たら、今は出なかったですね。
[54:50 - 54:52] 限定してないですから。
[54:52 - 54:54] 限定してないか。
[54:54 - 55:05] っていうのが多分ある。今もおそらく多分、浅野さんがされたものが入るという想定なので、うちとしては1回やっぱり数を数えさせていただく。
[55:05 - 55:09] これやっぱロケにはケースごと置いとくって いう認識なんですかね?
[55:09 - 55:12] えっと今見られたことないですよね
[55:12 - 55:18] 一旦開けさせていただいたものを 折り込みみたいなのに
[55:18 - 55:21] 詰め直したりさせていただいていますので
[55:21 - 55:25] その前に数を数えながらやらせていただいております
[55:25 - 55:29] 今日今作ったその残っている物だけになりました
[55:29 - 55:32] ただこれデータを入れてしまったけど
[55:32 - 55:37] あの、来る予定がなくなります。そしたら、ここで削除。
[55:37 - 55:45] で、これいっぱいあったら、これで全部、そのものだけチェックして、このボタンを押していただくと、全部になりますので。
[55:45 - 55:48] まあ、ちょっと1個しかないので、分かりにくいかもしれません。
[55:48 - 55:54] で、これを削除していただきます。
[55:54 - 56:02] はい。これで、すべての入荷の業務が終わりました。
[56:02 - 56:12] 使用する4ページくらいで、テストのシナリオ書類を現時点で説明して、その辺の話題についてお話ししたいと思います。
[56:20 - 56:29] 次、そのままの、今、WMSの中に最高がある状態ですので、出荷のところに行きます。
[56:29 - 56:39] 出荷の途中で、送り所を印刷する場面が出てきますので、その間にちょっと休憩を挟もうかなと思いますので、よろしくお願いします。
[56:39 - 56:41] 出荷を入れていただけますか?
[56:41 - 56:51] はい。先ほど坪内さんとテーマさせていただいたように、ロゴデータを作っていただいたんですよね。
[56:51 - 56:52] はい。
[56:52 - 56:53] ありがとうございます。
[56:53 - 56:54] で、
[56:54 - 56:56] すみません。
[56:56 - 57:11] 一応、もうそういったのをやっていただいているので、このテストシナリオに帳表のデータをアップロードするとかっていうところがありましたが、事前にやっておきましたので、すぐに出荷指示データを入れていくことになります。
[57:11 - 57:20] ただちょっとシナリオで、出荷タイプ決定マスターを確認するというところがありますので、ちょっと今画面で説明させていただきます。
[57:20 - 57:21] 入ってます
[57:21 - 57:35] 出荷タイプが4つ作っております
[57:35 - 57:42] S110が条件値1
[57:42 - 57:44] Uパックであって
[57:44 - 57:46] 出荷指示データの内容ですね
[57:46 - 57:47] Uパックであって
[57:47 - 57:54] 条件項目にサイトコードがアダマスであるものについてが
[57:54 - 57:59] S110に出荷タイプで分岐していきます
[57:59 - 58:01] これを塊を作るというイメージですね
[58:01 - 58:05] 次にS120
[58:05 - 58:10] これは出荷地に出たUパケットであって
[58:10 - 58:12] サイトコードがアダマスのもの
[58:12 - 58:16] 次がS210
[58:16 - 58:22] これがupackであって 伊勢順220
[58:22 - 58:24] upack220伊勢順
[58:24 - 58:29] これは伊勢順に関しては upackって何ですけれども
[58:29 - 58:36] 例えばですけど 間違えてupackとして出荷指示データが
[58:36 - 58:40] アップロードされてしまった時に すぐにちょっと判別つくように
[58:40 - 58:44] 作っておきました 一応これここのs220っていうところに
[58:44 - 58:50] 分岐されるとすぐ確認してください っていう出荷タイプにしてるんです
[58:50 - 58:56] ね なので伊勢順でnewパケットで 入ってきたんですけれど確認いただけ
[58:56 - 59:00] ますでしょうかっていうような お問い合わせになるかと思います
[59:00 - 59:07] ので一応これ作っておきました でこれがないとadamasと伊勢順と
[59:07 - 59:12] 例えば同じデータで出荷指示データ がアップロードされた場合ランダム
[59:12 - 59:23] さらに送り状が印刷されて、印刷された送り状を仕分けるところから作業が始まりますが、
[59:23 - 59:28] こういうふうにタイプごとに分けておくと、アダマスはアダマスで分かれますし、
[59:28 - 59:30] イセジオンはイセジオンで分かれます。
[59:30 - 59:35] さらにUパックとユーパーヘッドと分かれているので、作業効率も非常に良くなります。
[59:35 - 59:37] これ代引きはUパックに含まれていると思います。
[59:37 - 59:39] はい、大丈夫です。
[59:39 - 59:44] バックタイプって出荷指示のCSVの中に 入れるわけじゃない?
[59:44 - 59:46] ありますよね。項目ありますよね。
[59:46 - 59:51] 項目はあるんですけど、この結果を持って 負けていきますので。
[59:51 - 59:56] じゃあ、こちらでCSVでアップロードする時も
[59:56 - 59:59] その値を直接見るわけではなくて
[59:59 - 01:00:05] サイトフォードと条件、2パックの条件で また細かく分析するというイメージで
[01:00:05 - 01:00:06] そういうことです。
[01:00:06 - 01:00:13] あくまで1行ずつの入力値を持って分岐していきます。
[01:00:13 - 01:00:17] このような形で分岐していきますので、
[01:00:17 - 01:00:22] ただ、これに外れるものも実はちょっと出荷指示データの中に盛り込んでおきましたので、
[01:00:22 - 01:00:25] どうなるかというところも見ていきます。
[01:00:25 - 01:00:34] ちなみにこの帳表画像、ロゴはこのサイトコードで書き分けていきますので、
[01:00:34 - 01:00:47] 一応登録の方には先にZoomってやつ、サイトコードZoomってやつ登録させてもらったんですけど、別のちょっと反射パンというか。
[01:00:47 - 01:00:50] ちょっとできるかどうか別として登録だけしとこうっていう。
[01:00:50 - 01:00:51] なるほど。
[01:00:51 - 01:01:01] 帳表の名前をZoomという会社にして、ものを送ることができるかどうかっていうので、テストでできたらいいねっていう風に入れたものがあるんですけど。
[01:01:01 - 01:01:05] ちなみにサイトコードはゾーンですね。
[01:01:05 - 01:01:10] 実はサイトコードの登録について、
[01:01:10 - 01:01:17] ベンダーにちょっと内部の設定になりますので、
[01:01:17 - 01:01:20] もし分かればすぐ教えてください。
[01:01:20 - 01:01:22] サイトコードを今追加しますかって。
[01:01:22 - 01:01:23] そういうこと?
[01:01:23 - 01:01:26] なんか勝手に増やしてますね。
[01:01:26 - 01:01:28] 登録できるねって言ってる。
[01:01:28 - 01:01:38] 状況は記録できるんですけど、ただ出荷指示とか出荷待機決定マスターを登録するときに
[01:01:38 - 01:01:43] ここにサイトを、ここにプルダウンを入れます。
[01:01:43 - 01:01:49] そしたら今はAdamasとIsejunしかないんですけど、この条件値を追加するのに
[01:01:49 - 01:01:56] ベンダー側の内部的なところの登録になりますので、私の方でちょっと触れない部分になります。
[01:01:56 - 01:01:59] で、ちょっとそこから見といてもらえますかね。
[01:01:59 - 01:02:01] 私の方から先に行ってもらいます。
[01:02:01 - 01:02:04] はい、お願いいたします。
[01:02:04 - 01:02:06] そしたら、一時データを。
[01:02:06 - 01:02:12] 新しいゾーンというのは、もう運用中始められるみたいです。
[01:02:12 - 01:02:16] 今、現状、眠いんですか?
[01:02:16 - 01:02:20] いや、寝てるよ。
[01:02:20 - 01:02:25] もう既に動いてはいるんですけど、出荷自体はうちから出荷しているんですけど、
[01:02:25 - 01:02:32] 顧客自体ゾーンというところの下の方が購入されているんですね
[01:02:32 - 01:02:34] うちから発送しているんですけど
[01:02:34 - 01:02:37] 請求自体はゾーン側が会社に
[01:02:37 - 01:02:40] 働き方はゾーン側に請求するみたいな工夫があって
[01:02:40 - 01:02:43] 商標だけはうちからじゃない
[01:02:43 - 01:02:45] 結局請求書を立てるのはゾーン側なので
[01:02:45 - 01:02:48] ゾーンのログにできるかなという話で
[01:02:48 - 01:02:50] 今はそれで運用しているんですけど
[01:02:50 - 01:02:53] このシステムだった時にできるかなと言って
[01:02:53 - 01:02:54] 一旦テストしようかと言って
[01:02:54 - 01:02:58] で勝手にサイトコードを追加して 帳表も作ってみたっていう
[01:02:58 - 01:03:08] テスト環境ですので大丈夫です 休んであれば明日増やしますとか
[01:03:08 - 01:03:13] ちょっと何日かお日にちいただき たいんで
[01:03:13 - 01:03:17] もしそのご予定があるんでしたら 事前にいただきましたら
[01:03:17 - 01:03:23] いつからそれ反映しますっていう 何日かかかってしまうところ
[01:03:23 - 01:03:30] その前に運用の可否を聞いといたほうがいい。
[01:03:30 - 01:03:31] できるか。
[01:03:31 - 01:03:34] こういうことをしたいんだけどやっていいかっていうのとか、
[01:03:34 - 01:03:42] どういうふうに他のWMSで運用されてる方がクリアしてるかってことを聞いてやったほうが時間短くなるし、
[01:03:42 - 01:03:45] キャッていう話もなくなるから。
[01:03:45 - 01:03:49] じゃあゾーンの話は終わりますね。
[01:03:49 - 01:04:00] 私も一緒にいますので
[01:04:00 - 01:04:05] すでに1時間使っちゃいました すみません
[01:04:05 - 01:04:07] 出荷指示データ
[01:04:07 - 01:04:09] 今入荷終わりまして
[01:04:09 - 01:04:16] 次出荷指示データをWMSにアップロードしていただくんですけど
[01:04:16 - 01:04:19] 出荷指示も御社からの指示になりますので
[01:04:19 - 01:04:26] 当社がWMSをインターフェースのアプローチをやっていただくことになりますので
[01:04:26 - 01:04:27] 実際にちょっと作業をお願いします
[01:04:27 - 01:04:30] はい、ごめんなさい
[01:04:30 - 01:04:36] 先ほどのファイル選択で
[01:04:36 - 01:04:38] 何番になるのかな
[01:04:38 - 01:04:40] SAにすると
[01:04:40 - 01:04:45] インターフェースSAになるので
[01:04:45 - 01:04:47] それが一番若い
[01:04:47 - 01:04:55] 5番ですか?これでもRAですよね?入れるが?
[01:04:55 - 01:04:59] RAですね。SAは7と8と10です。
[01:05:01 - 01:05:02] どうですか?
[01:05:02 - 01:05:04] 入れるわけですよね。
[01:05:06 - 01:05:08] 7と10ですかね?
[01:05:08 - 01:05:09] どうしたら7は入れるの?
[01:05:09 - 01:05:27] このシステムを見てて思ったんですけど、リザルトは出てこないのは結構不親切ですね。
[01:05:27 - 01:05:31] 処理結果にリザルトが出てくればいい。
[01:05:31 - 01:05:32] そうなんです。
[01:05:32 - 01:05:57] 今日の出荷は9件で出荷タイプが S110-120-210となっております
[01:05:57 - 01:06:00] ちょっとレギュラーばっかりしかありません
[01:06:00 - 01:06:02] 先ほどのパターンで振り分けられたものが
[01:06:02 - 01:06:03] はい
[01:06:03 - 01:06:03] 5二モデル
[01:06:03 - 01:06:04] はい
[01:06:04 - 01:06:05] シースビームの中で
[01:06:05 - 01:06:08] で、この状態で
[01:06:08 - 01:06:12] じゃあ倉庫さんから出荷してねっていう状態に
[01:06:12 - 01:06:15] WMSがあったというところで
[01:06:15 - 01:06:18] 今からはちょっとこちらの作業になります
[01:06:18 - 01:06:24] で、今予定ですので
[01:06:24 - 01:06:29] WMSの中から在庫が何も動きがない状態になります。
[01:06:29 - 01:06:31] 今から何をしていくかというと、
[01:06:31 - 01:06:35] まず在庫がこの出荷指示データに対して、
[01:06:35 - 01:06:39] ちゃんと在庫があるかどうかというチェックをしていきます。
[01:06:39 - 01:06:43] 引き当てと呼んでいるんですけど、
[01:06:43 - 01:06:48] 今レギュラーパターンは全部ありますので、
[01:06:48 - 01:06:50] 出荷一括引き当て。
[01:06:50 - 01:06:53] WMSの在庫と出荷信用データの在庫が出るものと
[01:06:53 - 01:06:56] 今あるものをきちんと引き当たるかどうか
[01:06:56 - 01:07:00] というところを今から目指しています
[01:07:00 - 01:07:02] こちらについては
[01:07:02 - 01:07:10] 出荷タイプごとにまとめられております
[01:07:10 - 01:07:12] まず欠品単位
[01:07:12 - 01:07:16] 全票単位で分割を許可しない
[01:07:16 - 01:07:19] この欠品単位というところが
[01:07:19 - 01:07:30] 例えば、私が2つ買って、そのうちの1個がなかったとしても、点票が出てくるパターンと、
[01:07:30 - 01:07:36] 今これ、引き当てるものは全て引き当てるなどか、
[01:07:36 - 01:07:40] 点票単位で欠品とするというのは2通りなんですけど、
[01:07:40 - 01:07:45] そのほうがこれ。すべてその出荷に対しては、いったん止めると。
[01:07:45 - 01:07:46] 相乱な限り。
[01:07:46 - 01:07:50] 相乱な限りというところで考えております。
[01:07:50 - 01:07:53] 次、これですね。ロット分割を許可しない。
[01:07:53 - 01:07:59] というのは、同じロット、違うロットを一つの、
[01:07:59 - 01:08:03] 例えばこれ同じものだとして、ロット番号が違うとします。
[01:08:03 - 01:08:07] これを、じゃあ私ここ2個買いました。
