[00:00 - 00:06] 3層研さんのさっきの話なんですけど
[26:58 - 26:59] 全然できるんですけど
[26:59 - 27:03] SIPが使えないタイプ
[27:03 - 27:05] ホームゲートウェイがソフトバンク仕様のやつだと
[27:05 - 27:09] アナログラインに流れてる
[27:09 - 27:10] キャリジトーン信号
[27:10 - 27:11] っていうのがあるんですけど
[27:11 - 27:14] 電話かかってきたよっていう信号があるんですけど
[27:14 - 27:15] それをキャリアップして
[27:15 - 27:18] マイコンで
[27:18 - 27:20] かかってきたっていうので
[27:20 - 27:22] リレーオンにして
[27:22 - 27:24] フラッシュタグとかっていう形のやつを
[27:24 - 27:25] 電子工作しなきゃいけない
[27:25 - 27:29] どのみち特注品ですから
[27:29 - 27:30] 特注品を
[27:30 - 27:32] やりかねないことなんですね
[27:32 - 27:33] だけどなんか
[27:33 - 27:39] トール君から聞いてるイメージでいくと 裕太君自身は
[27:39 - 27:43] 専務ですよ 専務松山さんの息子ね
[27:43 - 27:50] 多分1、2万とか2、3万でみたいな感じの
[27:50 - 27:55] 予算感じゃないの そんなんじゃ無理でしょ絶対
[27:55 - 28:02] 僕的にはもしそうなんであれば
[28:02 - 28:06] 会社にかかってくる電話をそのまま あの
[28:06 - 28:12] なんだっけ 電話のあのかかってきやす飛ばすやつ
[28:13 - 28:16] そうじゃなかった転送も
[28:16 - 28:24] ナンバーなんとかじゃなくてえっなんだっけ ボイスワープ阿蘇ボイスワープとかでもうスマホに飛ばした方が早いんじゃねーと
[28:24 - 28:31] かと思うけどね社員がそんなにないしみたいな 自分が持っている携帯だったさすがに気づい作りジョブルってなるしねうん
[28:31 - 28:39] とか iphone とかつけてやーかかってきたわーとかん かまあ電話当番もいないような感じなんですよね多分ね
[28:39 - 28:47] 自分の方がいてとかっていうのだいたいまあ工場 さあ3人やマックス5人ぐらいやっててバラバラ
[28:47 - 28:53] にうん じゃあ今日電話取る番誰ねーとかって言っておいて
[28:53 - 28:59] ボイスワープのメイド メイド登録が確か2つか3つできるはずなんで
[28:59 - 29:08] 電話かける人のその取る人の日に来たら142のコメ00コメ01とかってやったら
[29:08 - 29:12] Aさんになるし0になったらBさんになるしみたいな
[29:12 - 29:16] それでメイド設定を5秒とかに設定しておいて
[29:16 - 29:22] 事務所の電話機が5秒になったら誰も取らんかったら携帯側にかかってくるみたいなその当番の人に
[29:22 - 29:24] なるほどですね
[29:24 - 29:29] ぐらいじゃないと数万でしますっていうにはちょっと
[29:29 - 29:32] 商売にならん話かな
[29:32 - 29:35] 解決したいって思いは
[29:35 - 29:35] わかるけど
[29:35 - 29:39] 解決したい思いは
[29:39 - 29:39] わかりますよね
[29:39 - 29:41] それはわかりますよね
[29:41 - 29:45] 何でしたっけ
[29:45 - 29:47] 昔はあったんですよ
[29:47 - 29:51] おばあちゃん用の機械が
[29:51 - 29:53] そういうアナログラインの
[29:53 - 29:54] 信号キャリッジして
[29:54 - 29:57] 部屋にLEDの
[29:57 - 29:59] あるこうでっかい
[29:59 - 30:01] あれポンと置いといたらそっかピカピカ
[30:01 - 30:02] 昔あの
[30:02 - 30:05] あのなんだっけ
[30:05 - 30:06] ドラマで
[30:06 - 30:09] 本当に
[30:09 - 30:12] 昔の本当にあの時は高子が
[30:12 - 30:13] 出てたドラマで
[30:13 - 30:16] 愛してくれと言ってくれっていう
[30:16 - 30:17] あー懐かしいですね
[30:17 - 30:19] あれって確か
[30:19 - 30:22] 耳が聞こえない
[30:22 - 30:22] 耳が聞こえないんだったかな
[30:22 - 30:23] 喋れないんだ
[30:23 - 30:25] 喋れなくて
[30:25 - 30:27] 耳が聞こえないんだ
[30:27 - 30:29] 聞こえない彼氏がいて
[30:29 - 30:35] 彼氏が家の中で電話が上がっても全然わからないと
[30:35 - 30:38] それで電話がかかってきたら
[30:38 - 30:40] 赤ランプがつくようにして
[30:40 - 30:43] 今電話かかってんだなっていうのをわかるようにして
[30:43 - 30:46] でも耳が聞こえないのにどうやってコミュニケーションと
[30:46 - 30:46] 取るんだよ
[30:46 - 30:47] よくわからないんだけど
[30:47 - 30:52] そういうふうに連絡を取れるようにするシーンがあって
[30:52 - 31:02] あれって電話機が鳴るとどうやってランプをチカチカさせてたのかなっていうのはちょっと思ったんですけど
[31:02 - 31:03] 昔はあったんですよ
[31:03 - 31:09] 2010何年くらいですかねあったんですけど
[31:09 - 31:15] もう今家庭用電話ってほぼほぼあれなんでないんで
[31:15 - 31:20] だからもう僕がだってそれやった時って2013年か12年くらいだったんですけど
[31:20 - 31:23] もう販売されてないんだってなったから
[31:23 - 31:24] 自分で作ったってやつなんですよ
[31:24 - 31:28] でも多分今の僕だったらどう考えるかって言ったら
[31:28 - 31:30] そんな出ねえ電話なんて
[31:30 - 31:32] そいつに取らせる必要ないし
[31:32 - 31:34] もう留守読でいいんじゃね?みたいな
[31:34 - 31:38] でも電話に関しては今津田さん提案いただいた
[31:38 - 31:43] ボイスワープでちょっと対処することが可能かどうかというか
[31:43 - 31:45] それが一番
[31:45 - 31:46] だってそうでもなければ
[31:46 - 31:49] ワンオフ電子工作せんねえかんねえですわ
[31:49 - 31:54] 1回限りの非常に
[31:54 - 31:55] 兼ねならん仕事
[31:55 - 31:57] そうなんですよね
[31:57 - 32:00] そのチャイムの件も
[32:00 - 32:02] フラッシュでパーンっていうのは
[32:02 - 32:04] いいですけど
[32:04 - 32:05] そうですね
[32:05 - 32:06] 音が聞こえない環境は
[32:06 - 32:09] フラッシュはめっちゃ良かったですね
[32:09 - 32:14] 木工のところとかでも
[32:14 - 32:16] 定時で鳴らすんじゃなくて
[32:16 - 32:17] 音を
[32:17 - 32:19] まあ音も鳴らしてもいいかもしれないですけど
[32:19 - 32:21] 同時にフラッシュしたりとかしとったら
[32:21 - 32:23] もう作業を黙々とやってても
[32:23 - 32:25] ああ昼だみたいな
[32:25 - 32:27] もしそれであれば
[32:27 - 32:29] そのラズベリーパイに
[32:29 - 32:32] そのラズベリーパイ自体は
[32:32 - 32:34] 自分的にはちょっとハードル高いなと思ったんですけど
[32:34 - 32:36] にそういう定時で
[32:36 - 32:38] フラッシュでパーンってやる
[32:38 - 32:38] みたいな
[32:38 - 32:41] ものができれば
[32:41 - 32:43] それで解決一応できる
[32:43 - 32:44] うんそんなんもうすぐ作れる
[32:44 - 32:46] 俺もう何台もやってきたから
[32:46 - 32:50] どっかチャイムじゃなくて
[32:50 - 32:50] フラッシュか
[32:50 - 32:53] 音声を同時に流すっていうのも
[32:53 - 32:55] 全然できますからね
[32:55 - 32:56] だからその
[32:56 - 33:00] さっきの一つ前の話に戻るけど
[33:00 - 33:04] 総合産業さんで
[33:04 - 33:06] 本社で流れているものと
[33:06 - 33:08] 同じものを流すっていうことじゃないんだったら
[33:08 - 33:11] プログラムされて
[33:11 - 33:13] 音声が流れて
[33:13 - 33:15] 電源制御をして
[33:15 - 33:18] フラッシュたくぐらいのものを提供するけど
[33:18 - 33:20] 40万でいいみたいな
[33:20 - 33:27] っていう感じかな
[33:27 - 33:31] って思うんですけどね
[33:31 - 33:34] ぶっちゃけ
[33:34 - 33:39] アレクサでも入れてればっていうのも
[33:39 - 33:40] ちょっと思ったりはしたけどね
[33:40 - 33:44] あのアマゾンのですか
[33:44 - 33:48] アレクサでそんな音できる?音っていうか
[33:48 - 33:52] まあでも出せて音圧70dBじゃないかな
[33:52 - 33:56] でもまあ乗っかってるスピーカーがでっかいっていうところと
[33:56 - 34:01] あとタイマー的なものは仕掛けられるっていうところから考えれば
[34:01 - 34:02] あーなるほど
[34:02 - 34:10] 音圧がどれくらいあるかって分かんないですもんね
[34:10 - 34:13] まあうちにアレクサあるんで
[34:13 - 34:16] 8インチモデルが一番でかいんですけど
[34:16 - 34:18] 最大音量でやって
[34:18 - 34:20] どんなもんかっていうところですよね
[34:20 - 34:22] アレクサってどっち?
[34:24 - 34:24] うちは
[34:24 - 34:27] Google Home
[34:27 - 34:29] うちはGoogle Homeもアレクサもあります
[34:29 - 34:33] これか
[34:33 - 34:35] このタイプ一応
[34:35 - 34:36] これとこれありますね
[34:36 - 34:39] うちはこれの黒の8インチって超でっかい
[34:39 - 34:40] MAXってやつですかね
[34:40 - 34:48] 入れてるんですけどまあまあ音圧はあるん ですけどまあはっきり言って作業でた
[34:48 - 34:53] カッカーンコン言ってるところでわかるか つったらちょっと自信ないなって感じです
[34:53 - 34:58] けどまぁ一番簡単に実現できるのはそれ ですかねって言うと思いますかね
[34:58 - 35:02] とはいえこれ別に電話と連動できるわけじゃ ないですもんね
[35:02 - 35:04] 買ってきましたよとかっていうのが
[35:04 - 35:06] そのなんか定時での音鳴らすっていう
[35:06 - 35:09] 音鳴らす案件のやつは
[35:09 - 35:12] これでちょっと実験してみてっていうので
[35:12 - 35:15] ボイスワープとアレクサと
[35:15 - 35:16] そうですね
[35:16 - 35:20] 最後はラーツパイで40万の話で
[35:20 - 35:21] もしこれで
[35:21 - 35:25] ワンオブでするのやったら40万くらいみたいな感じですかね
[35:25 - 35:29] 40万で電子工作でそういうことは一応実現できますっていう感じですね
[35:29 - 35:31] そしたらもう確実に
[35:31 - 35:35] てか他に無いもん、ワンオフなんでね
[35:35 - 35:40] こんな高いんかい、自分で作ったらええやん、みたいな
[35:42 - 35:47] ラズパイでGPIを制御したらできまんがな、みたいな
[35:47 - 35:50] わかりました、ありがとうございます
[35:50 - 35:52] 26番ピンやでーって
[35:52 - 36:22] はははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははははは
[36:22 - 36:25] あれはなんてやつだっけ
[36:25 - 36:27] IKEAの
[36:27 - 36:31] IKEAソノスで検索してください
[36:31 - 36:37] IKEAソノス
[36:37 - 36:38] ソノス
[36:38 - 36:43] アルファベットでソノスですね
[36:43 - 36:46] ソノス
[36:46 - 36:48] そうそう
[36:48 - 36:51] このシンフォニクスっていう
[36:51 - 36:57] あ、でもこれBluetoothできへんのか
[36:57 - 37:00] そうやな、これBluetoothできへんやな
[37:00 - 37:03] こういうようなスピーカーがあるんで
[37:03 - 37:08] スマホでそういうアラートプログラム入れといて
[37:08 - 37:11] これで超デカ音量で流すっていうのが一つかな
[37:11 - 37:15] これどれくらいのサイズ感?
[37:16 - 37:16] これくらいっす
[37:16 - 37:20] これめちゃくちゃ音いいんですよ
[37:20 - 37:21] そうなんですか
[37:21 - 37:22] めっちゃ音いいこんな値段
[37:22 - 37:24] めっちゃ安いですよね
[37:24 - 37:28] 片チャンネル17,990円なんですけど
[37:28 - 37:31] 2個でだいたい
[37:31 - 37:32] メルカリで
[37:32 - 37:34] 12,000円くらいで売ってますよ
[37:34 - 37:36] 新品が
[37:36 - 37:38] これをステレオで
[37:38 - 37:40] 置くと
[37:40 - 37:43] めっちゃ音いいんですよ
[37:43 - 37:44] そうなんですか
[37:44 - 37:46] 下手なアンプスピーカーとか
[37:46 - 37:47] いろいろ組んでやる
[37:47 - 37:50] ホームオーディオよりも音いいんすよ
[37:50 - 37:52] これめちゃくちゃおすすめ
[37:52 - 37:54] へー
[37:54 - 37:55] うーん
[37:55 - 37:57] なんちゅう音綺麗やねんっていう
[37:57 - 37:58] そうなんですね
[37:58 - 38:01] これ結構オアンツ出るんすよね
[38:01 - 38:02] へー
[38:02 - 38:06] なるほど
[38:06 - 38:08] これは結構
[38:08 - 38:11] 俺何回もいろんなとこに入れてて
[38:11 - 38:12] もともとはソノスっていう
[38:12 - 38:14] 高級オーディオメーカーのやつなんですよ
[38:14 - 38:17] をIKEA用に
[38:17 - 38:23] 廉価版にしたやつなんですけど音はめちゃんこいいし 音圧も結構出て
[38:23 - 38:45] そうですね、仕様で
[38:45 - 38:51] 初言が多分
[38:51 - 38:55] サイフォン出てるんじゃないですかね
[38:55 - 38:59] 詳細は出てへんか
[39:03 - 39:13] ページャーアンプとスピーカーで勝って制御するとかって言うとめんどくさいし 音源どうにかこうにかするのもめんどくさいでスマホでやれいいんじゃねーとかって
[39:13 - 39:17] 言うんだったら まあ普段音楽流しておくのも使えるし
[39:17 - 39:19] こっちもあんま手かけんでいいじゃん
[39:19 - 39:21] やってみればこれでっていうレベル
[39:21 - 39:24] 1回読んだら3万円でいいみたいな
[39:24 - 39:27] 確かに向こうの
[39:27 - 39:29] 相談してきたノリとしても
[39:29 - 39:30] ちょろっと聞いて
[39:30 - 39:34] ちょろっと良さげな回答をもらえたらいいな
[39:34 - 39:35] ぐらいの本気感なんです
[39:35 - 39:36] でしょ
[39:36 - 39:39] そこに真面目に考えても
[39:39 - 39:40] しゃあないんで
[39:40 - 39:45] 時報アプリはいっぱいあるんで
[39:45 - 39:45] とりあえず
[39:45 - 39:52] で、やるんだったらさっきも言った通りiPhoneだとバックグラウンド動作できないっていうアプリが多いんで
[39:52 - 40:02] Androidの端末、なんか安いその辺に転がってる中古屋の1万から2万ぐらいのやつを
[40:02 - 40:07] Bluetooth接続創設してスピーカーの音量を最大マックスにして
[40:07 - 40:13] あとはAndroidにいっぱいある時報アプリとかああいうのを入れて動かしておくと
[40:13 - 40:17] そうなんですね。iPhoneってできないんですね。
[40:17 - 40:18] そう。
[40:18 - 40:25] それはこの暗くなるやつ、バッテリーの…
[40:25 - 40:28] だからフォアグラウンドで動かさなくてもいいわけなんですよ。
[40:28 - 40:32] 電源ケーブルつなぎっぱなしですね。
[40:32 - 40:33] そうですね。
[40:33 - 40:38] それはAndroidでロックされているような状態でもできるんですね。
[40:38 - 40:42] なんでかって言ったらAndroidに開発者モードがあるからなんですよ
[40:42 - 40:45] ルート権限つけてしまって
[40:45 - 40:47] 脱モードですよね
[40:47 - 40:47] そうですね
[40:47 - 40:52] Androidのバージョンのところ
[40:52 - 40:55] ダダダダダって10回くらい叩くと
[40:55 - 40:58] 絶対どのAndroidでも開発者モードが入れるんで
[40:58 - 41:00] 開発者モードをオンにした状態で
[41:00 - 41:05] アラームアプリとかの起動権限が
[41:05 - 41:11] えっとシャオミ系のやつ以外のアンドロイドだったら
[41:11 - 41:13] 省電力のことをあんま考えてないんで
[41:13 - 41:18] このソフトは省電力の動作対象外にするっていう設定にすると
[41:18 - 41:20] ずっと動き続けるって感じなんで
[41:20 - 41:21] 画面消そうが何しようが
[41:21 - 41:22] へー
[41:22 - 41:24] なるほど
[41:24 - 41:27] すごいですね
[41:27 - 41:29] が、ええんちゃうかなーって
[41:29 - 41:32] アンドロイドだろ
[41:32 - 41:33] アンドロイドですね
[41:33 - 41:37] かなってとこっすね
[41:37 - 41:40] まあそのスピーカー自体は僕も持ってるんで
[41:40 - 41:43] あでもそれWi-Fiないと動かないんだよな
[41:43 - 41:44] このSOMOSは
[41:44 - 41:46] だからSOMOSはダメで
[41:46 - 41:47] Amazonに
[41:47 - 41:50] でもこれ第2工場デコついてます
[41:50 - 41:51] あそうなんだ
[41:51 - 41:55] でもねこれエアプレイしか使えないんですよ
[41:55 - 41:56] シンフォニクスってかSOMOSは
[41:56 - 41:58] あそうなんですか
[41:58 - 42:00] そうBluetoothで接続できない
[42:00 - 42:03] だから
[42:03 - 42:05] そもそもiPhoneじゃねえと
[42:05 - 42:06] ダメだし
[42:06 - 42:09] 即時性がないから
[42:09 - 42:11] もしあれだったらAmazonで
[42:11 - 42:12] Bluetoothの
[42:12 - 42:17] Bluetooth
[42:17 - 42:22] スピーカー
[42:22 - 42:24] で
[42:24 - 42:25] めっちゃ
[42:25 - 42:27] 業務用みたいなやつが
[42:27 - 42:29] 2000円くらいであるんですけど
[42:29 - 42:31] こういうところで
[42:31 - 42:35] 最大出力
[42:35 - 42:37] 20ワット以上
[42:37 - 42:38] 200ワット
[42:38 - 42:40] 200ワット以上
[42:40 - 42:43] っていうやつだったら
[42:43 - 42:44] そうそうこれこれ
[42:44 - 42:45] これ
[42:45 - 42:52] 音質はすっかりクソクソですけどね
[42:52 - 42:55] 鳴らすには
[42:55 - 42:56] 100ワット4オーム
[42:56 - 42:58] なんで
[42:58 - 43:03] まあ基本的には 能率悪いですけどね
[43:05 - 43:13] これでいいんじゃねって感じで bluetooth だから普通に bluetooth スピーカーとしてつなぐ終わり
[43:15 - 43:17] 感じですかね
[43:17 - 43:21] これでも買って
[43:21 - 43:22] あとはスマホで鳴らしとかれ
[43:22 - 43:23] って
[43:23 - 43:26] 何やったらなんかちっこい
[43:26 - 43:28] いらんようなノートパソコンに
[43:28 - 43:30] あのウェブサイトで
[43:30 - 43:31] なんかあの
[43:31 - 43:33] 時報とかって
[43:33 - 43:36] 時報
[43:36 - 43:38] 時報
[43:38 - 43:40] サービスとかですか
[43:40 - 43:41] サービス
[43:41 - 43:42] うん
[43:42 - 43:47] それ多分インターネット時報になっちゃうんで
[43:47 - 43:52] でもそのインターネット時報
[43:52 - 43:54] でもいいのかな
[43:54 - 43:59] 多分これ
[43:59 - 44:00] かけてるだけで
[44:00 - 44:01] 何時ですとか
[44:01 - 44:06] こういうサービスで確か
[44:06 - 44:08] 何時に何鳴らすみたいな
[44:08 - 44:10] とかあるんで
[44:10 - 44:13] それをずっとパソコンで動かしといて
[44:13 - 44:15] Bluetoothで
[44:15 - 44:17] 繋いではいおしまいでもいいんじゃないですか
[44:17 - 44:20] そしたらAndroidをちまちま触って設定とか必要ないんで
[44:20 - 44:22] なんかいらんパソコン
[44:22 - 44:26] でもこれWebなんだったらそのままAndroidのスマホでも
[44:26 - 44:28] でもいけますね
[44:28 - 44:29] いける感じ
[44:29 - 44:32] なんですけどその時ってブラウザを
[44:32 - 44:35] 要するにその省電力対象から外すみたいな
[44:35 - 44:37] 設定をしなきゃいけないねスマホ系だと
[44:37 - 44:38] なるほど
[44:38 - 44:41] そうだからなんかもういらんデスクトップパソコン
[44:41 - 44:44] でもいらんデスクトップパソコンありますね
[44:44 - 44:46] 第2工場に
[44:46 - 44:48] ブルートゥースで
[44:48 - 44:50] ネット繋がってないといけないですね
[44:50 - 44:51] そうか
[44:51 - 44:54] ぐらいで済んじゃうから
[44:54 - 44:56] なんかペンで
[44:56 - 44:58] アップグレードできないやつでも
[44:58 - 45:00] 二度とネットに繋がないでください
[45:00 - 45:02] 的なやつが一個転がってるやつは
[45:02 - 45:03] 現地に
[45:03 - 45:04] 惜しい
[45:04 - 45:06] Windowsのその
[45:06 - 45:09] 時報アプリとかで検索したら
[45:09 - 45:11] なんかフリーソフトでそんなにバッタリな気がするんですけどね
[45:11 - 45:14] わかりました
[45:14 - 45:14] ちょっとなんか
[45:14 - 45:17] 今言っていただいた
[45:17 - 45:19] あとはなんか自分で知られみたいな
[45:19 - 45:21] すいません分かりました
[45:21 - 45:22] ありがとうございます
[45:22 - 45:24] なんかシンプルでいいんじゃないでしょうか
[45:24 - 45:24] ありがとうございます
[45:24 - 45:26] それでですね
[45:26 - 45:28] もう私からは最後なんですけど
[45:28 - 45:32] 実は前に
[45:32 - 45:33] 富山昌司さんの話
[45:33 - 45:35] OPっていうやつあったじゃないですか
[45:35 - 45:39] あれはあれで話ちょっと進んでいるので
[45:39 - 45:40] 筋トーンでやるっていう
[45:40 - 45:43] それとは別の案件また持ってこられて
[45:43 - 45:45] それ何かっていうと
[45:45 - 45:46] こういうなんか
[45:46 - 45:48] サモシカさんご存知かもしれないんですけど
[45:48 - 45:50] モバイルバッテリーのシェアサービス
[45:50 - 45:52] これこれぐらい
[45:52 - 45:54] ビジネスモデルがよくわからん
[45:54 - 45:58] 借りてって
[45:58 - 46:00] 好きなとこに返せるってやつでしょ
[46:00 - 46:01] レタガみたいなやつ
[46:01 - 46:03] そうなんですけどね
[46:03 - 46:05] でですね
[46:05 - 46:08] 全国に
[46:08 - 46:11] 田山商事の関連会社
[46:11 - 46:13] これ6000台ぐらい
[46:13 - 46:21] 全国にあってそのうちの4割ぐらいをそのグループ会社が各店舗とかに置いてもらっているらしいんですね
[46:21 - 46:28] これってこういう10インチのモニターついてるじゃないですか
[46:28 - 46:32] ここに動画をその店舗の
[46:32 - 46:35] 例えばレストランとかであれば
[46:35 - 46:38] ベストランとかのメニューとかを
[46:38 - 46:43] スライドみたいな動画を流したいっていうので
[46:43 - 46:48] その動画自体を就労支援のオレンジっていう
[46:48 - 46:50] ご存知かもしれないんですけど
[46:50 - 46:55] そこのそういう動画制作に長けてる人に
[46:55 - 47:00] 作らせてやるっていう話がちょっとありまして
[47:00 - 47:01] それはそれでいいんですけど
[47:01 - 47:04] うちに何を相談してきたかっていうと
[47:04 - 47:06] サイネージ配信システムを作れ
[47:06 - 47:07] いや、違います
[47:07 - 47:08] なんかですね
[47:08 - 47:10] オレンジっていうのが
[47:10 - 47:13] 動画を作る人たちの
[47:13 - 47:16] 管理している会社があって
[47:16 - 47:17] 店舗が
[47:17 - 47:20] こういう動画を作りたいっていうのを
[47:20 - 47:21] オレンジに依頼するんですけど
[47:21 - 47:24] オレンジはそれを納品します
[47:24 - 47:26] その時に決済発生するじゃないですか
[47:26 - 47:28] それ本当数千円ぐらいでやるような
[47:28 - 47:29] 話らしいんですけど
[47:29 - 47:31] その決済が今
[47:31 - 47:34] もう発注もらったら
[47:34 - 47:35] 振り込んでもらって
[47:35 - 47:37] ネットとかで確認をして
[47:37 - 47:39] 振り込まれましたね
[47:39 - 47:40] じゃあ動画制作開始します
[47:40 - 47:42] みたいなことをアナログでやっているので
[47:42 - 47:44] そこの部分を
[47:44 - 47:47] 決済サービスみたいなのが
[47:47 - 47:49] ショピファイでいいです
[47:49 - 47:51] ショピファイなんですね
[47:51 - 47:54] 何がありたかというと
[47:54 - 47:56] クレジット決済か
[47:56 - 47:57] 現行振り込みか
[47:57 - 48:00] コンビニ払いもできますよ
[48:00 - 48:01] コンビニ払いもできますか
[48:01 - 48:05] ただカードフィーがかかるんでね
[48:05 - 48:07] 3%程度
[48:07 - 48:10] それを許容できるかってところですかね
[48:10 - 48:12] その場合は
[48:12 - 48:15] 例えばよく
[48:15 - 48:18] ヒューレットパッカーとかの
[48:18 - 48:20] HPダイレクトとか
[48:20 - 48:22] パソコンとかたまに買ったりとかするんですけど
[48:22 - 48:25] それもHPのサイトから
[48:25 - 48:26] 注文確定
[48:26 - 48:28] 次は決済のシステムに
[48:28 - 48:30] ちょっと遷移しますみたいな
[48:30 - 48:38] 違うやつかかってきてそのクレジットカードを選ぶあるじゃないですか ああいうのをイメージあれはイメージできるんですね
[48:38 - 48:43] それで遷移していって 商品と金額
[48:43 - 48:49] がデータとして出てきてあとはじゃあ何で支払うかっていうのを選ぶっていう 今回みたいなやつって
[48:49 - 48:58] まあ何をいくらかはわかるんですけどそういったなんかデータをいったんもらった上で そのショピファイに
[48:58 - 49:06] カーカーショッパーのカートみたいなところに何かこう入れ入れて決済するみたいな イメージで商品を決めとけばいいんですよ
[49:06 - 49:16] 例えばテンプレーの a b c みたいなのがあって そこの中に何表示するかっていうのは例えば5枚の動きもん動画
[49:16 - 49:27] 画像差し替え型のど前動画とかあの途中にその著作権フリーの動画が入るもんとか 完全に家から作るもみたいな話で商品を登録しておいてあとそれ決済してもらう
[49:27 - 49:37] もちろんそれぞれでその商品を作って出すっていうのもすぐにできるんですけどね
[49:38 - 49:46] ショピーカーを選ぶのは基本的にあのなんだっけ、物の売買だけじゃなくてデジタルメディアの売買っていう
[49:46 - 49:53] 項目もあるんですよとかサブスクとか 毎月いくらとかもできるっていうのがあるので
[49:53 - 49:57] あとは入金が最短1週間ですかね
[49:57 - 50:03] しかも決済の大反りが通ればそのまま来るって形になるんで
[50:03 - 50:08] 銀行振込自体がもう意味がない
[50:08 - 50:14] わずか数百円の手数料を削ぐぐらいだったら
[50:14 - 50:18] それを圧倒的に上回るような金額設定しておけばいいだけの話なんで
[50:18 - 50:20] しかもサービスじゃないですか
[50:20 - 50:22] 原価がないんでほぼほぼ
[50:22 - 50:25] 別にもうそんなやったらカードって
[50:25 - 50:26] いいんじゃねみたいな
[50:26 - 50:28] その方が向こうも喜ぶんで
[50:28 - 50:31] こっちも請求書出さなくていいんで
[50:31 - 50:31] 領収書とか
[50:31 - 50:34] それだけで終わるんで
[50:34 - 50:36] いろんな
[50:36 - 50:39] 事務手続きとかをなくすってことで
[50:39 - 50:40] 考えたら年12万
[50:40 - 50:43] ショピファイ出しときゃそれでいいんでしょ
[50:43 - 50:44] っていう感じで
[50:44 - 50:47] ショピファイの一番ライトなやつって
[50:47 - 50:48] 12万ですね
[50:48 - 50:52] 月1万って感じですが
[50:52 - 50:53] そうそうそうそう
[50:53 - 51:05] これってことですかね
[51:05 - 51:06] そうですねグロウぐらいかな
[51:06 - 51:09] 別にこのベーシックでもいいんですけどね
[51:09 - 51:11] ん
[51:17 - 51:25] 決済フィーが変わるはずですけどね確かん がショピファイって私もなんか一時調べたということがしかもオタクの奥さんが
[51:25 - 51:30] プロフェッショナルじゃないですか アショピファイ色々
[51:30 - 51:41] そうなんだ、スノーフォークスってショピファイ使ってるんですか? 一番金儲けてるのはショピファイなんで
[51:44 - 51:52] なんか今、さっき6000台のうちの4割で2500台ぐらいが対象にしていて
[51:52 - 51:59] 目標1000台ぐらいしかもそのやつ格安なので 1本あたりで例えば
[51:59 - 52:10] 5000円ぐらいだとして年間3本ぐらい秋のシーズン夏のシーズン4回か4回ぐらいとかで買って各店舗にやってもらったらいいよねみたいなような話を
[52:10 - 52:18] してるんですけどそうなった時に年4回の1000だったら4000年間4000
[52:18 - 52:23] サブスクモードにしてしまえばいいんですよ
[52:23 - 52:26] それのサブスクモード?これの中のサブスクモード?
[52:26 - 52:30] そうそう、価格設定というか、金の取り方をね
[52:32 - 52:36] ショピファイにかかる費用じゃなくて
[52:36 - 52:42] 課金モードとしてサブスクができるから
[52:42 - 52:46] ショピファイの商品の登録の仕方として
[52:46 - 52:46] そうそう
[52:46 - 52:50] 例えば2ヶ月おきにいくらとか
[52:50 - 52:52] 4ヶ月おきにいくらとか
[52:52 - 52:54] みたいなのができるんですよ
[52:54 - 52:57] そのやり方で言えばね
[52:57 - 53:01] 配信っていう商品と
[53:01 - 53:03] 制作っていう商品
[53:03 - 53:05] 買っておいてくださいねみたいな
[53:05 - 53:09] パッケージにしたものでもいいかもしれないし
[53:09 - 53:12] 商品としては
[53:12 - 53:14] 制作プラス
[53:14 - 53:16] 形質3ヶ月でいくらとか
[53:16 - 53:18] 6ヶ月でいくら
[53:18 - 53:20] みたいなのとか作ってもいいでしょうし
[53:20 - 53:22] 何ができるのかを見せやすい
[53:22 - 53:23] っていうところもありますからね
[53:23 - 53:25] あと作例を見せるっていうのもできるし
[53:25 - 53:27] 商品ファイルなんで
[53:27 - 53:29] とかオプションを選択させる
[53:29 - 53:31] っていうのもできるし
[53:31 - 53:34] ただなんかそんな
[53:34 - 53:37] 毎年そんないっぱい来ないんですとか
[53:37 - 53:41] そもそもじゃあそれなら手でやりましょうねって話にしかならないけど
[53:41 - 53:45] 決済サービスを望んでいるんだったらこれが一番やりやすい
[53:45 - 53:47] お客さんにも選んでもらいやすいし
[53:47 - 53:50] 決済もクレジットカードが使えるから
[53:50 - 53:53] あとはもう商売の取り方の考え方っていうところですね
[53:53 - 53:55] なるほどです
[53:55 - 53:59] 最初富山商事の方には
[53:59 - 54:04] オレンジ自体は内部でそういうやり取り
[54:04 - 54:07] こういうシステムなのかよく分からないんですけど
[54:07 - 54:08] あるあって
[54:08 - 54:11] 決済の部分だけ
[54:11 - 54:13] ちょっとセキュリティ怖いから
[54:13 - 54:15] うちじゃできないんだよねみたいな
[54:15 - 54:17] を言われてたらしいんですね
[54:17 - 54:18] で何だったら
[54:18 - 54:20] 中島国太さんに
