[00:00 - 00:11] お世話になっております
[36:27 - 36:29] 標準原価の値を引っ張っています
[36:29 - 36:32] なるほどありがとうございます
[36:32 - 36:35] そしたら在庫調整とか
[36:35 - 36:40] あと配布するような時もあるんですよね
[36:40 - 36:42] 参考的なものです
[36:42 - 36:47] ここも必須で
[36:47 - 36:54] 要は売上げ減価と一致させておけばいいってことですよね
[36:54 - 37:15] それだと出古伝票を作ってみると
[37:24 - 37:38] 出稿伝票では数字が反映されているかどうかは確認はできないですね
[37:42 - 37:44] 出稿伝票内で金額が出ていない
[37:44 - 37:46] 出ていないです
[37:46 - 37:47] これだけでOK
[37:47 - 37:51] 計算するときに多分使われるんじゃないですかね
[37:51 - 37:56] 月に1回やる平均減価だった時の計算に
[37:56 - 38:00] 使われるこの出稿点表で引き当てられるのが
[38:00 - 38:03] 標準減価で計算されるということですね
[38:03 - 38:08] 在庫の資産在庫金額出す時に多分使われる
[38:08 - 38:12] これですか売上減価行使
[38:12 - 38:17] この時に計算される時に使われる
[38:17 - 38:19] 単価が今の標準減価
[38:19 - 38:22] 出稿のときは標準原価になる
[38:22 - 38:23] が使われる
[38:23 - 38:25] 出稿のとき
[38:25 - 38:27] 分かりました
[38:27 - 38:29] 標準原価は入れてないと
[38:29 - 38:32] そこはゼロになっちゃうみたいなことなんですか
[38:32 - 38:33] うん
[38:33 - 38:36] 分かりました
[38:36 - 38:41] 意味のない原価入力はない
[38:41 - 38:43] どっちにしたって
[38:43 - 38:44] 数字が入ってなかったら
[38:44 - 38:47] 計算の元がない
[38:47 - 38:48] という状態になっちゃう
[38:48 - 38:48] はい
[38:48 - 38:52] ここも必須になってくる
[38:52 - 39:02] 完成品の原価が出てた
[39:02 - 39:04] でもそれって
[39:04 - 39:10] ローウィンマスターの完成品に入力してある原価が
[39:10 - 39:11] 表示されてたとする
[39:11 - 39:17] あれは原価更新のタイミングで平均に変わるってことは
[39:17 - 39:18] 売上減価が更新されると
[39:18 - 39:22] 売上減価が更新されるといいと
[39:22 - 39:24] 標準減価は
[39:24 - 39:26] 多分更新されないんじゃないかな
[39:26 - 39:28] メニュー的には売上減価更新
[39:28 - 39:30] ってなってるよね
[39:30 - 39:35] 売上減価更新
[39:35 - 39:38] 売上減価の方を標準にしてたんだ
[39:38 - 39:39] コピーしてたんだ
[39:39 - 39:41] それであったよね
[39:41 - 39:46] 標準減価は完全に更新されないから
[39:47 - 39:51] 売上げ減価で自動計算させたものを標準結果にコピーして
[39:51 - 40:02] オンシャでも売上げ減価と標準結果が一致させるようになっているという
[40:02 - 40:04] 理解ですね
[40:04 - 40:04] はい
[40:04 - 40:05] わかりました
[40:05 - 40:06] ありがとうございます
[40:06 - 40:08] はいお願いします
[40:17 - 40:30] 手順としては売上げ原価を自動更新で
[40:30 - 40:33] 一旦全部にかけた上で
[40:33 - 40:37] それでエクスポートして標準原価を設定し直して
[40:37 - 40:40] もう一回やるような中に商品の代帳をインポートする
[40:40 - 40:41] というやり方
[40:41 - 40:47] この話で、街のオーダーはそのままで売り上げさせたんですけど、
[40:47 - 41:00] 売り上げと標準原価の金額を一致させたものを、
[41:00 - 41:07] 例えば、このコアクトをちょっとアレンジして、ちょっと金箔を入れてみたり。
[41:07 - 41:13] 一旦エクスポートした後に、再インポートするという作業が必要になりますね。
[41:13 - 41:23] 例えば、今月末で締める、今あまり設定してないですけど、ここで原価更新をかけます。
[41:23 - 41:28] そこでもうちょっとお茶菓子として出すものとは考えにする
[41:28 - 41:31] っていうことを考えていて
[41:31 - 41:33] それで原価交渉がかけます
[41:33 - 41:40] この出た原価をエクスポートして
[41:40 - 41:43] そうですね
[41:43 - 41:50] 商品台帳にインポートする形式にするっていうようなこと
[41:50 - 41:51] そうですね
[41:51 - 41:55] 商品台帳をエクスポートして
[41:55 - 42:00] また標準原価だけ書き換えたものを
[42:00 - 42:03] もう一回ファイルのインポートのところから
[42:03 - 42:06] 商品台帳を全部更新するのか
[42:06 - 42:07] インポートするのか
[42:07 - 42:11] 更新したら商品台帳の記録が更新されるので
[42:11 - 42:17] 更新した後に商品台帳をエクスポートして
[42:17 - 42:23] 売上原価と標準原価を同じ数値にして
[42:23 - 42:27] それをまた弥生の商品台帳に移行とする
[42:27 - 42:30] すみません
[42:30 - 42:32] 途中からちょっと無意識になっちゃいました
[42:32 - 42:35] 売上原価更新をすると
[42:35 - 42:37] その後商品台帳で
[42:37 - 42:39] これをエクスポートですか
[42:39 - 42:40] ここにある
[42:40 - 42:41] リストですね
[42:41 - 42:42] このほうですね
[42:42 - 42:46] 商品台帳のリストのほうを表示させて
[42:46 - 42:47] エクスポートします
[42:47 - 42:50] 商品リストを
[42:50 - 42:54] これエクスポートします
[42:54 - 42:57] すると項目に
[42:57 - 42:59] 売上げ減価
[42:59 - 43:01] 仕入れ単価
[43:01 - 43:03] 商品減価という項目があるので
[43:03 - 43:06] 売上げ減価の金額を
[43:06 - 43:07] 標準減価に
[43:07 - 43:08] コピーして
[43:08 - 43:10] それを保存
[43:10 - 43:12] オーダーのような形で
[43:12 - 43:15] 一つ一つで1冊の金額になります
[43:15 - 43:19] 標準原価って自動で変わらないはずなので
[43:19 - 43:22] この作業が必要になってきます
[43:22 - 43:23] 理解しました
[43:23 - 43:28] それをまたインポートで上書きするというか
[43:28 - 43:34] 標準原価だけ直すんですね
[43:34 - 43:36] 同じものをインポートするんですね
[43:36 - 43:38] 上書きで
[43:38 - 43:43] それは原価更新したときには
[43:43 - 43:46] 売上原価しか自動では変わらないから
[43:46 - 43:47] ということですね
[43:47 - 43:48] 変わりました
[43:48 - 43:52] これを原価更新のタイミングで
[43:52 - 43:55] だったら原価更新のタイミングでやって
[43:55 - 43:57] 次をまたぐときの金額が
[43:57 - 43:58] 原価が変わってくるって感じ
[43:58 - 44:05] これがいつもあれですかね
[44:05 - 44:07] 月書とかにやられてるっていうことなんですね
[44:07 - 44:14] 私は売上コースが例えば11月でしたら11月の売上も全部入れて
[44:14 - 44:18] かつ仕入れも全部入ってないとダメなんで
[44:18 - 44:25] そこを確認した上で11月分として変化更新してるんで
[44:25 - 44:32] だいたい今月末の夕方にやったりしてますし
[44:32 - 44:34] ECで売れた分っていうのは
[44:34 - 44:37] 翌日に売り上げを入れてるので
[44:37 - 44:39] そのあった場合は日またいだ
[44:39 - 44:41] 12月1日の朝一
[44:41 - 44:43] やってからその後で
[44:43 - 44:45] 初めて12月分の
[44:45 - 44:48] 注文とか売り上げとかを
[44:48 - 44:49] CA店舗を入れられるようになって
[44:49 - 44:51] やるって感じですね
[44:51 - 44:55] そのタイミングがすごく忙しいです
[44:55 - 44:58] 買い物も入ってるけど
[44:58 - 45:00] やるよりは入れないというか
[45:00 - 45:03] 受注伝票までだったらOKだと思うんですけど
[45:03 - 45:05] 受注伝票入っている時点で
[45:05 - 45:09] 確か原価がもう入ってきちゃってると思うんですよね
[45:09 - 45:10] 確か
[45:10 - 45:11] 受注伝票に
[45:11 - 45:14] 受注伝票作ると言って
[45:14 - 45:18] 原単価ってその時の原価が入っちゃうんですよ
[45:18 - 45:21] ただ原価構成が変わってくる場合があるんで
[45:21 - 45:26] ステータスレード多分受注伝票立ててから
[45:26 - 45:30] 発送したら売上伝票に繰り上がるんで
[45:30 - 45:36] 前の月の原価がそのままいっちゃうっていう感じになってしまうので
[45:36 - 45:38] 受注伝票も立てないんです
[45:38 - 45:40] はい分かりました
[45:40 - 45:43] 更新してから始めて12月分を入れる
[45:43 - 45:46] その作業が終わらないと何もできないんで
[45:46 - 45:47] できないですね
[45:47 - 45:55] 1点だけ補足すると
[45:55 - 45:59] 今坪内が言った内容その通りなんですけど
[45:59 - 46:01] ヤヨニーは一応締め処理っていう
[46:01 - 46:02] うちはちょっとまだ使ってないんですけど
[46:02 - 46:05] 締め処理っていうのがあって
[46:05 - 46:08] 仕入れ締めと売上締めっていうのがあるんですよ
[46:08 - 46:10] なのでもし月締めっていうことであれば
[46:10 - 46:14] 坪地がやったようなタイミングで締めていただくと
[46:14 - 46:17] 前月度分って入力できなくなるんですよね
[46:17 - 46:21] 電表とか売上電表も仕入れ電表も入れなくなるんで
[46:21 - 46:24] その締め処理していただいた上で
[46:24 - 46:31] 今の売上減価方針という作業でやっていただくのがいいのかなって
[46:31 - 46:37] ありがとうございます
[46:37 - 46:50] ちなみに締め処理ってどこからできるんですか
[46:50 - 46:52] 仕入れと売上それぞれにあるはずですね
[46:52 - 46:55] これですかね
[46:55 - 46:56] 請求締めっていうのと
[46:56 - 46:58] 仕入れだったら仕入れ締めっていうのが
[46:58 - 46:59] 多分あると思うんで
[46:59 - 47:01] これですかね
[47:01 - 47:02] 支払い締めか
[47:02 - 47:03] 支払い締めですね
[47:03 - 47:05] そこで締め処理
[47:05 - 47:09] 現価更新していただくタイミングになるのかな
[47:09 - 47:10] それでいいと思います
[47:10 - 47:14] もし月締めじゃなくて25とか
[47:14 - 47:18] 請求関係の締めがあるんだったら
[47:18 - 47:19] そのタイミングでしていただいた方が
[47:19 - 47:20] いいかもしれないですね
[47:20 - 47:23] 分かりました
[47:23 - 47:32] ちょっと締め処理になってしまうと
[47:32 - 47:34] 電病関係に入力できなくなるので
[47:34 - 47:37] そこだけちょっと気をつけていただいて
[47:37 - 47:40] その時は締め解除という処理があるので
[47:40 - 47:42] それを一旦知った上でじゃないと
[47:42 - 47:44] できなくなったりしてしまいます
[47:44 - 47:48] 分かりました
[47:48 - 47:57] あと原価更新した後月またいてからなんですけど
[47:57 - 48:06] 前月の伝票をコピーして伝票を作る時ってありますかね
[48:06 - 48:08] そうですね
[48:08 - 48:13] それほど多くはないですけどありますね
[48:13 - 48:16] 同じものを販売した場合
[48:16 - 48:19] 前月の原票からコピーする場合って
[48:19 - 48:23] 金額は変わってないはずなので
[48:23 - 48:24] 更新されないので
[48:24 - 48:28] 前月の原価がそのまま引き継がれちゃうんで
[48:28 - 48:30] そこだけ要注意ですね
[48:30 - 48:32] なるほど
[48:32 - 48:37] なので私は前月の原票を
[48:37 - 48:39] 今月コピーした場合は
[48:39 - 48:43] もう一回商品選び直すと
[48:43 - 48:46] マスターのものを引っ張ってくるので
[48:46 - 48:48] 銀貨も更新される
[48:48 - 48:51] そうなってくると
[48:51 - 48:51] いつから作るのか
[48:51 - 48:52] 変わりにくくなっちゃうんです
[48:52 - 48:54] そうですね
[48:54 - 49:01] 例で言うと
[49:16 - 49:43] でもこういったものなんかですと
[49:43 - 49:49] これは小売店さんに下ろしてるんですけど
[49:49 - 49:52] こういうのだとコピーして作ることがあるんですが
[49:52 - 49:55] これで例えば電表を副社にして
[49:55 - 50:00] 12月分を作るとしたら
[50:00 - 50:03] 今は表示されてないんですけど
[50:03 - 50:05] 減単価っていうところに減価が入ってくるんですか
[50:05 - 50:07] 入ってくるんですね
[50:07 - 50:11] ここが減価更新の前
[50:11 - 50:14] 新スタッフにコピーしたのであれば
[50:14 - 50:16] 前の金額が入ってきちゃうので
[50:16 - 50:18] 一緒であれば問題ないんですけど
[50:18 - 50:19] 金額変わっている場合は
[50:19 - 50:21] 先月の分が引き継がれてしまうので
[50:21 - 50:25] 減単価を打ち替える
[50:25 - 50:26] 手で入力し直すか
[50:26 - 50:29] 商品をもう一回選び直すかってやってます
[50:29 - 50:32] はい
[50:32 - 50:36] 選び直す際も
[50:36 - 50:41] 商品コードのところを選んでもらって
[50:41 - 50:43] スペースレースを押してもらうと
[50:43 - 50:45] 多分商品詳細が出てくると思うんですけど
[50:45 - 50:51] ここで一旦違うやつ1個上とかを選んで
[50:51 - 50:53] もう1回下に戻るっていう作業をやってます
[50:53 - 50:56] ここで同じのクリックしては変わらないんです
[50:56 - 50:57] そうなんですか
[50:57 - 51:01] 気分いいね
[51:01 - 51:01] そうだ
[51:01 - 51:04] そう
[51:04 - 51:07] 選びましたら入らないんですよ
[51:07 - 51:10] それだとあれですね
[51:10 - 51:12] うちの場合そんなに量ないんで
[51:12 - 51:14] 1から作っちゃった方が
[51:14 - 51:16] いいかもしれないですね
[51:16 - 51:24] ありがとうございます
[51:24 - 51:27] 一回消してとかでもいい
[51:27 - 51:27] どうですか
[51:27 - 51:31] デリートして
[51:31 - 51:33] 選び直す
[51:33 - 51:35] 一緒ですよね
[51:35 - 51:36] 一緒ですよね
[51:36 - 51:38] 結局
[51:38 - 51:43] そういった商品コードをクリップにコピーして
[51:43 - 51:46] 商品一部を消してそのままパッつけてペンの方が早くね
[51:46 - 51:50] そこはお任せしますが
[51:50 - 51:51] そうですよね
[51:51 - 51:51] はい
[51:51 - 51:53] ありがとうございます
[51:53 - 52:01] ここまででだいぶ解決しましたかね荒川さん
[52:01 - 52:06] そうですね玄関のところはだいぶ分かりましたね
[52:06 - 52:15] こちらとしてはもう原価を台帳に入れていくことと
[52:15 - 52:23] あとそのCSVでのデータベース化を進めていく必要がありますね
[52:23 - 52:28] あとほら向こうさんでよくあるんだけどさ
[52:28 - 52:31] 仕入れました到着しました
[52:31 - 52:32] 箱を開けてみたら
[52:32 - 52:35] 角地の部分が潰れたり漏れたりしてました
[52:35 - 52:37] QCやってるんだけど
[52:37 - 52:39] ブリッジチェックね
[52:39 - 52:40] 赤電反映
[52:40 - 52:43] 教えてあげて
[52:43 - 52:45] 赤電反映は
[52:45 - 52:46] うちで言うと
[52:46 - 52:49] 在庫をそもそも減らすだけ
[52:49 - 52:51] であれば在庫調整
[52:51 - 52:53] 出庫電表の在庫調整
[52:53 - 52:53] っていう
[52:53 - 52:57] 在庫調整も
[52:57 - 52:59] 商品マスターで在庫調整っていう
[52:59 - 53:02] 商品を作らないといけないんです
[53:02 - 53:09] そこで出稿伝票で在庫調整って選んでたかな
[53:09 - 53:14] 在庫調整っていう商品を作っている
[53:14 - 53:17] 商品じゃないなごめんなさい
[53:17 - 53:20] 得意先ですね
[53:20 - 53:21] なるほど
[53:21 - 53:27] 得意先で在庫調整っていう名前のものを付けて
[53:27 - 53:33] 出荷先を在庫調整選択して
[53:33 - 53:37] あとは下で在庫を調整する場合もありますし
[53:37 - 53:41] 返品の場合もそもそも電表をコピーして
[53:41 - 53:44] 返品っていう項目があるので
[53:44 - 53:48] それを利用してますね
[53:48 - 53:53] 例えばなんかで開いていただいて
[53:53 - 53:57] これ例えば返品になった場合
[53:57 - 54:00] この売上はこの売上として残しておくんです
[54:00 - 54:04] で、全票を副者で
[54:04 - 54:06] 全票同じものを作ります
[54:06 - 54:11] これを返品するってなった場合は
[54:11 - 54:15] 下の内訳の今通常ってなってる部分
[54:21 - 54:22] これですか
[54:22 - 54:24] そこに返品ってあるので
[54:24 - 54:28] それを選んでいただくと数量がマイナス1になるんです
[54:28 - 54:30] なるほど
[54:30 - 54:39] 赤電を出すのとの違いってこれってどこになるんですかね
[54:39 - 54:41] 赤電は使ってないんだね
[54:41 - 54:42] 使ってないんです
[54:42 - 54:43] 多分閉めないからじゃない
[54:43 - 54:46] そうですね閉めあったら赤電使わないといけない
[54:46 - 54:48] だと思う多分
[54:48 - 54:51] 今赤電運用だけはうまいこと言っても
[54:51 - 55:00] 赤電自体はもう今やってます?
[55:01 - 55:08] 今赤電はまだやってないですね
[55:08 - 55:09] ないですよね
[55:09 - 55:19] 向こうさんの事情で言うと
[55:19 - 55:21] 1回来たものをクオリティチェックして
[55:21 - 55:22] ダメってなったら
[55:22 - 55:25] 正常品入庫数は
[55:25 - 55:26] それで入れるんだけど
[55:26 - 55:28] 総額で来てるじゃん
[55:28 - 55:30] 例えば30万円分30個買いました
[55:30 - 55:31] ってなってさ
[55:31 - 55:34] その中の5個ダメでしたって言ったら
[55:34 - 55:37] 25個は正常品で入るんだけど
[55:37 - 55:39] 買った額っていうのは30万円分なわけよ
[55:39 - 55:40] 赤電で
[55:40 - 55:42] 5個分を乗けるわけ
[55:42 - 55:43] そうすると
[55:43 - 55:47] 5万円分の損が出る
[55:47 - 55:49] という形の赤電を切った形で
[55:49 - 55:51] その後で損になった部分を
[55:51 - 55:53] メーカーに請求する
[55:53 - 55:57] そうするとその部分補填される
[55:57 - 56:02] そこがちゃんと合ってないとダメという事情があるので
[56:02 - 56:05] 発注の方ってことですね
[56:05 - 56:06] そうだね
[56:06 - 56:08] 発注の方から出のっていうのもあるし
[56:08 - 56:11] あと返品ももちろんあるからね
[56:11 - 56:13] 返品に関しても
[56:13 - 56:16] そのままもう一回棚に並べるのか
[56:16 - 56:20] 廃棄処分になって全損状態っていう
[56:20 - 56:22] あれにするかによっても
[56:22 - 56:23] ここの中身には変わってくるから
[56:23 - 56:38] 今の売上の返品のやつだと
[56:38 - 56:42] 単純に在庫が元に戻るっていうことですよね
[56:42 - 56:44] はい元に戻ります
[56:44 - 56:48] 売上も売上総額で表示されると
[56:48 - 56:51] 売上金額もマイナスになります
[56:51 - 56:55] プラスもあってその分のマイナスが
[56:55 - 56:57] 売上の返品として出てくる
[56:57 - 56:59] 搭載されるような感じです
[56:59 - 56:59] はいはいはい
[56:59 - 57:00] わかりました
[57:00 - 57:04] QCアウトの場合だと
[57:04 - 57:07] 例えば今シーディングとかは
[57:07 - 57:11] 特異作品として作っているんですけど
[57:11 - 57:11] 例えばこんな
[57:11 - 57:15] これサンプルとかですね
[57:15 - 57:18] これと同じように
[57:18 - 57:20] 例えばQCアウトみたいな感じで
[57:20 - 57:22] これで登録して
[57:22 - 57:29] 先ほどおっしゃられたのと同じような
[57:29 - 57:31] イメージですよね
[57:31 - 57:37] シーディングってシード
[57:37 - 57:38] つまり種まき
[57:38 - 57:49] これだとこれで5個でQCアウトをこれでした場合は
[57:49 - 57:53] ここは標準原価が反映されて
[57:53 - 57:59] もう1個サンプル品ってことですよね
[57:59 - 58:01] もう1個あります
[58:01 - 58:06] 売上電表出ていただくと
[58:06 - 58:35] 例えばうちで言うと
[58:35 - 58:38] インスタグラムのアンバサダーさんがいらっしゃいまして
[58:38 - 58:41] 特異作品をアンバサダーで一旦登録しておくんですね
[58:41 - 58:50] そこでサンプルっていうのがありますね
[58:50 - 58:55] そこに入れていただいて商品を入力していただくと
[58:55 - 58:59] 在庫が減るのとあとは原価だけ計算されます
[58:59 - 59:03] 売上で立つんじゃない
[59:03 - 59:04] 減価だけ引かれる
[59:04 - 59:06] 売上は立ちません
[59:06 - 59:09] 入らないんだ
[59:09 - 59:10] 入らない
[59:10 - 59:14] 数量1とかに入れていただくと
[59:14 - 59:16] 多分今ちょっと減価入力されてない
[59:16 - 59:16] あれなんですけど
[59:16 - 59:20] 数量1でやると1個分の減単価だけが
[59:20 - 59:21] 表示されて売上は
[59:21 - 59:24] 何も記載されない状態になります
[59:24 - 59:26] ここだけ出てくるんですね
[59:26 - 59:27] そうです
[59:27 - 59:30] という方法も一応あります
[59:30 - 59:37] ここは一緒なんだよね
[59:37 - 59:38] 一緒です
[59:38 - 59:43] ただなんでこれをしたのか
[59:43 - 59:46] 売上の一覧で見たときに
[59:46 - 59:50] 出稿電表だと反映されないし
[59:50 - 59:54] 原価はどっちで引かれるの?
[59:54 - 59:55] 結果計算するときに
[59:55 - 59:59] 売上でやったら売上原価でなって
[59:59 - 01:00:01] 出稿伝票だったら標準原価になる
[01:00:01 - 01:00:02] その違いか
[01:00:02 - 01:00:04] 一緒になっているので
[01:00:04 - 01:00:06] 内輪
[01:00:06 - 01:00:08] 一緒になっているけど
[01:00:08 - 01:00:11] かわいいのになったらそういうロジックになっている
[01:00:11 - 01:00:13] 出稿伝票で
[01:00:13 - 01:00:15] 立てるとレポートって
[01:00:15 - 01:00:18] 出稿伝票のレポートでしか見れないんです
[01:00:18 - 01:00:19] ただこれ
[01:00:19 - 01:00:21] サンプル品として売上伝票を
[01:00:21 - 01:00:23] 立てると売上一覧で見たときに
[01:00:23 - 01:00:25] サンプルとしていくら原価が
[01:00:25 - 01:00:28] 減りますというのを一覧で表示されるので
[01:00:28 - 01:00:30] 売上伝票と一緒に
[01:00:30 - 01:00:32] チャンネルでやったほうがいい
[01:00:32 - 01:00:33] そういう使い分けが
[01:00:33 - 01:00:34] なるほど
[01:00:34 - 01:00:38] 把握するのに便利なんですね
[01:00:38 - 01:00:41] 出稿伝票でやっちゃうと
[01:00:41 - 01:00:43] それって出す方法って
[01:00:43 - 01:00:45] レポートみたいなのって出せないんですか
[01:00:45 - 01:00:50] レポートの出稿で出すしかないかなと思う
[01:00:50 - 01:00:52] 出稿明細表とか
[01:00:52 - 01:00:56] レポートの在庫レポートっていうところがあるんですけど
[01:00:56 - 01:00:58] そこに出稿明細表ってありまして
[01:00:58 - 01:01:00] そこで見るしかなくなっちゃいます
[01:01:00 - 01:01:06] 明細みたいなのでしか見れなくなっちゃう
[01:01:06 - 01:01:10] そこの在庫レポートの出稿明細表で出てくる感じ
[01:01:10 - 01:01:19] パッと月にいくらとかそういう形では見れない
[01:01:19 - 01:01:20] そうですね
[01:01:20 - 01:01:21] なるほど
[01:01:21 - 01:01:25] 年価としていくらかかったのかって見るんだったら
[01:01:25 - 01:01:27] 売り上げ投票を入れておいた方がいいのかな
[01:01:27 - 01:01:29] ありがとうございます
[01:01:29 - 01:01:39] やってないからどうしようかな
[01:01:39 - 01:01:40] どうなるのかな
[01:01:40 - 01:01:43] 今はだいたい大丈夫でしょう
[01:01:43 - 01:01:48] 廃棄分だけどうするかな
[01:01:48 - 01:01:51] うちなんかでもたまにあるけど
[01:01:51 - 01:01:52] 廃棄はうちは
[01:01:52 - 01:01:53] 出航の
[01:01:53 - 01:01:55] 出航でやってるんだよね
[01:01:55 - 01:01:59] もう一回メーカーに請求するんだったら
[01:01:59 - 01:02:03] その分発注の方で調整するって感じになる
[01:02:03 - 01:02:03] なると思いますよ
[01:02:03 - 01:02:04] いつでやるとしたら
[01:02:04 - 01:02:12] 例えば10個中2個不良があって
[01:02:12 - 01:02:15] それを差し替えてもらうとなったら
[01:02:15 - 01:02:16] まず2個出航して
[01:02:16 - 01:02:22] 2個発注電票も出すってことですかね
[01:02:22 - 01:02:24] なるんじゃないかな
[01:02:24 - 01:02:25] そうですね
[01:02:25 - 01:02:29] そしたら金額無駄に減っちゃうか
[01:02:29 - 01:02:31] 結果として
[01:02:31 - 01:02:34] 2個
[01:02:34 - 01:02:37] でも仕入れ金額は
[01:02:37 - 01:02:39] 発注するときに仕入れ金額入れなきゃいけないか
[01:02:39 - 01:02:42] 10個発注して8個OKだった場合は
[01:02:42 - 01:02:44] まず8個だけ受け入れします
[01:02:44 - 01:02:48] 8個受け入れして2個は出荷する
[01:02:48 - 01:02:49] そんなことできない
[01:02:49 - 01:02:51] 8個だけ受け入れ
[01:02:51 - 01:02:53] 10個発注して8個だけ受け入れるってできるんですか
[01:02:53 - 01:02:53] できます
[01:02:53 - 01:02:55] じゃあその8個だけ受け入れして
[01:02:55 - 01:02:59] 残りの2個はずっと電表として残っちゃうんですよ
[01:02:59 - 01:03:01] 残るんで残った分を
[01:03:01 - 01:03:05] 発注取り消しっていう作業も一応できる
[01:03:05 - 01:03:07] それも電表の検索から外れるんだ
[01:03:07 - 01:03:10] そもそも発注
[01:03:10 - 01:03:14] リアル発注は30だったら30って入れといて
[01:03:14 - 01:03:16] そのうちの5個がダメなんだから
[01:03:16 - 01:03:19] 5個分は加電できるってしないと
[01:03:19 - 01:03:24] 要はお金の動きと考えの動きが違うという
[01:03:24 - 01:03:26] やっぱり全部一旦受け入れて
[01:03:26 - 01:03:29] 5個は出庫全票で出して
[01:03:29 - 01:03:32] 5個分の整備を全部立てるっていうのが
[01:03:32 - 01:03:35] 次になるかな
[01:03:35 - 01:03:40] ちょっと整理させてもらっていいですか
[01:03:40 - 01:03:43] 今発注全票って使ってなくて
[01:03:43 - 01:03:46] 仕入れでやっちゃってるんでしょいきなり
[01:03:46 - 01:03:47] そうなんですね
[01:03:47 - 01:03:53] その場合だとまず発注伝票を切って
[01:03:53 - 01:03:58] そこで受け入れとかができる
[01:03:58 - 01:03:59] はいそうです
[01:03:59 - 01:04:04] 発注伝票を立てます
[01:04:04 - 01:04:07] 発注伝票はあくまでも発注用の伝票
[01:04:07 - 01:04:11] そこから上に受け入れっていうボタンが出てくるので
[01:04:11 - 01:04:14] 納品されたタイミングで受け入れボタンを押すと
[01:04:14 - 01:04:16] 発注した日付と
[01:04:16 - 01:04:18] そもそも納品された日付が
[01:04:18 - 01:04:19] 分かるように
[01:04:19 - 01:04:22] 受け入れって押した段階で
[01:04:22 - 01:04:25] 今度仕入れ電表が勝手に作られるんですよ
[01:04:25 - 01:04:27] そこで初めて
[01:04:27 - 01:04:31] 金額が発生するっていう感じですね
[01:04:31 - 01:04:32] 発注電表の段階では
[01:04:32 - 01:04:35] 仕入れの金額は発生してなくて
[01:04:35 - 01:04:37] 受け入れて手元に納入されると
[01:04:37 - 01:04:41] 先方の方だと仕入れしかやってないけど
[01:04:41 - 01:04:43] それはそれで問題ないんじゃない
[01:04:43 - 01:04:47] うちは発注電表で発注書とかが必要だから
[01:04:47 - 01:04:50] 発注からやってるってだけ
[01:04:50 - 01:04:52] 仕入れだけでもできない
[01:04:52 - 01:04:54] だとどのタイミング
[01:04:54 - 01:04:57] 仕入れ電表に入った時点で
[01:04:57 - 01:04:58] 在庫として反映されちゃうんです
[01:04:58 - 01:05:02] 別に基本はそれで良ければいいんじゃない
[01:05:02 - 01:05:04] 問題なければ全然問題ないです
[01:05:04 - 01:05:06] うちはタイミングがあるので
[01:05:06 - 01:05:08] そういう風にやってるだけであって
[01:05:08 - 01:05:10] 仕入れ電表
[01:05:10 - 01:05:12] 仕入れたタイミングで仕入れ電表出して
[01:05:12 - 01:05:15] それで問題ないんだったら
[01:05:15 - 01:05:16] 今のフローで
[01:05:16 - 01:05:17] 問題はないって問題
[01:05:17 - 01:05:20] 先方に立てる請求書のタイミングとかですね
[01:05:20 - 01:05:23] 例えば発送ベースだったら
[01:05:25 - 01:05:26] 発送ベース
[01:05:26 - 01:05:30] 隙またいで
[01:05:30 - 01:05:33] うちの支援の問題だよね
[01:05:33 - 01:05:35] 要は多分
[01:05:35 - 01:05:36] 中小から
[01:05:36 - 01:05:53] どうですかね
[01:05:53 - 01:05:56] 本社のタイミングで全然問題なければ
[01:05:56 - 01:05:59] 今のタイミングですと
[01:05:59 - 01:06:03] 到着した時に認識してるんですね
[01:06:03 - 01:06:05] 到着した時に仕入れ電表を切って
[01:06:05 - 01:06:07] そのまま在庫に反映している
[01:06:07 - 01:06:10] 到着した時に仕入れ電表出てるんですね
[01:06:10 - 01:06:11] そうですね
[01:06:11 - 01:06:16] それだったら問題ないですね
[01:06:16 - 01:06:19] そこから検診して
[01:06:19 - 01:06:22] PCアウトが出てくる
[01:06:22 - 01:06:25] チェックのアウトが出てくるんですけど
[01:06:25 - 01:06:28] そしたらそれは出庫電表で出して
[01:06:28 - 01:06:31] 出して在庫を切ります
[01:06:31 - 01:06:37] 後でそれの分を請求立てて補填するっていう話でしたら
[01:06:37 - 01:06:40] その分をまた仕入れ
[01:06:40 - 01:06:44] 伝票を立てる
[01:06:44 - 01:06:50] どっちもいいか
[01:06:50 - 01:06:54] そうすると二重請求になりません?
[01:06:55 - 01:06:56] そうですね金額が
[01:06:56 - 01:06:58] ゼロに請求すればいい
[01:06:58 - 01:07:15] 出荷電表でやったときに減価が減っちゃっていますよね
[01:07:15 - 01:07:19] その分の減価は増やさないといけないということですよね
[01:07:19 - 01:07:23] 最初の仕入れ電表の段階でも入っているから問題ないということですね
[01:07:23 - 01:07:26] 例えば10個仕入れて
[01:07:26 - 01:07:28] 2個用品でした
[01:07:28 - 01:07:30] 2個減ります
[01:07:30 - 01:07:32] 4個電表で減らします
[01:07:32 - 01:07:34] そうしたら原価の分減るんで
[01:07:34 - 01:07:36] 2個分補填するために仕入れ電表を
[01:07:36 - 01:07:38] 0円で計上すれば
[01:07:38 - 01:07:41] 平均原価としては合うはずなんで
[01:07:41 - 01:07:42] っていう
