[00:00 - 00:01] 2月20日からなんでね
[26:28 - 26:29] はっきり言ってしまう
[26:29 - 26:33] メリットとデメリットはあります
[26:33 - 26:37] でも僕は経営者目線で考えれば
[26:37 - 26:38] 現状の状況
[26:38 - 26:42] 利益を多く取るというのはもちろんあれなので
[26:42 - 26:43] 一応この中では
[26:43 - 26:49] 今のやっているやり方を併用するということはいいですよ
[26:49 - 26:50] と書いてあるんですけど
[26:50 - 26:54] AとBのプログラムを混在させるのはちょっとNGにしてください
[26:54 - 26:56] という感じ
[26:56 - 27:00] こっちとしてはやっぱりもともと言ってた
[27:00 - 27:02] この是正をしましょうっていうのは
[27:02 - 27:04] めちゃくちゃやった方がいいと思うんですよ
[27:04 - 27:08] 売ってる内容が違うとやばいじゃないですか
[27:08 - 27:11] こっちは黒ついてるけど
[27:11 - 27:16] 一番の問題はそこだと思うんですわ
[27:16 - 27:18] だからいいものなんて
[27:18 - 27:21] 品物に対する自信はあるわけじゃないですか
[27:21 - 27:27] だからそういうものを メーカーとしては俺
[27:27 - 27:33] まあこれも今別の話ですよこれと メーカーとしては値引きっていうのは
[27:33 - 27:36] しないほうがいいと思いますね それでほら
[27:36 - 27:41] 媒体が2つあって 価格が違うっていうのもこの問題で
[27:42 - 27:45] あると思うんだわね だからその辺もちょっと考えて
[27:45 - 27:49] これはまあ今までのスタートからの経緯っていうのがあるじゃん
[27:49 - 28:00] そうですね。だからそこを今ここでとりあえずただしたいなっていう思いがあって、会長からお願いされてたのがプログラムAだったんだけど、
[28:00 - 28:07] これで俺会社の形態をきちっと軌道に乗せていきたいと思うんですよ。
[28:07 - 28:13] それからこれにしていったら面白いんじゃないかなと思う。
[28:13 - 28:15] それは全然構わないです。
[28:15 - 28:18] これは松下さんでなきゃこんな話できない話だからさ
[28:18 - 28:22] だからもう一つだけさっきも言ったけど
[28:22 - 28:25] いいものを安くるっていうのは
[28:25 - 28:27] 俺ちょっとおかしいんだよね
[28:27 - 28:29] 松下さんどうぞ
[28:29 - 28:31] それは今日言いたかったんですけど
[28:31 - 28:33] マジでMPSとか
[28:33 - 28:39] それをやっぱりあの値段でやるのはもったいないと思うんですよ
[28:39 - 28:42] 別に値上げをするのは構わないんだけど
[28:42 - 28:49] 値上げというよりもともと多分安く出しすぎてて僕たち1本2500円で売ってるんですよ
[28:49 - 28:52] mpsってグロスアップパウダー30ミリ
[28:52 - 28:59] これは結局のところうちはうちの戦略というのがあってやってるというところがあるから
[28:59 - 29:03] だから今で言えばね例えばね
[29:03 - 29:06] 値上げをすれば何が起こる
[29:06 - 29:10] 値上げをすればまず買いしぶりは起きますよね
[29:10 - 29:15] 今、買いすぐるじゃない。ターゲットとなる顧客数が減る。
[29:15 - 29:20] 上がった値段で売るんだっけ、他社製品との比較が始まるから。
[29:20 - 29:25] だってさ、値引きするとグッと上がるじゃん。ある意味ではわかるよね。
[29:25 - 29:33] だから、値上げは今するんじゃなくて、価格のアンバランスね、今ね。
[29:33 - 29:36] ここをまず改正してもらわないと。
[29:36 - 29:41] 会長が言った40%の利益率っていうところを合わせましょうって話ですよね
[29:41 - 29:45] それもあるけど
[29:45 - 29:49] メーカーとうちでは売価が違うっていうのがまず
[29:49 - 29:55] ここに載ってない方法でそれを解決するのであれば
[29:55 - 29:56] OEM
[29:56 - 30:01] それもちょっとなくはないですけど
[30:01 - 30:05] 要は名前を変えてMPSを売るってことですよね
[30:05 - 30:13] そうでもそれをすると結局またねこのプログラム b で改善できる内容がガクッと 落ちちゃうわけそうですねうん
[30:13 - 30:18] 価格に関して家がなぜ3本であの値段にしているか ペース
[30:18 - 30:28] あれは入り口商品としてますそうなってやっぱそうですよね もったいないと思う全部 ps じゃあ要するにお客さんからどれだけお金を取るかっていうのを
[30:28 - 30:33] 商品単価で考えちゃいけないん
[30:33 - 30:40] 1回買って良かったなって思った時に 他の商品を買っていただくっていうのがまず
[30:40 - 30:46] その2回目にどれだけ買ってもらうかっていうのが重要なわけで そこでね俺が3本付けてる理由
[30:46 - 30:54] 1本って1回やったらほぼ終わらない 終わるっすね 軽自動車でも終わる そう軽自動車でも終わっちゃうよね
[30:54 - 30:59] 3本付いてると何が起こる? 丸々1台は絶対できる
[30:59 - 31:10] 俺はねそうじゃなくてこれ良かったから使ってみっ あーん他の人にし伝えるねあれができるとそうねうん
[31:10 - 31:20] そうやってお客さん広めることから考えたら 時期が低い商品っていうのはお客さんが最もみんな考えている解決したいことを
[31:20 - 31:25] 解決できること 車がよくわからんけどとりあえず綺麗になるもんなんか欲しいというのが一番
[31:25 - 31:32] お客さんの要求度合いからしたら一番数が多くて要求が多くてニーズも高いものだから
[31:32 - 31:38] そこを一本の値段をもっと取れるだろうって上げてしまうと
[31:38 - 31:43] そもそもその参入しうちの市場に参入してくれるお客さんを減らすことになっちゃう
[31:43 - 31:46] この辺は基本的にはマッキン税の資料とかを見れば分かる
[31:46 - 31:50] だけどもうちょっとね値上げに関してはもうちょっと様子見ていいと思う
[31:50 - 31:56] 今でも全然別に不満は皆さん持ってらっしゃらないんですよ
[31:56 - 32:01] 僕は多分新規でも全然値段出して買うと思いますけどね
[32:01 - 32:03] MPSに関しては
[32:03 - 32:07] でも最近ねそれで言ったら5000円以上のものってほぼ売れてないんだよ
[32:07 - 32:10] だろ5000円って言ったらちょっと引くよ
[32:10 - 32:12] でも会長にさっき見せましたけど
[32:12 - 32:15] 5100円のセットが売れてたり
[32:15 - 32:20] ガラスとコーティング材だけのセットだったり
[32:20 - 32:24] またセットでいくつかセットだね
[32:24 - 32:25] 単品で考えたらそうだよね
[32:25 - 32:27] だからセットにしてるから安くなってるんですよ
[32:27 - 32:29] その値段になってるんですよ
[32:29 - 32:31] 逆に1本あたりで売ると
[32:31 - 32:36] うちにうちってか僕らに悪いことが一つあるのよ
[32:36 - 32:37] コンポーザーって言う
[32:37 - 32:39] それもあるし
[32:39 - 32:41] まずその価格に対して
[32:41 - 32:46] 商品の実製価格に対して
[32:46 - 32:47] 送料の割合っていうのは
[32:47 - 32:49] この1年でガッと上がってる
[32:49 - 32:53] だからちっちゃい容量を売れば売るほど
[32:53 - 32:59] うちとしては儲けにもならん売り上げがいっぱい発生するって形になっちゃう
[32:59 - 33:03] このMPSに関してはそっちも利益あんま出てないんじゃないですか
[33:03 - 33:05] サーモンセットなんてしたら
[33:05 - 33:09] だから一番入ってきやすい商品として設計してるってこと
[33:09 - 33:11] ディティーリングブラシはどうなんですか
[33:11 - 33:13] ディティーリングブラシは多分もっと多くだね
[33:13 - 33:14] もっと多くというと
[33:14 - 33:18] ここの会社のやつ使ってていろんなの使っていきたいってなった時に
[33:18 - 33:19] 初めて選択した
[33:19 - 33:20] あ、じゃあ利益のところの話ですね。
[33:20 - 33:21] ほぼない。
[33:21 - 33:24] ですよね。この値段で売ったらうちもゼロなんですよ。
[33:24 - 33:26] アダマスさんの値段で売ったらゼロになってしまう。
[33:26 - 33:32] そう、だからね、うちでもほぼほぼ売ってても意味ないって思ってるもんもたくさんある。
[33:32 - 33:34] それがもったいないと思うんですよ。
[33:34 - 33:39] いや、なんだけど、基本的に今まだうちらで言えば成長していってる段階なのよ。
[33:40 - 33:44] わかりますよ。わかるんですけど、安売りする必要はないでしょうって思っちゃうんですよ、どうしてもやっぱり。
[33:44 - 33:46] 安売りしてるわけじゃないのよ。くぐりやすくしてるのよ。
[33:46 - 33:51] さっきも言ったうちとしては一人のお客さんで見てないんだよね
[33:51 - 33:58] 簡単に言ったら今の価格今の知名度今の広告出してる量から考えて
[33:58 - 34:03] お客さんがどの価格帯だったら一番納得して大量に入ってきてくれるかっていうところ
[34:03 - 34:08] だから例えば今iPhone持ってるだろ
[34:08 - 34:11] 今もしiPhone持ってない状態で
[34:11 - 34:15] Androidが4万円で買えてiPhoneが16万円だったら
[34:15 - 34:16] 絶対4万円の買うでしょ
[34:16 - 34:23] 買いますね でも iphone ても長く使ってきて何ができると何がそのアンドロイドに比べて
[34:23 - 34:27] いい わかってるからたくてもちょかわけ
[34:27 - 34:33] ここに行き着こうとしたときに必ずそのくぐりっていうのが必要なんだよ
[34:33 - 34:39] se みたいなもんですね iphone se みたいな立ち位置が欲しいわけですよね
[34:39 - 34:46] その中で利益商品と非利益商品っていうのをちゃんと扱っていかないと
[34:46 - 34:51] 全部を利益商品にするっていうのは基本的にそれはマーケット理論として間違いない
[34:51 - 34:52] まあそれはそうですね
[34:52 - 34:57] ただ2だったらMPSじゃなくて良くないかと思っちゃうんですね
[34:57 - 34:58] 何だったらいいと思う?
[34:58 - 35:00] スラッシュがまずそうなってるじゃないですか
[35:00 - 35:02] すでに入り口商品としてあれはもうなってると思うんですけど
[35:02 - 35:03] あれは大失敗だったね
[35:03 - 35:08] あれは製品のパワーが強すぎたね
[35:08 - 35:11] 今でも正直売れては売りますよ
[35:11 - 35:15] ちなみにスラッシュが今後作れないかもしれない
[35:15 - 35:18] それは厳しいですね
[35:18 - 35:23] でも樹脂復活剤が作れないって言われちゃうとちょっと困ったな
[35:23 - 35:26] あれはまだ売れ続けてはいますよ
[35:26 - 35:33] 原材料を引いてるところの人が入院しちゃってICUに入っちゃって
[35:33 - 35:37] その人だけしか対応できないんですか
[35:37 - 35:38] そうなのよ
[35:38 - 35:38] 予防
[35:38 - 35:43] そういうちょっと予端はあるんだけど
[35:43 - 35:51] でも要は今利益がないから利益をどうにかしたいと思っているかもしれないけど
[35:51 - 35:57] 今御社に一番重要なのは大量に流入するユーザーを作るということが一番重要
[35:57 - 36:01] ただこのMPSに関してはその値段でうちでは売れないですよ
[36:01 - 36:05] あの値段では合わせられない200円の利益
[36:05 - 36:08] だからそれは選択してくれっていう話なんだ
[36:08 - 36:12] だし今別に価格決定権ってお互いあるから
[36:12 - 36:17] それで俺がうちは干渉できないよって言ってる
[36:17 - 36:20] うちがいくらにしろっていうのが言えないのと同じに
[36:20 - 36:23] 御社からもうちにどうにかしろってのができないけど
[36:23 - 36:28] 協議した中でこうしようっていうのはいいんだけど
[36:28 - 36:35] 今NPSを潰すと基本的に資金が低いユーザーが入ってきづらくなるから
[36:35 - 36:39] 難しいよっていう話なの
[36:39 - 36:43] だからそれだったらプログラムBで揃えていくんだったらいいだろうし
[36:43 - 36:48] プログラムAの中で例えばその御社で
[36:48 - 36:51] うちで引けても4000なんだけど
[36:51 - 36:56] その本数改善してじゃあそこもうちょっと値上げしますわとか
[36:56 - 36:58] まあまあアリなのかもしれないけど
[36:58 - 37:03] 俺ははっきり言ってここ下げると全体流量は減ると思う
[37:05 - 37:08] MPSを上げると?
[37:08 - 37:17] MPSを上げるとね、選択されるユーザーの最も解決したいことの中で一番
[37:17 - 37:21] 例えば永井くんが何か違う商品の動画を作った時にパッて売れるじゃん
[37:21 - 37:25] とは別のところで売れてるのがこいつなの
[37:25 - 37:29] 常にちょこちょこ売れてるのがMPSTだね
[37:29 - 37:34] そしてあまり超高評価もなければ 超低評価もないわけ
[37:34 - 37:37] あ、そうっすね それはそう
[37:37 - 37:42] でもね、入口で入ってもらうのに あの2つのセットあるじゃないですか
[37:42 - 37:45] 2本ずつのセット あれ未だに出続けてはいるんですよ
[37:45 - 37:47] そうだよね
[37:47 - 37:51] 僕それでいいんじゃない?って思っちゃうんですよね この値段じゃなくて
[37:51 - 37:56] 常に買いたい商品とそうじゃない商品のところを
[37:56 - 37:58] ちゃんと行き来させなきゃいけないユーザーを
[37:58 - 38:02] だからそのMPSのセットで入り口はできてるんじゃないですか
[38:02 - 38:05] だから内側の価格も
[38:05 - 38:08] セットっていうのはDTXとXDのセットです
[38:08 - 38:12] あの3本セットあれで十分なんじゃないかと思うんです
[38:12 - 38:16] あの値段でもう売れてたし2本ずつ入ってるし
[38:16 - 38:20] それをMPS3本でクロストタオルつけて
[38:20 - 38:25] この値段っていうのはちょっとそれは違う なんかもったいないとし
[38:25 - 38:28] やっぱ思ってしまう 今のうちのそういう戦略だからね
[38:28 - 38:34] そこをじゃあ戦略って言われちゃうと 困っちゃうなーっていう
[38:34 - 38:38] まぁ実はMPSだけじゃないんですけど X-Eの3本セットもそうですね
[38:38 - 38:43] あれも結局 22%しかないので
[38:43 - 38:50] だから僕はその1品で何パー取るかっていうところを細かく考えるよりも
[38:50 - 38:55] 量で取った方がいいと思う ドンキ方式 それは剥離多売じゃないですか
[38:55 - 39:03] いやだからまず剥離多売をしなきゃいけないんだよ そうしないと それはアダマ製品の良さがあるのをなんかで安売りしてるイメージなんですけど
[39:03 - 39:10] 剥離多売って言っても決して剥離多売してるわけじゃないじゃん 利益取る商品と利益の多売 そうですね取れる商品ありますからね
[39:10 - 39:12] それはわかるんですけど
[39:12 - 39:17] だからどっかの得意点だけを調べるよりは
[39:17 - 39:19] 今の一番のパフォーマンス低下
[39:19 - 39:23] だって今までこの価格でやってきてたんですよ
[39:23 - 39:25] 去年は利益
[39:25 - 39:28] 去年はでもMPS3本セットはそっちをやってたと思うんですよ
[39:28 - 39:30] うちやってないんですよ
[39:30 - 39:31] ずっとやってなかったんですよ
[39:31 - 39:34] だからやってなくても利益が出てたわけじゃん
[39:34 - 39:39] だからそれをやったことで利益が下がってるってことも少なからずあると思うんですよ
[39:39 - 39:41] でもうち昔から出してるよ
[39:41 - 39:43] 3本セットは
[39:43 - 39:46] 3本セットはアダマッサンってことでやってたわけじゃないですか
[39:46 - 39:48] もううちではやってなくて
[39:48 - 39:50] 今回はサイトのリニューアルをしたじゃないですか
[39:50 - 39:52] アダマッサンって
[39:52 - 39:56] やっぱりこっちから見てもすげえなってあのサイトは
[39:56 - 39:58] やっぱり綺麗だし見やすいし
[39:58 - 40:01] コンテンツもたくさんあるし
[40:01 - 40:03] やっぱ売ってる商品自体も
[40:03 - 40:06] 商品のポリッシャーだったりとか
[40:06 - 40:11] 他のうちが打てない薬剤だったり まあそれはあのうちがやってないんですよ
[40:11 - 40:14] いいんですけどやっぱりその見栄え的な ところでもすごくいい
[40:14 - 40:21] だから俺はそれを真似ればいいと思うし 別にうちのコンテンツは引っ張っていいよって言ってんだから
[40:21 - 40:24] そうですねコンテンツを引っ張るのは
[40:24 - 40:29] ちょこちょこやらしてもらおうと思ってます それも1個の改善案ではあったんで
[40:29 - 40:34] だから動画から入るとか動画だけじゃない ところからでもいいんだけど
[40:34 - 40:36] まずその流量を増やすっていうことさえしてしまえば
[40:36 - 40:39] 全体的な利益率っていうのは大きくなるんで
[40:39 - 40:42] 今は例えば高くても買ってくれる人
[40:42 - 40:46] しか買ってくれないようじゃやっぱり量が少ないから
[40:46 - 40:48] っていう形になっちゃうので
[40:48 - 40:51] だから今会長言われてたように
[40:51 - 40:54] AやってからBやってもいいんですかっていう話は
[40:54 - 40:55] 絶対出ると思ってたんで
[40:55 - 40:57] 私としては併用はダメですけど
[40:57 - 40:59] 順序的にやってみていただいて
[40:59 - 41:00] そういうのを言ってみよう
[41:00 - 41:04] 問題は発想が遅いじゃん
[41:04 - 41:11] 合営業日とかでさ、今の時合営業日後の出荷なんて考えられないような話でさ
[41:11 - 41:17] うちは当日1時、13時までに受注が入ったものは当日出荷で翌日着ですからね
[41:17 - 41:20] でしょ?それをやらなきゃダメですよ、これ
[41:20 - 41:23] やっぱ欲しいって思ってるユーザー待たしちゃうからね
[41:23 - 41:25] 待たしちゃう、絶対だから
[41:25 - 41:29] それにやっぱりうちも自分のところでやるのがもう無理だと思ったのよ
[41:29 - 41:30] うんうん、そうですね
[41:30 - 41:35] だからそういうサイトを利用させてもらうっていうのは俺はいいと思いますよ将来的には
[41:35 - 41:38] 数が増えてくるのはなおさらに
[41:38 - 41:44] だからまずその利益はもちろんねこれでいいだけは改善するでしょうって感じなんですけど
[41:44 - 41:51] いいときはねこれで会社の形はしっかり固定させて
[41:51 - 41:54] だから俺5連でタッチするっていうのは
[41:54 - 42:00] そういう意味で最終的にはもうこれでやればものすごくやりやすくなる
[42:00 - 42:05] 僕はね本当に人件費をかけない方がいいって言ってるのはそこなんですよ
[42:05 - 42:09] 外注してしまった方が絶対いいって今のこの世の中
[42:09 - 42:12] それを全部一人でやってるっていうのは大変だと思うわね
[42:12 - 42:17] これって本プラグラムを原始としたら実質的な値引きが禁止されてるので
[42:17 - 42:19] 今後値引きができないってことでいいんですかね
[42:19 - 42:21] 違う違うだからこれで下がって
[42:21 - 42:24] 例えばねうちが下げた分の価格を利用して
[42:24 - 42:26] その分今の
[42:26 - 42:29] 今の価格から値引きすんなよって話ですか
[42:29 - 42:30] 下げるなって話ですか
[42:30 - 42:32] 今うちが出してる値段よりも
[42:32 - 42:35] 要するにこの値引き額を原資に
[42:35 - 42:37] さらに値引きっていうのをやったら
[42:37 - 42:39] 結局何やってんだって話
[42:39 - 42:40] それそうです
[42:40 - 42:42] ただうちが今までやってた
[42:42 - 42:44] だいたい月1回10%から10%
[42:44 - 42:47] うちとしては法律上
[42:47 - 42:50] 独占禁止法という法律があるから
[42:50 - 42:52] うちが御社に対して
[42:52 - 42:54] いくらで売りなさいっていう話ってできない
[42:54 - 42:56] これはもう前もってない
[42:56 - 42:59] その辺は例えばやるときは
[42:59 - 43:03] 必ずそちらとコンタクトを取ってやるまでのね
[43:03 - 43:04] 今までもそうやってて
[43:04 - 43:08] うちより安くても別にそれはそれで
[43:08 - 43:11] ユーザーが選択する内容に関しては
[43:11 - 43:12] うちはいいと思っているので
[43:12 - 43:15] 今までもうちよりもはるかに安くても
[43:15 - 43:18] 全然文句を言わなかったというのがあるんです
[43:18 - 43:20] だから
[43:20 - 43:26] 逆の立場でねアドバンスも新しい企画をこういうふうなことで
[43:26 - 43:28] いついつからやりたいと思うというのがあったら
[43:28 - 43:31] それもこちらに情報として入れてもらいたいよね
[43:31 - 43:37] 割引の共有をしてくれって話ですね会長が言いたいのは
[43:37 - 43:43] 割引の共有っていうかうちでいうともうマックスできても25%
[43:43 - 43:49] 利益率を考えないんであればなんだけど
[43:49 - 43:50] もしやるとしても年に2回しかない
[43:50 - 43:51] そうですね
[43:51 - 43:53] その以外の例えば
[43:53 - 43:56] 会長が多分言いたいのは
[43:56 - 43:57] 月ごとにやってる
[43:57 - 44:00] 例えば今でもアダマスさんのホームページでやってる
[44:00 - 44:02] あれでもさ表値からさ
[44:02 - 44:04] 引いたように見せてるだけだよ
[44:04 - 44:06] スーパーの冷凍食品
[44:06 - 44:09] 週末15%オフとかと一緒だよ
[44:09 - 44:12] 実際それで
[44:12 - 44:13] 同じ値段で
[44:13 - 44:15] うちがやるとやっぱりどうしても下がってる
[44:15 - 44:17] っていうのは出てるから
[44:17 - 44:25] 会長が言いたいのは常にお互い 割引する期間とかいくらとかっていう
[44:25 - 44:26] のをちゃんと話し合ってくれっていう
[44:26 - 44:29] もう共有した方がいいんじゃない のかね情報の
[44:29 - 44:34] うちが以前出してたんだけど出 なくなった理由が一つあって何か
[44:34 - 44:35] わかる
[44:35 - 44:39] うちはそこに乗っかってなかった ですからね
[44:39 - 44:46] そうだね要するにねうちから出 してても基本的にうちにこうなんで
[44:46 - 44:50] どうすかっていうないまま 安値ポンって出したりとかもしてたから
[44:50 - 44:55] そこはじゃあお隣様でいいんかなっていう それは改善した方がいいよね
[44:55 - 45:01] いやだからもしでもねこれやるとあのさっき言ったカルテル的な話になっちゃうので
[45:01 - 45:06] 表向きはそうじゃないっていうことはやっとかないといかないんですよ
[45:06 - 45:12] でもさメーカー側と販売店側ではさそういう情報の共有しなかったら
[45:12 - 45:20] まあまあ、情報はね。だから、そこで言うと、 価格競争性っていうところで言えば、
[45:20 - 45:25] それは大きな面で見たらですね、 そういう話もあるけど、
[45:25 - 45:29] そこまで今やってるような話じゃないのかね。
[45:29 - 45:33] うちとしては、あんまりコロコロ買えることって そうそうだよね。
[45:33 - 45:38] もしやるとしても、ブラックフライデーと 年2回のアマゾンのやつぐらいで、
[45:38 - 45:46] 他のやつって基本的に表値が高くなってて、そこから実行販売価格で安く見せてるってことだから
[45:49 - 45:55] だから価格を上げてその分マイナスで出したっていいと思ってるもんね。これはまあ別に法律で認められてるからね
[45:57 - 46:05] ただ要するにね、何が言いたいかというとね、うちがオタクよりも安くしちゃいかんっていうルールもなければその逆もないわけなんで
[46:05 - 46:06] それはそうだけど
[46:06 - 46:16] だから競技をするってことは、この話もできなくなるから、そこはちゃんと覚悟しなきゃいけないよって話。
[46:16 - 46:18] 分かる?うちがこうしたい。
[46:18 - 46:21] 同じ商品を扱っているんだから、共存共栄でいかないと。
[46:21 - 46:27] 共存共栄を持っている。それを是正するのはやっぱりこっちだと思ってるんです。プログラミングですよね。
[46:27 - 46:30] 将来的にはそっちですよ。絶対そう。俺もそう思う。
[46:30 - 46:33] 今例えばさっきの話にあがってた
[46:33 - 46:35] うち1本で出しててこれの値段に
[46:35 - 46:37] お宅が3本出してとかって言われちゃうと
[46:37 - 46:41] 逆に本当にお互いにその情報のやり取りしてないと
[46:41 - 46:42] そういうことになるから
[46:42 - 46:45] だからその情報のやり取りはするんだけど
[46:45 - 46:48] お互いの考え方が違うっていうのは絶対あるから
[46:48 - 46:50] 飲めないこともちゃんとあるんだよって話
[46:50 - 46:52] それはそうだね
[46:52 - 46:52] それはそうです
[46:52 - 46:55] それがないとダメだからっていう話
[46:55 - 46:58] 僕的には情報の共有
[46:58 - 47:00] 会長は情報の共有して欲しがってたじゃないですか
[47:00 - 47:05] 僕はそこよりもそもそも一番最初の段階でやっぱり値段
[47:05 - 47:07] 合わせたいよねっていう
[47:07 - 47:10] 合わせたいよねっていうのがこれなんですよ
[47:10 - 47:12] だから今のSKUが違うタイム
[47:12 - 47:17] 要はさあんたの家の子会社として見たら
[47:17 - 47:21] ありなんですよ
[47:21 - 47:24] でも資本もなんも入ってないです
[47:24 - 47:28] そういうものも考えてもらえないと
[47:28 - 47:29] 販売店は生き残らない
[47:29 - 47:32] もちろんそれがあるから今これを示しているわけですよね
[47:32 - 47:36] だから例えばこの前のいろんな話とか
[47:36 - 47:38] こんなの使えるよとか
[47:38 - 47:42] うちから商品画像とか出したりとかしてもそうですし
[47:42 - 47:47] 全然協力しないという姿勢はないのではないんですけど
[47:47 - 47:51] 御社の事情にうちが合わせなさいという強制力もなければ
[47:51 - 47:54] その逆もないよということだけ言いたいわけなんですよ
[47:54 - 47:56] それがやっぱり共同なので
[47:56 - 48:01] だから今出してるうち1本で売っててそっちで3本出しててっていうのは
[48:01 - 48:04] これはもうSKUが今現状違う状態なんで
[48:04 - 48:08] これを是正するんだったら多分まともな話が出るんだろうけど
[48:08 - 48:12] それで合わせてこっちも上げろよって言われても
[48:12 - 48:18] じゃあ価格決定権があるんですかっていう話になっちゃうので
[48:18 - 48:20] それはやっぱりちょっとおかしいと思うから
[48:20 - 48:23] SKUは合わせるなら合わせるだし
[48:23 - 48:26] もし戦略的にここまでの期間では
[48:26 - 48:28] お互い特別にこれでやってみようぜ
[48:28 - 48:30] いいよってやれば別にあげるでもいいわけじゃん
[48:30 - 48:33] 私はそれをお願いしたい
[48:33 - 48:36] ただそうは言っても
[48:36 - 48:39] 現状御社の販売の中に戦略がありません
[48:39 - 48:44] それだけはしかと心に焼き付けた方がいい
[48:44 - 48:46] 利益で物を見ちゃダメなのよ
[48:46 - 48:50] 絶対お客さんの性質とか
[48:50 - 48:53] マーケットサイズっていうのをちゃんと意識して
[48:53 - 48:56] 価格決定とか販売戦略を立てないと
[48:56 - 48:59] 安い時には安い時で出しちゃって
[48:59 - 49:02] 高い時には全く売れないとかってやっぱりなっちゃうから
[49:02 - 49:04] 常に化粧品とあの
[49:04 - 49:06] ドモブルンリンクルって化粧品の売り方
[49:06 - 49:08] 俺はある参考にしてるんだけど
[49:08 - 49:12] あれと同じで入りやすく留まりやすく
[49:12 - 49:15] いいものを実感すれば買うのを次に伝えたら
[49:15 - 49:17] そこを狙うんであればね
[49:17 - 49:20] もうこれしかないって思ったお客さんはいくらの値段でも大丈夫なんだけど
[49:20 - 49:26] そこにでもこっちがじゃあこれだけ高くして売れるなら売れるようにしようってやっちゃうと
[49:26 - 49:31] そういうところでやっぱり内側の闇がお客さんに見えちゃうから
[49:31 - 49:35] 適正にあるっていうところは必要だし
[49:35 - 49:38] お客さんもちゃんと見てあげるっていうのが絶対いるから
[49:38 - 49:42] そこはほら何で俺がこんなこと言ってるか分かるだろ
[49:42 - 49:45] めんどくせえってよくできるじゃん
[49:45 - 49:47] それダメだよって話
[49:47 - 49:52] それはお客さんめんどくさいお客さんもぶっちゃけいるんですわ
[49:52 - 49:56] でも僕は2時間電話付き合っても
[49:56 - 49:59] 必ず最後に今日電話かけてよかったです
[49:59 - 50:02] オタクと今後もやりたいですって言ってくれるお客さんに
[50:02 - 50:04] するように努力してるの
[50:04 - 50:07] この前も何だっけな
[50:07 - 50:14] 御社から買った大東島のお客さん
[50:14 - 50:15] 大東島のお客さん
[50:15 - 50:22] うん鹿児島のね あーいたはいはいはいはいはいましたね
[50:22 - 50:29] その人とかねはいあの人までも明らかにおかしなこと言ってます でも最後はね全部
[50:29 - 50:37] お礼であの これでちゃんと自分で大東島で商売できるぐらいになるなりたいから今後も買わせて
[50:37 - 50:43] もらいますって言って あのなんだっけ愛車ドラッグさんで
[50:43 - 50:49] 買ってもいいんですかねとか言えも絶対買ってください者とたくさんでって俺は言っ てるんだよね
[50:49 - 50:56] だからそういうお客さんをねめんどくさいお客さんを見話ししちゃダメだよね 根本的な話だ
[50:56 - 51:02] あのね俺はね買ってくれるお客さんは全部正義だと思ってる なるほど
[51:02 - 51:09] どんな理由であって買ったんだったら興味持ってそこまでいってくれてるからそうだね
[51:09 - 51:13] もちろんもう無茶なことはねそれはすいませんできませんってはっきり言うんだけど
[51:13 - 51:17] でもお客さんが期待しているところとそうなかったとしても
[51:17 - 51:20] 最後にちゃんと納得するようなところまで落として込んであげるのって
[51:20 - 51:23] 障害人として絶対必要な部分がある
[51:23 - 51:27] そこはもうなんかいくら儲かったとかっていう話よりも
[51:27 - 51:31] もう商売は笑う売るだからそこは徹底しないと
[51:31 - 51:36] お客さんを大事にするっていうあれがないとね
[51:36 - 51:38] その通りだわ
[51:38 - 51:42] ですよね会長も長いこと商売をやられた中で
[51:42 - 51:45] 50年私やってきて一回も赤字出してこないんですよ
[51:45 - 51:48] お客さんが助けてくれる時もあればね
[51:48 - 51:50] あなたの言うのは本当にその通り
[51:50 - 51:58] だから俺はまず動画を出して入り口を集めるのもそうだし
[51:58 - 52:01] お客さんが買いやすい環境を作ってあげるのもそうだし
[52:01 - 52:07] そこまでやらないと今のやり方をずっとやってるだけじゃ
[52:07 - 52:10] やっぱり増えづらいとかになっちゃうと思うから
[52:10 - 52:13] うちも協力するし
[52:13 - 52:15] ショピファへ移行していこうよとかさ
[52:15 - 52:16] やればいいと思うんだよ
[52:16 - 52:19] よろしくお願いします
[52:19 - 52:23] 一旦はこの会長はAで行って
[52:23 - 52:26] その後Bに行きたいなっていう
[52:26 - 52:28] 移行していった方が絶対いいよ
[52:28 - 52:31] 最初はAで行きたいっていうのが会長なんですね
[52:31 - 52:32] 分かりました
[52:32 - 52:37] ただどのくらいの今度は経費がかかるかね
[52:37 - 52:39] 気温帯効果としてね
[52:39 - 52:43] 今のちょっと色々調べた中で言うと
[52:43 - 52:49] インスタのアルゴリズム変更は何が一番でかかった?
[52:49 - 52:52] インスタのアルゴリズム変更って何ですか?
[52:52 - 52:54] へぇー
[52:54 - 52:56] インスタのあれか
[52:56 - 53:01] おすすめに出てくるやつですか?
[53:01 - 53:01] そうなの
[53:01 - 53:04] 何にも気にしないですよそこは
[53:04 - 53:06] 今まで通り動画を出してました
[53:06 - 53:07] ダメなのよ
[53:07 - 53:08] 何かあったんですか?
[53:09 - 53:11] インスタグラムっていうサイトがあるんですけどね
[53:11 - 53:16] 実は彼の動画ってインスタとTikTokっていう2つが一番大きく回ってるんですけど
