[00:00 - 00:02] はい よろしくお願いします
[00:02 - 00:03] はい お願いします
[00:03 - 00:10] 今はもうちょっとログインはしてみられましたでしょうか
[33:24 - 33:28] そういうことなんです
[33:28 - 33:30] 面白いありがとうございます
[33:30 - 33:36] というような問題を解決しないと
[33:36 - 33:38] 安定してお客さんたくさん抱えるのは
[33:38 - 33:40] まず無理ですよねっていう話なんですよね
[33:40 - 33:41] そうですね
[33:41 - 33:42] 毎回
[33:42 - 33:45] バクチンになっちゃうんですよね
[33:45 - 33:48] バクチンするか
[33:48 - 33:50] サーバーをたくさん
[33:50 - 33:52] 契約していくか
[33:52 - 33:53] そうですね
[33:53 - 33:55] そうするとどのサーバーに
[33:55 - 33:58] 何入れてたって分かんなくなっちゃうし
[33:58 - 34:00] でもそれがこのシステムだと
[34:00 - 34:02] 基本的に作ったり消したりとか
[34:02 - 34:03] コピーしたりだとかっていうのが
[34:03 - 34:05] 簡単にできるような仕組みになってるし
[34:05 - 34:07] どのお客さんがどのサーバー使ってるかっていうのも
[34:07 - 34:09] すぐ分かるしっていうところなので
[34:09 - 34:15] これインスタンスで
[34:15 - 34:20] なんとざっくり目安8っていうように
[34:20 - 34:23] 記載いただいてたと思うんですけど
[34:23 - 34:24] これは
[34:24 - 34:31] N8Lの動いてるものが
[34:31 - 34:37] たくさん動いてる状態で8なのか
[34:37 - 34:43] ざっくり目安は
[34:43 - 34:48] だいたい10個ぐらい動いてると8だよねとか
[34:50 - 34:53] これはメモリ基準で8ってしてます
[34:53 - 34:58] だから常にずっと動き続けてるってことってないと思うんですけど
[34:58 - 34:59] ワークフローが
[34:59 - 35:03] ただメモリー圧迫するのは
[35:03 - 35:04] 1テナントあたり
[35:04 - 35:07] だいたい500メガぐらいの
[35:07 - 35:09] メモリーを消費するっていう風な
[35:09 - 35:10] 計算に基づいて
[35:10 - 35:11] 今契約してるこいつなんかだと
[35:11 - 35:13] 4ギガのメモリーを積んでるので
[35:13 - 35:16] 実際キャパオーバーしても
[35:16 - 35:18] 16ギガ分ぐらいまでは
[35:18 - 35:20] 余裕は持たせてるんですけど
[35:20 - 35:21] 速度は遅くなるので
[35:21 - 35:23] そうなったら新しいテナント
[35:23 - 35:26] インスタンスを契約するか
[35:26 - 35:28] 今のインスタンスをもっと高いものに
[35:28 - 35:31] アップグレードするかっていう形なんですけど
[35:31 - 35:34] 高いインスタンスってすごく割高になっていくので
[35:34 - 35:40] 私としてはそこそこ安いインスタンスをたくさん並べて
[35:40 - 35:42] やっていったほうがいいんじゃないかっていうのが
[35:42 - 35:44] 私のあれなんですけど
[35:44 - 35:49] なるほど じゃあその重さとかっていうのは
[35:49 - 35:52] どこで見るものなんですか
[35:52 - 35:55] それは私のほうでしか見れないですね
[35:55 - 35:59] だから詰め込んでらっしゃるN8Nの中も
[35:59 - 36:01] どんなやつを動かしてるか分かんないじゃないですか
[36:01 - 36:04] そういうのもあるので
[36:04 - 36:09] ちょっとこれだったらインスタンス増やすないし
[36:09 - 36:11] 新しく契約したインスタンスの方に
[36:11 - 36:14] 動かしてもらった方がいいですねとかっていう話は
[36:14 - 36:18] 技術的なところで受けたまわりますけども
[36:18 - 36:19] っていうところになるんですね
[36:19 - 36:26] 見えているものとしてご提案はいただけるようなイメージでいいんですかね
[36:26 - 36:29] そうですね目安8台というところですね
[36:29 - 36:31] わかりました
[36:31 - 36:35] 大丈夫そうですかね
[36:35 - 36:40] ありがとうございます
[36:40 - 36:45] ちょっとずつお引越しとかも準備していきます
[36:45 - 36:47] わかりました
[36:47 - 36:49] 一回いろいろ動かしてみてくださいね
[36:49 - 36:50] はい
[36:50 - 36:52] よろしくお願いいたします
[36:52 - 36:53] ありがとうございます
[36:53 - 36:56] 失礼いたします
[36:56 - 36:57] 失礼いたします
